internal_name,english_name,files
OR,odds_ratio,4
OR_gematcht,odds_ratio_matched,9
OR_mde80,odds_ratio_detection_limit,11
OR_roh,odds_ratio_raw,9
S1_beobachtet,S1_observed,6
S1_mde80,S1_detection_limit,12
S1_null_mittel,S1_null_mean,9
S2_beobachtet,S2_observed,6
S2_mde80,S2_detection_limit,6
S2_null_mittel,S2_null_mean,6
S3a_beobachtet,S3a_observed,6
S3a_mde80,S3a_detection_limit,9
S3a_null_mittel,S3a_null_mean,9
S3b_beobachtet,S3b_observed,6
S3b_mde80,S3b_detection_limit,6
S3b_null_mittel,S3b_null_mean,6
U,mann_whitney_u,6
above_mde80,above_detection_limit,5
achse,axis,33
achse_name,axis_name,1
amplitude_beobachtet,amplitude_observed,1
amplitude_null_mittel,amplitude_null_mean,1
ander_kontrast,other_axis_contrast,1
ander_status,other_axis_status,1
ander_z,other_axis_z,1
anteil_abs_z_ueber_2,fraction_abs_z_above_2,2
anteil_bestaetigt,fraction_confirmed,1
anteil_entfernt,fraction_removed,1
anteil_z_ueber_2,fraction_z_above_2,2
art,type,1
artefakt,artefact,2
begruendung,reason,15
beobachtet,observed,18
bestanden,passed,18
bestandteile,set_members,1
datei,file,1
datensatz,dataset,25
delta_beobachtet,delta_observed,2
delta_hyper_minus_mes,delta_hypertrophic_minus_mesenchymal,1
diagnose,diagnosis,3
diff_arm,differentiated_arm,3
dwt_modulwert,dwt_module_value,1
e2,criterion_e2,9
ebene,level,24
effekt,effect,2
eichung,calibration,5
eichung_bestanden,calibration_passed,5
eichung_bestanden_abgelegt,calibration_passed_filed,1
eichung_status_abgelegt,calibration_status_filed,1
eichung_z,calibration_z,3
eichung_z_abgelegt,calibration_z_filed,1
eigen_kontrast,own_axis_contrast,1
eigen_status,own_axis_status,1
eigen_z,own_axis_z,1
eingriff,intervention,3
einheit,unit,3
entitaet,entity,5
faktor,factor,2
fall,case,1
fenster,window,10
geeicht,calibrated,5
gegen,compared_to,1
gen,gene,5
genkarte,gene_map,2
gewebe,tissue,5
go,go_term,4
groesse,quantity,21
groesse_seite,set_size_per_side,1
gse,accession,24
herkunft,origin,9
hi,ci_high,5
hypothese,hypothesis,1
i_naiv_faellt,step_i_leaves_undifferentiated,1
ii_linie_erreicht,step_ii_lineage_reached,1
iii_modul_ueber_grenze,step_iii_module_above_limit,1
kategorie,category,4
kennzahl,statistic_id,7
ki_schliesst_1_aus,ci_excludes_1,1
klasse,class,27
kohorte,cohort,3
konkordant,concordant,1
konkordanz,concordance,16
konkordanz_mde80,concordance_detection_limit,16
konkordanz_null,concordance_null,16
konkordanz_null_sd,concordance_null_sd,16
konkordanz_p,concordance_p,16
konkordanz_z,concordance_z,16
kontrast,contrast,21
kontrast_invitro,contrast_in_vitro_reachable,1
kontrast_vorreg,contrast_preregistered,1
laesion,lesion,8
lauf,run,1
lo,ci_low,5
mde80,detection_limit,30
mde80_delta,detection_limit_delta,2
mde80_rho,detection_limit_rho,5
med,median,2
median_bestanden,median_passed,1
median_bi,median_biallelic,1
median_d_basis,median_baseline_shift,2
median_durchgefallen,median_failed,1
median_mono,median_monoallelic,1
median_pub,median_publications,1
median_pub_hintergrund,median_publications_background,1
mittel,mean,2
mittlerer_z,mean_z,4
modul_konkordanz,module_concordance,1
modul_mde80,module_detection_limit,1
modul_n,module_n,2
modul_z,module_z,2
n1,n_group_1,1
n2,n_group_2,1
n_a,n_group_a,18
n_anderer_fall,n_other_case,1
n_b,n_group_b,18
n_bestaetigt,n_confirmed,1
n_bestanden,n_passed,1
n_bi,n_biallelic,1
n_datensaetze,n_datasets,1
n_datensaetze_chondro,n_datasets_chondrogenic,1
n_datensaetze_osteo,n_datasets_osteogenic,1
n_durchgefallen,n_failed,1
n_entfernt,n_removed,1
n_gene,n_genes,10
n_gene_messbar,n_genes_measurable,5
n_hintergrund,n_background,4
n_invitro_a,n_in_vitro_reachable,1
n_klasse_genom,n_class_genome,1
n_klasse_panel,n_class_panel,1
n_kontrollen,n_controls,5
n_modul,n_module_genes,2
n_modul_ueber_grenze,n_module_above_limit,1
n_module,n_module_genes,1
n_modulgene,n_module_genes,7
n_modulgene_gemeinsam,n_module_genes_shared,1
n_mono,n_monoallelic,1
n_paare,n_pairs,6
n_panel_in_hg,n_panel_in_background,1
n_patienten,n_patients,5
n_proben,n_samples,20
n_proben_gds,n_samples_gds,3
n_punkte,n_datasets,1
n_satz,n_gene_set,13
