symbol,delta,n_sonden,donorkons
A1BG,0.02496569416245332,6,0.8333333333333334
A1CF,0.05459287614292319,4,0.75
A2BP1,0.040496750929497075,67,0.8507462686567164
A2LD1,0.012291100867290456,10,0.7
A2M,0.0680395477292387,3,1.0
A2ML1,0.026009314860950438,5,0.8
A4GALT,0.018032528048187706,15,0.8
A4GNT,0.05206333103192108,4,1.0
AAA1,0.04549424309677736,5,1.0
AAAS,0.015784116238892372,10,0.6
AACS,0.018882501703632707,9,0.7777777777777778
AACSL,0.03420426345692644,5,1.0
AADAC,0.046337737190305185,3,1.0
AADACL2,0.04364357582466011,1,1.0
AADACL3,0.042132130067992456,8,1.0
AADACL4,0.09655234716619976,4,1.0
AADAT,0.015403786430219547,11,0.7272727272727273
AAGAB,0.017295905741344937,10,0.9
AAK1,0.02564487749086489,9,0.8888888888888888
AAMP,0.010895029722007428,14,0.7857142857142857
AANAT,0.022468138742471715,22,0.8636363636363636
AARS,0.02127570258561938,15,0.8
AARS2,0.02439369894570663,12,0.8333333333333334
AARSD1,0.01430542583912609,19,0.7894736842105263
AASDH,0.02255349540605603,14,0.7857142857142857
AASDHPPT,0.018007469897835124,22,0.7272727272727273
AASS,0.026903255065077243,15,0.8666666666666667
AATF,0.02073377485264986,10,0.7
AATK,0.006254810704877859,4,1.0
ABAT,0.020177879684074248,30,0.9
ABCA1,0.012213923005016421,13,0.7692307692307693
ABCA10,0.03191721758088393,2,0.5
ABCA11P,0.036142772745319615,5,1.0
ABCA12,0.046193299011644776,2,1.0
ABCA17P,0.013281664715016097,4,0.75
ABCA2,0.027373904895626074,6,1.0
ABCA3,0.022174890588738304,13,0.8461538461538461
ABCA4,0.01751705758748146,7,0.7142857142857143
ABCA5,0.008933661530558676,17,0.7647058823529411
ABCA6,0.06674502030081811,3,1.0
ABCA7,0.023758225423106724,9,0.8888888888888888
ABCA8,0.027325171093716145,3,0.3333333333333333
ABCA9,0.058461597920650143,4,0.75
ABCB1,0.025957377496475774,26,0.7307692307692307
ABCB10,0.018987110126851493,5,0.8
ABCB11,0.046321732773068024,4,1.0
ABCB4,0.006966333122396878,7,0.7142857142857143
ABCB5,0.016047278079511153,9,0.5555555555555556
ABCB6,0.012494188806473173,11,0.9090909090909091
ABCB7,0.04171513344369847,9,0.8888888888888888
ABCB8,0.02917175949333214,9,1.0
ABCB9,0.02304227478509391,35,0.8571428571428571
ABCC1,0.026747179914866376,7,0.8571428571428571
ABCC10,0.029230563356810707,4,0.75
ABCC11,0.011089899109399231,6,1.0
ABCC12,-0.1408675918900753,5,0.8
ABCC13,0.014868771180284193,4,0.0
ABCC2,0.02147880365630005,5,0.8
ABCC3,0.007831534151849534,10,0.8
ABCC4,0.021914052664693633,6,1.0
ABCC5,0.01551265569634889,12,0.9166666666666666
ABCC6P1,0.031110043730203513,2,1.0
ABCC6P2,0.04019219434895271,2,1.0
ABCC8,0.01938004642490611,12,0.5833333333333334
ABCC9,-0.015749387499838063,4,0.0
ABCD1,0.03319553710382447,12,0.75
ABCD2,0.05336722123732116,6,0.8333333333333334
ABCD3,0.01994032472476851,11,0.8181818181818182
ABCD4,0.023378733363336623,7,0.7142857142857143
ABCE1,0.027483116159053477,19,0.8421052631578947
ABCF1,0.01887838541182128,25,0.84
ABCF2,0.012835630616683255,13,0.9230769230769231
ABCF3,-0.009079302279973353,10,0.8
ABCG1,0.020531903297261858,23,0.782608695652174
ABCG2,0.014463551959497115,13,0.6153846153846154
ABCG4,0.02008318247658286,11,0.7272727272727273
ABCG5,0.038684750444688776,13,0.9230769230769231
ABCG8,0.03826695323255997,20,0.9
ABHD1,0.024867444879142785,7,0.7142857142857143
ABHD10,0.01918959564746101,11,0.5454545454545454
ABHD11,0.009525398553135944,9,0.7777777777777778
ABHD12,0.016433750966578516,8,0.625
ABHD12B,0.00582182863142102,7,0.8571428571428571
ABHD13,0.012872027013846937,15,0.7333333333333333
ABHD14A,0.01571061855550343,15,0.8
ABHD14B,0.019024484204283047,18,0.8333333333333334
ABHD15,0.015092879407437145,8,0.75
ABHD2,-0.003745456151707797,17,0.7647058823529411
ABHD3,0.015489979002644504,11,0.7272727272727273
ABHD4,0.022384958624477386,9,0.7777777777777778
ABHD5,0.02094351265008932,13,0.8461538461538461
ABHD6,0.023762544584115284,14,0.9285714285714286
ABHD8,0.024276639681509945,13,0.7692307692307693
ABI1,0.031140683539721343,10,1.0
ABI2,0.013826412865652712,9,0.6666666666666666
ABI3,0.02448335103487526,10,0.8
ABI3BP,0.031267995879925604,5,0.6
ABL1,0.029050444113258588,17,0.8823529411764706
ABL2,0.03334736325330677,12,0.8333333333333334
ABLIM1,0.03648637478364857,25,0.84
ABLIM2,0.00796374563376977,9,0.7777777777777778
ABLIM3,0.02647004837904708,15,0.8666666666666667
ABO,0.04011988551192571,3,1.0
ABP1,0.05186096035439391,8,1.0
ABR,0.023136478551731173,77,0.7532467532467533
ABRA,0.007407365144710604,7,0.8571428571428571
ABT1,0.010382260569910701,7,0.5714285714285714
ABTB1,0.01260126480923109,10,0.6
ABTB2,0.008071292208056469,11,0.6363636363636364
ACAA1,0.019045717886501983,12,0.6666666666666666
ACAA2,0.023111007381682123,7,0.7142857142857143
ACACA,0.004859546506041277,34,0.6470588235294118
ACACB,0.0498809991042239,4,1.0
ACAD10,0.018227157525064035,17,0.8823529411764706
ACAD11,0.025912269601352022,11,0.8181818181818182
ACAD8,0.017464958975474204,14,0.8571428571428571
ACAD9,0.015095688477697192,14,0.7857142857142857
ACADL,0.0283371429810805,9,0.7777777777777778
ACADM,0.018046132963899175,15,0.6666666666666666
ACADS,0.010143463636968476,9,0.5555555555555556
