symbol,delta,n_sonden,donor_konsistent
7A5,0.06792603333333334,1,0.0
A1BG,-0.03576716666666668,1,1.0
A2BP1,-0.004760543333333334,2,0.0
A2M,-0.09027673333333337,1,1.0
A2ML1,-0.04810439999999999,2,1.0
A4GALT,-0.0077761349999999965,2,0.0
A4GNT,-0.03144215000000002,2,0.0
AAAS,-0.0020677566666666668,2,0.5
AACS,0.0017044333333333331,2,0.5
AADAC,-0.02866656666666667,1,0.0
AADACL2,-0.21851376666666666,1,1.0
AADAT,0.009213828333333332,2,0.5
AAK1,0.010727350000000002,1,1.0
AAMP,-0.05643333666666666,2,1.0
AANAT,0.019017183333333375,2,0.0
AARS,0.010083998333333333,2,0.5
AARSD1,-0.029927183333333305,2,0.5
AASDH,-0.018053553333333337,2,1.0
AASS,-0.04554683333333335,1,1.0
AATF,-0.15458079166666666,2,0.5
AATK,-0.02204323333333333,2,0.5
ABAT,-0.011568493333333334,2,0.5
ABC1,0.0003810616666666657,2,0.5
ABCA1,-0.0003773749999999998,2,0.0
ABCA11,-0.010041745000000001,2,0.5
ABCA2,-0.007209973333333335,2,0.0
ABCA3,-0.004774098333333329,2,1.0
ABCA4,-0.06804498333333334,2,1.0
ABCA5,0.0027703850000000037,2,0.0
ABCA6,-0.022987500000000008,1,0.0
ABCA7,-0.029808586666666664,2,1.0
ABCA8,0.004314070000000003,1,0.0
ABCA9,0.01412435333333333,1,0.0
ABCB1,-0.20381219333333334,1,1.0
ABCB10,-0.08923168666666666,2,0.5
ABCB11,-0.012106016666666677,2,0.5
ABCB4,-0.043112199999999996,3,0.3333333333333333
ABCB5,0.0011785000000000198,2,0.5
ABCB6,-0.014250700000000015,2,1.0
ABCB7,0.0015449033333333325,2,0.0
ABCB8,-0.030684791666666666,2,1.0
ABCB9,-0.006322043333333335,2,0.0
ABCC1,-0.06307042666666667,2,0.5
ABCC10,-0.04827136666666667,1,1.0
ABCC11,-0.021375170000000002,2,0.5
ABCC12,-0.11224065,2,1.0
ABCC13,-0.02644823333333337,2,0.5
ABCC2,-0.0840506,2,0.5
ABCC3,-0.012261283333333333,2,0.5
ABCC4,-0.010513036666666666,2,0.5
ABCC5,0.0061886505,2,0.5
ABCC6,0.0053162896666667,2,0.0
ABCC8,-0.03784263666666666,2,0.0
ABCC9,-0.13315876666666668,1,1.0
ABCD1,-0.02992973333333333,1,0.0
ABCD2,0.017646666666666654,1,0.0
ABCD3,-0.039188331666666666,2,0.5
ABCD4,0.010217866666666667,2,0.5
ABCE1,-0.07627861666666666,1,1.0
ABCF1,-0.008718146499999998,2,0.5
ABCF2,-0.009687929999999997,2,0.5
ABCF3,-0.0019327968333333347,2,0.5
ABCG1,0.005075483333333325,2,0.5
ABCG2,0.005034533333333332,2,0.0
ABCG4,-0.033232485,2,0.5
ABCG5,-0.003016333333333343,2,0.5
ABHD1,-0.0006940600000000033,1,0.0
ABHD10,0.00023267333333333064,2,1.0
ABHD11,-0.01564088116666665,2,1.0
ABHD14A,-0.04492741666666667,2,0.5
ABHD2,-0.057701185,2,1.0
ABHD4,-0.01288655,2,1.0
ABHD5,-0.009022181,2,0.5
ABHD6,-0.004456341666666666,2,0.5
ABHD7,-0.05187433833333333,2,1.0
ABHD8,0.005297211666666666,2,0.5
ABHD9,-0.10184504333333334,1,1.0
ABI1,-0.0004384916666666666,2,0.0
ABI2,0.006693325000000001,2,0.5
ABI3,0.000889066666666642,2,0.0
ABL1,0.011287686666666668,2,0.0
ABL2,0.008728618333333332,2,0.0
ABLIM1,-0.09063726666666669,2,0.5
ABLIM3,0.0031637466666666683,2,0.5
ABO,-0.005185226666666657,2,0.0
ABP1,-0.03443375000000004,2,0.5
ABR,-0.003553979999999994,2,0.0
ABRA,-0.019163233333333324,2,0.5
ABT1,-0.01981262333333333,2,0.5
ABTB1,-0.029935809999999997,2,0.5
ABTB2,-0.009088653333333335,2,0.5
ACAA1,-7.144333333333449e-05,2,1.0
ACAA2,-0.008717935,2,0.5
ACACA,-0.0167756,1,1.0
ACAD11,-0.02940153333333333,1,1.0
ACAD8,-0.010166611666666665,2,0.5
ACAD9,-0.006339146666666666,2,0.5
ACADL,0.003288353333333335,2,0.5
ACADM,0.041414292500000005,2,0.5
ACADS,0.0017446166666666653,2,0.5
ACADSB,0.0041060029999999996,1,0.0
ACADVL,-0.013001150000000017,2,0.5
ACAT1,-0.03370462416666666,2,0.5
ACAT2,0.14122675966666667,2,0.5
ACBD3,-0.015391724999999998,2,0.5
ACBD5,-0.007687323166666667,2,0.5
ACBD6,0.0030662083333333322,2,0.0
ACCN1,0.021995166666666677,1,0.0
ACCN2,0.016941836666666665,2,0.5
ACCN3,-0.024481633333333308,1,0.0
ACCN4,-0.00010400200000000061,2,0.0
ACCN5,-0.04721149999999996,1,1.0
ACD,-0.0017447333333333037,2,0.0
ACE,-0.0025769633333333343,1,0.0
ACE2,-0.05634060000000004,1,0.0
ACF,-0.1311053,1,1.0
ACHE,-0.0016643233333333326,2,0.0
ACIN1,0.0003431308333333319,2,0.0
ACLY,-0.014537673333333334,2,0.5
ACMSD,-0.08286615,2,0.0
ACN9,-0.009335782666666667,2,0.5
ACO1,0.0016907690000000004,2,0.5
ACOT11,-0.0013501850000000024,2,0.0
ACOT12,-0.012858475000000001,2,0.5
ACOT2,0.015073078333333335,2,0.0
ACOT4,-0.038311633333333324,2,0.5
ACOT7,-0.025033696666666664,2,0.5
ACOT8,0.001440592166666667,2,0.0
ACOX1,-0.012923596666666665,2,0.5
ACOX2,-0.002921593333333338,2,0.0
ACOX3,-0.02434041333333333,2,1.0
ACOXL,-0.12587616666666668,2,1.0
ACP1,-0.061670899999999994,1,1.0
ACP2,-0.011962529999999999,1,1.0
ACP5,-0.050755249999999974,2,0.5
ACP6,-0.02123431333333331,2,0.5
ACPL2,-0.09376521366666668,2,1.0
