symbol,delta,n_sonden,donor_konsistent
7A5,0.10051513333333333,1,1.0
A1BG,0.07503909999999998,1,1.0
A2BP1,0.005960711666666666,2,0.5
A2M,0.07654299999999996,1,1.0
A2ML1,-0.006631283333333312,2,0.0
A4GALT,0.013177258333333337,2,0.0
A4GNT,0.02323521666666667,2,0.5
AAAS,0.009552253333333337,2,0.0
AACS,0.0034361216666666653,2,0.0
AADAC,0.027256666666666707,1,1.0
AADACL2,0.0009002333333333334,1,0.0
AADAT,0.006895508333333334,2,0.0
AAK1,0.003458263333333334,1,0.0
AAMP,0.09275688166666667,2,1.0
AANAT,0.01933344999999999,2,0.0
AARS,0.015034211666666667,2,0.5
AARSD1,-0.005198473333333295,2,0.0
AASDH,-0.004353376666666667,2,0.0
AASS,-0.00506063333333336,1,0.0
AATF,0.027091911666666663,2,0.0
AATK,0.0192677,2,0.0
ABAT,0.00015036833333333105,2,0.0
ABC1,-0.0029822453333333333,2,0.5
ABCA1,0.0010178200000000002,2,0.0
ABCA11,-0.0080792,2,0.5
ABCA2,0.014498161666666669,2,0.0
ABCA3,0.012126941666666669,2,0.0
ABCA4,0.001368983333333333,2,0.0
ABCA5,0.007888910000000002,2,0.5
ABCA6,-0.013775196666666675,1,0.0
ABCA7,0.011009458333333336,2,0.0
ABCA8,-0.013102589999999997,1,1.0
ABCA9,-0.02691468333333334,1,0.0
ABCB1,-0.06342883333333334,1,0.0
ABCB10,0.03815365000000001,2,0.5
ABCB11,0.024368033333333323,2,0.5
ABCB4,0.0149925,3,0.0
ABCB5,0.05010028333333335,2,0.5
ABCB6,0.017643849999999985,2,0.5
ABCB7,0.05708360333333333,2,0.0
ABCB8,0.009213243333333333,2,0.5
ABCB9,0.0062888200000000005,2,0.0
ABCC1,-0.0022014733333333494,2,0.5
ABCC10,0.019506466666666666,1,1.0
ABCC11,-0.006603176666666673,2,0.0
ABCC12,0.0022015833333333488,2,0.0
ABCC13,0.016454916666666673,2,0.5
ABCC2,-0.03162729999999998,2,0.0
ABCC3,0.016211976666666666,2,1.0
ABCC4,0.006384130000000003,2,0.0
ABCC5,0.0016850900000000002,2,0.0
ABCC6,0.018107502333333338,2,0.5
ABCC8,-0.004100213333333323,2,0.0
ABCC9,0.013728666666666686,1,0.0
ABCD1,0.12062353333333335,1,0.0
ABCD2,0.003635366666666658,1,0.0
ABCD3,0.02276346666666667,2,0.5
ABCD4,-0.010231666666666665,2,0.5
ABCE1,-0.02362762,1,1.0
ABCF1,0.006791600166666668,2,0.5
ABCF2,0.0014485699999999997,2,0.0
ABCF3,0.0168674065,2,0.0
ABCG1,0.004597533333333306,2,0.0
ABCG2,-0.004085346666666668,2,0.0
ABCG4,0.01722730166666667,2,0.0
ABCG5,0.005944866666666678,2,0.5
ABHD1,0.0397373,1,1.0
ABHD10,0.0035504616666666676,2,0.0
ABHD11,0.0016768858333333248,2,0.5
ABHD14A,0.007057316666666655,2,0.0
ABHD2,-0.006429943333333333,2,0.0
ABHD4,0.0015659900000000008,2,0.0
ABHD5,0.0107632715,2,0.0
ABHD6,0.006865816666666666,2,0.5
ABHD7,0.01790274666666667,2,0.0
ABHD8,0.010647214999999996,2,0.5
ABHD9,-0.06346043333333334,1,1.0
ABI1,0.001435206666666667,2,0.0
ABI2,0.004960556666666666,2,0.0
ABI3,0.014305166666666655,2,0.0
ABL1,0.013686501666666667,2,0.5
ABL2,0.0012559433333333356,2,0.0
ABLIM1,-0.01824415666666668,2,0.0
ABLIM3,-0.012324086666666663,2,0.5
ABO,0.01947128166666666,2,0.0
ABP1,0.024264099999999972,2,0.0
ABR,0.03495768666666667,2,0.5
ABRA,0.0003129000000000233,2,0.0
ABT1,0.005126486666666671,2,0.0
ABTB1,0.03436419999999999,2,0.5
ABTB2,0.006783204999999998,2,0.0
ACAA1,-0.0020023800000000007,2,0.5
