symbol,ri,delta_osteo,n_sonden_osteo,donorkons_osteo,delta_myo,n_sonden_myo,donorkons_myo,erwartet
ABCA6,1,-0.013775196666666675,1,0.0,-0.022987500000000008,1,0.0,-1
ABCA8,1,-0.013102589999999997,1,1.0,0.004314070000000003,1,0.0,-1
ABCG2,-1,-0.004085346666666668,2,0.0,0.005034533333333332,2,0.0,1
ACSL1,1,0.006521036666666665,2,0.5,0.014104971666666669,2,0.5,-1
ADAMTS10,1,0.005036278333333331,2,0.5,0.007796526666666662,2,0.5,-1
ADAMTSL1,-1,-0.007579151666666668,2,0.5,-0.04073514166666667,2,0.5,1
ADPRHL1,1,0.023109133333333327,2,0.0,0.014150949999999997,2,0.0,-1
AGTR1,1,0.004028573333333335,2,0.5,0.001613593333333334,2,1.0,-1
AKAP13,1,0.00087659,2,0.5,0.0019145350000000002,2,0.0,-1
ANGPTL1,1,0.006780330000000001,1,0.0,-0.011550066666666664,1,0.0,-1
APOD,1,0.03019877333333334,2,0.5,-0.027864193333333332,2,0.5,-1
ARHGAP24,1,0.000653893333333334,2,0.0,-0.006888168333333332,2,0.0,-1
ASPHD1,-1,-0.007735286666666664,2,1.0,-0.007937254999999999,2,0.0,1
BBX,1,0.005081263333333333,1,0.0,-0.015048566666666666,1,1.0,-1
BCL6,1,0.004523012000000001,2,0.5,-0.000300115,2,0.0,-1
BMPR1B,1,-0.0011609750000000016,2,0.0,-0.000481828333333335,2,1.0,-1
C1QTNF1,1,0.0018073366666666655,2,0.5,-0.011469598333333332,2,1.0,-1
C1orf50,1,0.006693613333333334,1,0.0,-0.011289443333333335,1,0.0,-1
CALCOCO2,1,0.0024952633333333307,2,0.0,0.03842607499999999,2,0.5,-1
CCND3,1,0.09715284666666668,1,1.0,-0.07641971666666665,1,1.0,-1
CDCP1,-1,0.004652073333333347,2,0.0,0.004891861666666686,2,0.5,1
CFH,1,0.03017266333333334,2,0.0,0.00525425,2,1.0,-1
CORIN,1,0.005836901666666668,2,0.5,-0.011166353333333335,2,0.0,-1
CST3,1,0.0037447000000000014,1,0.0,0.004307053333333335,1,0.0,-1
CTHRC1,1,0.031227841666666666,2,0.0,0.015476238333333324,2,0.0,-1
CTNNAL1,-1,-0.005233994999999998,2,0.0,-0.0038331800000000007,2,0.5,1
CXCL13,1,0.03724551333333332,1,0.0,0.06400698,1,0.0,-1
CXCL5,1,0.015001483333333319,2,0.0,0.008844253333333312,2,0.0,-1
CYP7B1,1,0.004336939999999982,2,0.0,-0.06014263616666667,2,0.5,-1
DCN,1,0.004757280000000007,1,0.0,-0.007734863333333337,1,0.0,-1
DCUN1D3,1,-0.006884352166666666,2,0.0,0.00996748916666667,2,0.0,-1
DGCR6,1,0.013396361666666676,2,0.0,-0.028185554999999994,2,0.5,-1
DPT,1,-0.0008097466666666677,2,1.0,-0.009856456666666668,2,0.5,-1
DUSP22,1,-0.04849565833333335,2,0.0,-0.04948257666666668,2,0.0,-1
ECM1,-1,0.013838566666666644,1,1.0,-0.011464333333333335,1,0.0,1
EPHB1,-1,0.006659503166666667,2,0.0,0.004820610000000014,2,0.0,1
F2RL2,-1,0.01517378,2,1.0,0.019435803333333335,2,1.0,1
FAIM,1,4.623333333333198e-06,2,0.0,-0.015224677999999997,2,0.5,-1
FBLN5,1,0.006388395,2,1.0,-0.005258809999999999,2,0.5,-1
FGF12,-1,-0.0013688433333333334,2,0.0,0.002673740000000001,2,0.0,1
GADD45B,1,0.026726316666666666,1,1.0,0.007530883333333333,1,1.0,-1
GALNT6,-1,0.0187614,2,0.5,-0.023090100000000002,2,0.5,1
GAS1,1,0.022867163333333336,2,0.5,-0.008386651666666666,2,0.5,-1
GPAM,1,0.0014069966666666665,2,0.0,0.010310751666666665,2,0.0,-1
H6PD,1,0.017881771666666657,2,0.0,-0.04299894333333333,2,0.5,-1
HDAC6,1,0.12069640833333335,2,0.5,0.013246056666666672,2,0.0,-1
HIF3A,1,-0.01181843499999999,2,0.5,-0.023314164999999984,2,1.0,-1
IFNGR1,1,0.0036218714999999985,2,0.0,0.009261302499999999,2,0.0,-1
IL18R1,1,0.026838666666666677,1,0.0,-0.005530966666666637,1,0.0,-1
IL1R1,1,0.008579700000000004,2,0.0,-0.06827703333333333,2,1.0,-1
IMPG2,1,0.0058060999999999625,1,0.0,-0.11294939999999998,1,1.0,-1
IRS2,1,0.0029816944999999997,2,0.5,-0.0041228895,2,0.5,-1
ITGA9,1,0.004430083333333333,2,1.0,0.001318741,2,0.0,-1
KIF13B,1,-0.001399175000000001,2,0.0,-0.017627615,2,1.0,-1
KLF5,1,0.005904911666666667,2,1.0,0.0009284466666666662,2,0.5,-1
KLF9,1,0.0036840966666666676,1,0.0,0.000502910000000001,1,0.0,-1
KLRD1,1,-0.01438736666666666,1,0.0,-0.04784563333333336,1,1.0,-1
LNX1,1,0.001634366666666683,1,0.0,-0.03745860000000001,1,1.0,-1
LTBR,1,-0.02692776666666667,1,0.0,-0.12595767333333333,1,1.0,-1
MAP4K2,-1,0.010529499999999997,2,0.0,-0.027780033333333343,2,0.0,1
MID2,1,0.08568476666666666,2,0.0,0.04843409999999999,2,0.0,-1
MMP19,1,0.021191853333333344,2,0.0,-0.016929751666666663,2,0.0,-1
MMP7,1,-0.15817356666666663,1,1.0,-0.08363913333333332,1,0.0,-1
MXI1,1,-0.00915180333333334,2,1.0,-0.00696684666666668,2,0.0,-1
MYL3,1,0.012307766666666664,1,1.0,0.005426333333333348,1,0.0,-1
NAV2,1,-0.002942498333333335,2,0.0,-0.03673403833333333,2,1.0,-1
NCOA3,1,0.004161901666666665,2,0.5,-0.005405966666666668,2,0.5,-1
NEBL,1,-0.0024068166666666732,2,0.0,-0.016069300000000026,2,0.0,-1
NFIA,1,0.002208065000000001,2,0.0,0.00021415833333333304,2,0.0,-1
NFKBIA,1,0.03016863333333333,2,0.5,-0.0029185616666666664,2,0.5,-1
NPAS2,1,0.012360535166666662,2,0.5,0.027245619666666665,2,0.5,-1
NPL,1,-0.007980449999999991,2,0.0,-0.1327699833333333,2,1.0,-1
NRCAM,1,0.008910380000000002,1,1.0,-0.0056428799999999986,1,0.0,-1
NRXN2,-1,0.008896173333333332,1,1.0,0.022039950000000003,1,1.0,1
PALLD,1,0.04387909999999998,1,0.0,-0.1582976,1,1.0,-1
PDE4DIP,1,-0.015076286666666668,2,0.0,-0.04645338833333334,2,1.0,-1
PEG10,-1,-0.00014545111111111323,6,0.0,-0.0010208733333333371,6,0.3333333333333333,1
PIK3R1,1,-0.004852066666666664,2,0.0,0.05406541666666669,2,0.5,-1
PLCB3,-1,0.01922013333333333,1,1.0,-0.006700836666666668,1,0.0,1
PLEKHA1,1,0.0026687250000000016,2,0.0,0.014013685000000003,2,0.5,-1
PPARGC1A,1,-0.004087285000000002,2,0.0,0.013695201666666663,2,0.5,-1
PPP1R16A,-1,0.01414766666666667,2,0.0,-0.013683783333333348,2,0.0,1
PTS,1,-0.005535294999999997,2,0.5,-0.013933818333333334,2,1.0,-1
RASSF4,1,0.004078993333333333,2,0.0,-0.011092286666666668,2,0.5,-1
RBMS1,1,0.000711476666666666,2,0.0,0.003590924999999999,2,0.0,-1
REEP2,-1,0.021356359999999998,2,0.5,-0.007414848333333337,2,1.0,1
RERG,1,0.0060822766666666726,2,0.0,-0.01455695833333333,2,0.5,-1
REV3L,1,0.004140369999999995,2,0.5,-0.002053968333333335,2,0.0,-1
RFK,1,-0.001333779,2,0.5,0.022176540666666664,2,0.5,-1
RGS7,-1,0.016955131666666665,2,0.5,-0.011161568333333333,2,0.5,1
ROR2,1,0.0031777366666666655,2,0.0,-0.013610921666666668,2,1.0,-1
SAA1,1,-0.21294253333333332,2,0.5,-0.10877398333333331,2,0.5,-1
SCNN1A,1,-0.02277673833333333,2,0.5,-0.026969210000000004,2,0.5,-1
SDCBP2,1,0.026066649999999986,2,1.0,0.006208383333333327,2,0.0,-1
SH3RF2,-1,0.0013930416666666676,2,0.5,-0.0071490749999999995,2,0.5,1
SLC14A1,-1,0.04971166666666664,2,0.5,-0.04655881666666668,2,0.5,1
SLC1A1,-1,0.001857125,2,0.0,-0.00224993,2,0.0,1
SLC37A4,-1,0.02359649666666667,2,0.5,-0.006083811666666666,2,0.0,1
SLC38A4,1,0.024310991666666663,2,0.0,-0.019380545,2,0.5,-1
SLC4A11,1,0.010214473333333326,2,0.0,0.04949723166666667,2,1.0,-1
SMARCA2,1,0.007514916666666666,1,0.0,-0.0044438199999999985,1,0.0,-1
SOX5,1,0.04717961666666667,2,1.0,-0.041479810000000006,2,1.0,-1
SSTR1,-1,-0.0021779316666666686,2,0.0,0.00550871333333333,2,1.0,1
STARD8,-1,0.08283619833333333,2,0.5,0.054429464999999996,2,0.0,1
STAT5A,1,-0.0055905666666666715,2,0.0,0.004788116666666675,2,0.0,-1
STYK1,-1,-0.011515111666666663,2,0.5,-0.009948963333333331,2,0.0,1
SYT8,1,0.010647633333333333,2,0.5,-0.01994546666666667,2,0.5,-1
TACC1,1,0.003203639500000008,2,0.0,-0.004217365500000006,2,0.0,-1
TACSTD2,1,0.0016887616666666702,2,0.0,0.0027946133333333345,2,0.0,-1
TBRG1,1,-0.004452693333333332,2,0.0,-0.004670298333333332,2,0.5,-1
TCEAL1,1,0.09773727,1,0.0,0.07923546999999999,1,0.0,-1
TCEAL3,1,0.04306208166666667,2,0.0,0.058454015,2,0.0,-1
TCEAL4,1,0.043099059999999995,1,0.0,0.08467749333333334,1,1.0,-1
