gen,klasse,n_sonden,d_osteo,d_myo
RUNX2,osteogen,2,0.004997683333333336,-0.01756505000000001
ALPL,osteogen,2,0.015604692833333333,-0.0020673736666666663
BGLAP,osteogen,2,0.022072683333333364,0.012370200000000034
IBSP,osteogen,1,0.019329766666666675,0.04646853333333333
COL1A1,osteogen,2,0.0054924683333333335,0.00689833
SPP1,osteogen,1,0.06415963333333334,0.04672816666666665
DLX5,osteogen,5,0.001204108666666666,0.001233007333333331
MYOD1,myogen,4,0.0068154775,-0.0016472366666666662
MYOG,myogen,2,0.019958683333333338,0.00954346666666665
DES,myogen,2,0.0014100316666666654,-0.04574050499999999
MYF5,myogen,2,0.03318018333333332,0.007854083333333317
MYH3,myogen,2,0.01589445000000001,-0.06077963333333332
TNNT1,myogen,2,0.0012718049999999998,0.020559245
