"symbol","MSC_8A","CHON_8A","MSC_2454e","CHON_2454e"
"OR4F5",0.0482427972474044,0.0420720330802688,0.0236440777862193,0.0386144400834416
"OR4F29",0.03215651945659,0.0287361714183574,0.0243839743170367,0.034860941522078
"OR4F16",0.0366520005873006,0.0332521546683245,0.0231778139318557,0.0310303395026845
"SAMD11",0.0568696774673196,0.0361188226257715,0.0341697001793318,0.0454705234517327
"NOC2L",0.0852246768741025,0.0420102358972766,0.103440233964694,0.0885006045291667
"KLHL17",0.0888273411708154,0.0428503947634841,0.112106662472263,0.0995184116703652
"PLEKHN1",0.0481482920249327,0.0437018430958816,0.0693458785457925,0.0850014768001276
"PERM1",0.0470140270059703,0.0276060534927708,0.0309852209645628,0.0361800635485473
"HES4",0.0618283604100211,0.0382826622574446,0.179444273746777,0.0505709671794276
"ISG15",0.0600393500469608,0.0375279042546884,0.196346364883642,0.0488300550670854
"AGRN",0.0400239843679378,0.0400223405445859,0.0620916459301968,0.0475677266045924
"RNF223",0.0498770144085005,0.0436232917158537,0.0236872715771175,0.033575870872437
"C1orf159",0.0499276954415972,0.036403587023434,0.0615469878118304,0.0430384020141751
"TTLL10",0.0406638589551973,0.0265124163195878,0.0268928798488884,0.0318962415585244
"TNFRSF18",0.0488150854963833,0.0391008671595158,0.0433707670084082,0.0485693243816934
"TNFRSF4",0.0536713803545299,0.0384647937508286,0.0272481947005399,0.0502972661232321
"SDF4",0.0570642800271853,0.0688163043753386,0.101793054543046,0.113174251034514
"B3GALT6",0.0643161145452246,0.0648373371055125,0.137057767668639,0.14705858639015
"C1QTNF12",0.0487301234565912,0.0380143417518016,0.0434636862737036,0.0407425917162285
"UBE2J2",0.0712324835495472,0.0486057821236806,0.150753364136062,0.108602933999452
"SCNN1D",0.0450312750674887,0.0383693804553468,0.0258322766814967,0.034943382870131
"ACAP3",0.0581066110345799,0.0497756572661548,0.0754759805530531,0.0705378001963552
"PUSL1",0.0511742342839585,0.0505960405414782,0.113025541752044,0.0731426810559124
