"symbol","MSC_8A","CHON_8A","MSC_2454e","CHON_2454e"
"OR4F5",0.0390136469510393,0.0343611758537127,0.0357325476994442,0.0380958364515922
"OR4F29",0.0311493949803526,0.0268901829701324,0.0306473768651241,0.0303563014677513
"OR4F16",0.695249141926156,0.261149114626901,0.03464720350367,0.272659282614476
"SAMD11",0.0439684792472752,0.0364587579793412,0.0411947486465129,0.0438139622734417
"NOC2L",0.0457419142435861,0.036325124926764,0.0501514987863879,0.0428820705896037
"KLHL17",0.0458677021041529,0.0363414520330226,0.0509180027784643,0.0428231151377887
"PLEKHN1",0.0464342602073249,0.0364183657174097,0.0543861847725444,0.0428295039653927
"PERM1",0.0467981267960624,0.0366393048752471,0.0586892924590151,0.0428245058642478
"HES4",0.04519083233587,0.0349786918267332,0.0591383218949885,0.0403658645235164
"ISG15",0.0450970720434013,0.034820257793205,0.0591767771025407,0.040105971242387
"AGRN",0.0435903009863162,0.0326802054485141,0.0565524603329001,0.0351590391398577
"RNF223",0.041797728401351,0.0327128460930962,0.0399736629341753,0.0362637209208175
"C1orf159",0.0422249413734087,0.0346305045039937,0.0429772975719027,0.041470996428143
"TTLL10",0.0445110742998774,0.035362084771276,0.046272983203832,0.0511944766317073
"TNFRSF18",0.0487709858143889,0.0374264518442694,0.0512363365625482,0.0557460674398465
"TNFRSF4",0.0495218488217364,0.0386645346301654,0.0515609268235057,0.0562875518180075
"SDF4",0.0547675366467301,0.0405055995776941,0.0608638083596544,0.0575646166621238
"B3GALT6",0.0548244099419347,0.0405056488104947,0.0609716274468661,0.0575663686566167
"C1QTNF12",0.0563512121361838,0.0401752021292738,0.0654726525077365,0.057422733961975
"UBE2J2",0.0607228682243532,0.043284612489418,0.0713826223601263,0.057750538168198
"SCNN1D",0.0627772868185531,0.0439368348176776,0.0738769639080997,0.0582943917951156
"ACAP3",0.06847499774781,0.044537456307641,0.0870939622351121,0.0670646654556002
"PUSL1",0.0682026980509459,0.0446109568898018,0.0866167382857957,0.0666543592530129
"INTS11",0.0707357967425519,0.044125491229508,0.0898562265188527,0.0731415948130887
"CPTP",0.0707423886664347,0.0441245602725164,0.089859631789589,0.0731692485949269
"TAS1R3",0.0702906741587875,0.0446065623348766,0.0901825772902575,0.0763177538046434
"DVL1",0.0709785803270882,0.0459491769066025,0.0912227481970869,0.0783087955934862
"MXRA8",0.0724707294988747,0.0461825045678862,0.0923391527341247,0.0808107253291617
"AURKAIP1",0.0704172287602304,0.045708020178655,0.0890198048720695,0.0821712569682654
"CCNL2",0.0658507220180033,0.0442901870067519,0.0783635990700557,0.0807702864378648
"MRPL20",0.0635052619707643,0.0438851389525723,0.0735249425398238,0.0779010746794759
"ANKRD65",0.0585677576896948,0.0431125003722101,0.068472090889179,0.0701456334522373
"TMEM88B",0.0571907689640684,0.04288780816689,0.0671784128765231,0.0680641654509305
"VWA1",0.0560145045749382,0.0423817227212557,0.0634695315286849,0.0656775987342996
"ATAD3C",0.0525473378918761,0.0407710608662209,0.0565618002448634,0.0625676827590327
"ATAD3B",0.0498206992361646,0.0382968459353184,0.0592916115612872,0.0618785199348957
"ATAD3A",0.0529448968997231,0.038309437663324,0.0700686057441862,0.0532302911671364
"TMEM240",0.0553019113355069,0.0397610549907513,0.0765178901457606,0.0630759313942649
"SSU72",0.0528437459730011,0.0396109893254213,0.0795753405359538,0.0623236209681306
"FNDC10",0.0507181016822814,0.0394365212827046,0.0789891168308984,0.0649345676025907
"MIB2",0.0509467669852897,0.0417084504688383,0.0752823802207433,0.0719421848359827
"MMP23B",0.0532056880609024,0.0431049036476286,0.074754662633084,0.0641418121426259
"CDK11B",0.0576716555334343,0.0442957925417643,0.0747242834038991,0.0694501511101344
"SLC35E2B",0.0609601177494401,0.0478081201199358,0.0751779425579043,0.0741928803756657
"CDK11A",0.0591918237314801,0.0459948353650672,0.0676128794389983,0.0654106552876453
"NADK",0.0559776110988978,0.0501812906118125,0.0571968584116885,0.055807427315522
"GNB1",0.0566407878142618,0.0547803787854064,0.063161532841433,0.0586691721399247
"CALML6",0.0529682177743647,0.0481947321140729,0.0602557307250669,0.0531668724022514
"TMEM52",0.0523479221823069,0.0461951815487372,0.0600910981132104,0.0516682051286056
"CFAP74",0.0389957859585187,0.0314817163044314,0.0290509867547236,0.02922991672481
"GABRD",0.0386996111742397,0.0312458862505695,0.0290003923649545,0.0296129042487162
"PRKCZ",0.0381207022304034,0.0325280565302337,0.0290849452959396,0.0307868318109562
"FAAP20",0.0859384996335577,0.0490436370720165,0.160596482912785,0.0912475257726989
"SKI",0.089299943828312,0.0498408295968078,0.165433949105137,0.0954728243331809
"MORN1",0.0539974150735277,0.0414314670920159,0.0582122388955829,0.0529534247091456
"RER1",0.0539990989857798,0.0414304751852106,0.0582110677157941,0.0529526214360441
"PEX10",0.0552330229161402,0.0413552920668224,0.0587229006692241,0.0531021594852591
"PLCH2",0.055953108589905,0.0415619480464578,0.0593706897110188,0.0536536595758008
"PANK4",0.0341519286240023,0.0286931857613668,0.0333923611442497,0.0305815018576032
"HES5",0.0341875936395445,0.0287532868273673,0.0335233115348049,0.0308820941278815
"TNFRSF14",0.0342555089230391,0.0287012542674087,0.0341207130624493,0.0317842361648814
"PRXL2B",0.0339286090056091,0.028321151145828,0.0354129233039683,0.0282199868976187
"MMEL1",0.0490860359213685,0.0286753632205723,0.0333302685056376,0.0319418473948103
"TTC34",0.0438652840871562,0.0328083377484555,0.027966569881636,0.0300430112104847
"ACTRT2",0.0405036419765489,0.0345527993235012,0.035580571740734,0.0336208253500809
"PRDM16",0.0410935127664766,0.0343791926244525,0.0449467158596173,0.0354139053440104
"ARHGEF16",0.0474130906924317,0.0346645160317997,0.0357023340674696,0.0333741828670326
