ebene,datensatz,fenster,achse,null,geeicht,k,wilson_lo,wilson_hi,schwelle_erreicht,n,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,konkordanz_mde80,rang,rang_null,rang_null_sd,rang_z,rang_p
H3K27ac,GSE129031,P,chondrogen,Hintergrund,True,105.0,0.532586804400314,0.6766399838667,True,173,0.6069364161849711,0.48179190751445083,0.038025880448560714,3.2910351369722717,0.0014999250037498126,0.5882643727704209,0.08473782730957462,-0.0001061664255660809,0.022072804874144945,3.84382475262684,9.99950002499875e-05
H3K27ac,GSE129031,P,chondrogen,basisgeschichtet,True,105.0,0.532586804400314,0.6766399838667,True,173,0.6069364161849711,0.47461184971098264,0.03685815446281675,3.5901028796078256,0.0010999450027498626,0.5778146822068695,0.08473782730957462,-0.0020690576939689604,0.020349065714099505,4.265890445446674,9.99950002499875e-05
H3K27ac/Input,GSE129031,P,chondrogen,basisgeschichtet,True,,,,True,173,0.5895953757225434,0.48019364161849715,0.036851163948005757,2.968745688966675,0.0039998000099995,0.5833769006729133,0.07157677487030754,-0.004636798395747254,0.020459058714795426,3.7251749617854726,0.00039998000099995
H3K27ac,GSE129031,P,Linie 8A,Hintergrund,True,,,,True,173,0.5606936416184971,0.45550895953757226,0.03720169949150427,2.827416046004721,0.0066996650167491624,0.5596737181137842,0.06912503586889711,-3.4911446808990195e-05,0.02192533578823971,3.1543392531667425,0.0018999050047497626
H3K27ac,GSE129031,P,Linie 2454e,Hintergrund,True,,,,False,173,0.6011560693641619,0.519714739884393,0.038125294722148026,2.1361495058150304,0.03789810509474526,0.6264655651064075,0.07048681746787396,-2.074990736067428e-07,0.022102435771861995,3.1891066529727308,0.00119994000299985
H3K27ac,GSE129031,T10,chondrogen,Hintergrund,True,106.0,0.5384291353355454,0.68210720905401,True,173,0.6127167630057804,0.48935433526011557,0.037952850734048485,3.250412692583147,0.0014999250037498126,0.5956223173154513,0.1070177970039161,4.4101881859292055e-05,0.02199527457003573,4.863485326424958,9.99950002499875e-05
H3K27ac,GSE129031,T10,chondrogen,basisgeschichtet,True,106.0,0.5384291353355454,0.68210720905401,True,173,0.6127167630057804,0.4843450867052024,0.03709878227940679,3.4602665751602304,0.000599970001499925,0.5882216770875414,0.1070177970039161,-0.0008788708194933033,0.021255640743522354,5.0761428048830215,9.99950002499875e-05
H3K27ac/Input,GSE129031,T10,chondrogen,basisgeschichtet,True,,,,True,173,0.6358381502890174,0.501399421965318,0.03701455268618084,3.6320506008408766,0.00039998000099995,0.6050401694866243,0.09774227200288035,0.001428590011966899,0.02053265328891709,4.690756749051069,9.99950002499875e-05
H3K27ac,GSE129031,T10,Linie 8A,Hintergrund,True,,,,False,173,0.5549132947976878,0.4682586705202313,0.037548628980245115,2.3077972919609606,0.026298685065746712,0.5733948316649176,0.08162030391918887,4.49469805358142e-05,0.021936782085450697,3.718656483931475,0.0002999850007499625
H3K27ac,GSE129031,T10,Linie 2454e,Hintergrund,True,,,,False,173,0.5838150289017341,0.5304245664739884,0.03764954934943499,1.418090345045443,0.18229088545572722,0.6358433046524063,0.07871020580667491,0.00023020740021807286,0.021965019119838267,3.5729537943163283,0.00039998000099995
H3K27ac,GSE129031,T50,chondrogen,Hintergrund,True,106.0,0.5384291353355454,0.68210720905401,True,173,0.6127167630057804,0.4947184971098266,0.038026562464925355,3.1030484547424466,0.0026998650067496625,0.6011928720116176,0.10207060816541785,0.00020346044028263571,0.021904390747506462,4.650535543278304,9.99950002499875e-05
H3K27ac,GSE129031,T50,chondrogen,basisgeschichtet,True,106.0,0.5384291353355454,0.68210720905401,True,173,0.6127167630057804,0.4963,0.03698248490317053,3.1478891510559337,0.002199890005499725,0.5998509577288775,0.10207060816541785,0.0024262085976456253,0.02120820844620828,4.698388353759659,9.99950002499875e-05
H3K27ac/Input,GSE129031,T50,chondrogen,basisgeschichtet,True,,,,True,173,0.6358381502890174,0.5167725433526011,0.03673061165700497,3.241590639662244,0.001799910004499775,0.6196182559922151,0.09893376892691422,0.004921161129619864,0.020473867453606725,4.591834347385739,9.99950002499875e-05
H3K27ac,GSE129031,T50,Linie 8A,Hintergrund,True,,,,False,173,0.5895953757225434,0.48331936416184973,0.03810827961337652,2.7887905893130203,0.006999650017499125,0.590022547079304,0.09064445933242965,0.00019768908751076927,0.021990493638574065,4.112994084237563,9.99950002499875e-05
H3K27ac,GSE129031,T50,Linie 2454e,Hintergrund,True,,,,True,173,0.6242774566473989,0.5161676300578034,0.03783458137981543,2.857434195037018,0.005399730013499325,0.6221044579212867,0.08166882624040817,-0.00019640324917248405,0.021883725935155363,3.7409182390676587,0.0004999750012499375
