eichung,fenster,achse,bestanden,n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80
D,P,osteogen,False,18,10,-0.05823305331396163,-0.0001757313683370061,0.1065840902383121,-0.5447090819634887,1.0,0.29825972129893685
D,P,adipogen,True,18,10,0.5601086771999508,-0.00037012958799560345,0.1176774956563003,4.762837649306647,9.99950002499875e-05,0.3291268582496452
D,T10,osteogen,False,18,10,0.1044936561898185,0.0001228537852763022,0.08522555025094687,1.224642165374375,0.21718914054297286,0.2387543944879275
D,T10,adipogen,True,18,10,0.4527368364863203,-7.036328094796165e-05,0.09036329302487402,5.010963905915043,9.99950002499875e-05,0.2529468571886993
D,T50,osteogen,False,18,10,0.10148571956428327,0.0007171992258600198,0.060853280852034314,1.655925842083083,0.09769511524423778,0.17110638561155608
D,T50,adipogen,True,18,10,0.26818876313217865,0.0009019742162785421,0.06465766249727181,4.133876459378316,9.99950002499875e-05,0.18194342920863962
D,GB,osteogen,False,18,10,0.11793329792919938,-0.0006179641255672929,0.09882798705002839,1.199571756882532,0.22378881055947203,0.27610039961451216
D,GB,adipogen,True,18,10,0.39317803788284383,-0.0003769475036776846,0.10552971448616998,3.7293286284603586,0.00039998000099995,0.29510625305759824
L,P,differenz,False,18,18,0.13805470746384188,-9.781122221148549e-05,0.061077528252541646,2.2619205891047884,0.023298835058247088,0.17091926788490514
L,T10,differenz,False,18,18,0.07985487009600584,0.00013073314964227354,0.04436690158228536,1.7969282078105606,0.07229638518074097,0.12435805758004127
L,T50,differenz,False,18,18,0.04579720333714275,0.0002049575358393229,0.04087388798468913,1.115436970869562,0.2651867406629668,0.11465184389296888
L,GB,differenz,False,18,18,0.05805387956496098,-0.0004463785203545147,0.06281022551215737,0.9313811184134716,0.34748262586870654,0.17542225291368613
