"symbol","ATAC_AC_rep1","ATAC_AC_rep2","ATAC_OB_rep1","ATAC_OB_rep2"
"OR4F5",32.4951110039163,0,0,0
"OR4F29",0,0,0,0
"OR4F16",0,27.4424160720074,0,0
"SAMD11",243.720423092846,227.077927202299,120.824938585534,163.280437754176
"NOC2L",175.965532139293,174.135562040316,112.019522941066,118.862147398075
"KLHL17",173.010341346008,174.340292008635,110.009135782748,115.9843708977
"PLEKHN1",145.806792949189,164.564253828065,99.9929905981663,141.045474092322
"PERM1",123.432154305527,174.700557033257,30.981431143894,134.662179664644
"HES4",179.592969046196,207.008182797963,296.059382048306,279.782839242786
"ISG15",176.555980386988,186.837824600517,282.081842213326,286.020825159747
"AGRN",172.574483007284,172.396349444105,245.080154417979,200.088085688369
"RNF223",204.183692103507,257.816881376765,66.0388297237078,262.40152726247
"C1orf159",247.008301297524,277.036342645571,367.968809842937,197.507773270982
"TTLL10",120.314784874214,131.974095175389,46.5785120253789,114.320602721419
"TNFRSF18",169.078068184974,255.253409216166,150.941741829365,161.922176570582
"TNFRSF4",198.730931867131,182.740289339014,33.8960030285764,146.961671496169
"SDF4",213.633237532152,209.014108966355,282.672144733169,175.508604483506
"B3GALT6",178.175536981682,202.878128054926,314.858709457421,235.831626042225
"C1QTNF12",134.571292978903,127.936812289803,54.0708115363729,151.690770795522
"UBE2J2",173.641703353877,193.815657027989,174.425447673224,178.553466524225
"SCNN1D",114.343628858825,86.3330250561852,25.462423252524,38.0805621516975
"ACAP3",180.238094116752,204.618394037698,69.2230647712167,174.359644388348
"PUSL1",184.183197996281,217.487067795849,350.27118852744,248.109206956541
"INTS11",187.874207109112,213.963190827431,124.797284089889,196.251339537274
"CPTP",151.461759066675,159.191742458496,117.49462524424,186.701061872799
"TAS1R3",108.391831642485,158.090604012256,57.9435860429122,102.159034477365
"DVL1",211.210594190646,208.36085877879,265.942944401248,290.762503130066
"MXRA8",122.677776299729,134.727479821663,131.160904447331,128.972926933123
"AURKAIP1",192.429065034763,221.599742974601,248.502659778776,173.339925385398
"CCNL2",260.44931569113,244.845007768332,270.869145482056,223.651076965619
"MRPL20",133.027581539199,142.628039596905,203.23463452669,130.137343167012
"ANKRD65",132.318046450292,115.850799437954,40.6560710208057,71.6939065432844
"TMEM88B",97.1692040192045,123.391405790047,23.3021959078538,90.4823144540398
"VWA1",219.003494629545,255.030462493228,59.3533121924406,180.174435411603
"ATAD3C",63.6139340298869,60.2398192270127,31.5024035260602,49.6301314391077
"ATAD3B",114.274444814006,135.572177666986,164.392485011693,117.458142026965
"ATAD3A",190.06833722503,181.895361000256,214.329162939626,167.880574548716
"TMEM240",222.103023350169,205.702016057157,98.4422463171224,162.747579699531
"SSU72",153.679753870334,129.120775345975,188.857576908992,139.116446645971
"FNDC10",165.645408535242,175.297940295616,82.4395393798491,131.339491321798
"MIB2",195.652482825923,199.80298264417,484.282143494936,242.059849003826
"MMP23B",181.813838284547,177.095961621298,96.9532977185269,157.302569455479
"CDK11B",75.5436918160171,67.2103881868782,166.742346061455,84.9024785323826
"SLC35E2B",117.573542274562,136.477889677053,157.074143396581,128.503712754441
"CDK11A",133.811869590303,199.138349188215,322.431701995354,128.831097400183
"NADK",160.920780197823,165.41027437217,80.1922639888133,127.651437503349
"GNB1",158.235824922237,163.313054019874,78.4743323666447,123.459990988169
"CALML6",128.356193898191,139.088123394984,34.7384495951677,111.059201803032
"TMEM52",192.879428625046,181.77365837696,174.548959069715,215.684044755055
"CFAP74",122.94606675717,117.484337770667,33.1366658470569,94.4554601160717
"GABRD",125.108516929758,129.185393505736,38.2526211524947,109.551422336658
"PRKCZ",115.744831287896,135.918012091012,42.4192643522924,99.1196609901248
"FAAP20",223.804421050634,255.813844596449,151.45736720465,219.261012230484
"SKI",233.257185251149,242.548105460639,306.174573912316,188.459673953547
"MORN1",191.481996636296,208.712020975867,267.098529288424,215.46118086495
"RER1",192.369842246208,211.685412761094,305.4827776135,190.04014928756
"PEX10",174.051274393231,198.969763593825,75.4557795481896,164.871496424007
"PLCH2",105.765267975538,127.038075284214,47.4124928167492,106.735897541339
"PANK4",238.273339440016,255.351901381938,311.853957433496,231.746217810283
"HES5",136.891242787139,130.503577690782,54.3276784448601,100.943473959491
"TNFRSF14",160.794918455412,172.99909356803,48.1538351728667,157.891561039605
"PRXL2B",297.225175043497,273.778802391734,502.8836935069,310.254719053547
"MMEL1",122.496983392983,107.521016229843,45.2017563606374,181.053909236533
"TTC34",121.076511080009,172.994248751598,43.3516416189899,276.453733472968
"ACTRT2",150.46361524831,141.455255724056,46.6472325554003,239.030993226953
"PRDM16",115.579801891949,116.322221911204,47.0812719180342,181.697011565575
"ARHGEF16",147.865629688333,160.139857677566,49.0262565653872,158.372017786198
"MEGF6",111.713748296542,144.110720035557,42.7490596949474,171.296205602421
"TPRG1L",183.037027296762,176.876129401401,338.720845830474,252.525859384613
"WRAP73",114.337623817114,132.510714398848,54.1080003049957,138.433293723927
"TP73",110.096996310831,153.198586956548,29.4510984102356,147.205581462228
"CCDC27",165.774652536755,146.08628905541,50.3228072270744,186.388404169306
"SMIM1",154.611831154005,154.369999065268,165.67953926755,202.024182253808
"LRRC47",141.642250547837,123.904157925012,177.384437254956,113.6552103565
"CEP104",173.299089453324,204.532326498388,193.357752124244,279.726185918675
"DFFB",179.873938628883,189.419700618168,216.0811376939,220.216327882633
"C1orf174",230.00931759506,285.324079894558,770.451065132311,376.698181499892
"AJAP1",148.820245828655,127.622062130145,46.6871087378856,186.003269011812
"NPHP4",242.372082572032,236.979496775697,332.088201582519,290.429013053703
"KCNAB2",106.1688714927,112.629365405395,52.3872496047434,121.769720486437
"CHD5",104.679724063479,109.840177811632,60.9316180913857,109.990346078618
"ENSG00000285629",166.550048776811,156.670116460749,200.13565127298,158.720941567005
"RPL22",170.977910478382,185.576420001501,99.2410883094254,162.263395672174
"RNF207",139.152498744512,131.053017201405,230.402602696834,164.088327884437
"ICMT",118.125158264516,113.413892430085,187.305743610822,125.016692867071
"HES3",131.864027915761,166.201746422764,68.3672616442804,119.076932665668
"GPR153",169.021741462241,207.059768369837,98.8498047186469,232.806110018757
"ACOT7",166.191026507826,157.249599765622,485.848266103049,167.951719001416
"HES2",147.474318942453,172.800496248115,63.9957176347057,134.513069344194
"ESPN",160.552912909024,156.051829280887,64.4120128449791,120.263511269782
"TNFRSF25",137.263963786638,187.381579231495,34.0663362526302,158.497660490604
"PLEKHG5",103.113218123478,117.488691593081,51.5291829216884,91.0619403927436
"NOL9",121.369534649913,132.913292953695,141.182159004038,99.9748111007626
"TAS1R1",115.995048728922,132.963320412141,114.732428012004,112.594111166656
"ZBTB48",177.826223792797,166.17775617773,186.730566252767,136.926821350209
"KLHL21",170.010975593534,120.649226486133,135.132873451185,203.858475342283
"PHF13",214.430117102416,249.077092358711,511.257541019783,403.157497527319
"THAP3",133.171057202922,111.876041402051,123.036631070026,129.297109797713
"DNAJC11",129.652965625987,165.217032400753,209.905514910768,110.189783054553
"CAMTA1",273.67055249337,267.982855752092,799.171719900739,515.047396345091
"VAMP3",90.7323956721392,125.459679470112,290.584045348834,122.279398042713
"PER3",134.826023471792,158.244934474909,299.008672939378,198.117387709457
"UTS2",61.3095197814724,44.6673554953248,33.3299594011153,46.64651261637
"TNFRSF9",59.6796549156878,64.611641961656,47.0997869161527,42.39382434304
"PARK7",128.224314467748,125.279568395703,113.225732259378,142.271396692688
"ERRFI1",148.178229425569,153.356010663961,200.926172123864,165.244438950563
"SLC45A1",110.368391264324,146.499477165057,68.4389744492479,88.1394544856962
"RERE",170.833671084487,130.442195891509,98.199575884241,95.9504755690522
"ENO1",171.000027903085,163.571686305784,273.17579527139,212.149829511575
"CA6",75.8424119672403,108.550446555908,32.6738914501957,58.5459301745793
"SLC2A7",80.7577361237175,57.1104382274843,39.3304674263394,70.1356726379477
"SLC2A5",64.9974091869545,86.0803458157917,28.6921697922769,52.0283607615532
"GPR157",127.708130428189,137.477000940063,133.980114582343,177.698670641422
"H6PD",276.112408365639,261.295278485053,455.934680392458,216.18942807399
"SPSB1",159.230990232906,185.906582692715,248.296089468952,191.366876076685
"SLC25A33",140.025400024707,145.677271321085,312.953959267373,151.277306257049
"TMEM201",175.264372073742,185.848846043428,318.879491605604,189.014100249096
"PIK3CD",126.265172039252,148.294020024739,33.3739227949543,93.7637276275217
"CLSTN1",195.944349792238,231.948535504064,237.211348528136,258.824620455294
"CTNNBIP1",206.860047822184,234.044569956797,523.916886532435,335.457755786637
"LZIC",112.204053410337,152.532972622146,262.850637681789,141.371605864667
"NMNAT1",142.718099139581,138.433766113557,224.458554859222,139.438643794325
"RBP7",91.3150178110289,82.8302405537692,35.4970956837617,62.3002154981086
"UBE4B",158.047972955946,168.706922867143,362.510034157717,206.385266432379
"KIF1B",253.074514720967,246.258831196388,485.619181052523,301.598578441537
"PGD",152.63595270251,214.251002967313,301.966552544058,154.488596969452
"CENPS-CORT",137.291784450924,137.593432222014,96.482577830048,120.076286839107
"CENPS",164.685208352824,158.341173161244,139.581353393555,140.364528019864
"CORT",79.166083651409,86.5052061958618,35.5389995677685,54.4363851891952
"DFFA",120.618195331167,119.922836508891,218.28149208705,127.503825650565
"PEX14",130.895743877048,131.088998193698,221.787404506096,118.975781172869
"CASZ1",140.109003051888,121.386946684162,102.149719223606,116.267886330872
"C1orf127",63.7248978930297,81.5105699161163,33.409611368359,46.0648573322051
"TARDBP",147.90546349234,159.248786341649,269.824543846365,132.154917934092
"MASP2",69.4764277689971,97.1899393992366,37.6988762592765,69.8004834341604
"SRM",234.764419628402,205.836862422661,268.334215287747,185.468525710853
"EXOSC10",107.743113563069,153.223236930969,155.463778595051,73.8745199888035
"MTOR",194.952210776528,145.492028145287,329.41131540546,179.554518751337
"ANGPTL7",68.3860876778372,83.0375465301361,68.7575613360878,69.0343218024064
"UBIAD1",132.048311999723,133.481105590496,253.954151857705,151.062907062757
"DISP3",168.38961798182,156.628855455184,87.7764184615114,217.300478350862
"FBXO2",81.2778096034301,75.7383802147289,43.7643235770226,79.08771327283
"FBXO44",171.960054758807,183.30252358589,65.5966892639068,197.558905820104
"MAD2L2",149.280111178353,115.558657627942,69.8229721392904,154.865686305657
"FBXO6",152.174998867413,165.647650391509,98.1916057266028,128.574765288459
"DRAXIN",91.079193414127,88.7085487120676,49.7396991487561,98.9788123354972
"AGTRAP",119.036295788634,137.179963283567,241.577292600413,110.212833201124
"C1orf167",76.2480629737721,74.9943574516171,25.1991290090966,69.4775801889809
"MTHFR",160.93667787397,163.97412327713,382.351352741056,250.348306503595
"CLCN6",216.482845946106,256.209780825815,507.288442404473,352.576917015906
"NPPA",106.446715120374,91.4762630752376,29.8463943863636,73.4372882392687
"NPPB",87.0966486088327,114.527502322482,45.5456559629649,77.9401287898733
"KIAA2013",125.755383995813,107.510014971377,224.480413844432,83.5694935251471
"PLOD1",183.375060935884,163.467059190426,119.614332516076,148.085458173922
"MFN2",189.144728419032,210.486259262284,468.36304901965,246.264440880824
"MIIP",164.838947429862,133.641326984754,317.656328930357,203.060121909491
"TNFRSF8",94.482841359016,93.6028664020495,50.4994229013598,68.9554445311008
"TNFRSF1B",120.133600407711,120.319446034078,64.7842224247495,117.225669597776
"VPS13D",174.986512070436,162.910725511625,160.891597043361,110.317262624973
"DHRS3",221.33364777482,264.462686579277,99.9750790203679,177.153869607097
"AADACL4",85.1938603467256,88.5310431293561,36.2138783106378,68.51636770247
"AADACL3",104.210897435503,81.5905106970351,29.6649256770277,135.332663687598
"CFAP107",76.797411493115,61.3758720087091,38.4154223805152,101.469524575093
"PRAMEF12",80.4316435001903,81.4093668764422,47.5925070299314,121.128203962422
"PRAMEF1",34.8406510061159,35.7177812384729,37.1782857682071,64.8185653077624
"PRAMEF11",68.7910273574807,33.199307541488,32.5255390015402,57.1678834653145
"HNRNPCL1",50.8678609062015,47.0750909363029,32.7965656695807,96.483418367223
"PRAMEF2",97.3491744974695,90.0180254528877,35.2977988565916,88.9384769742984
"PRAMEF4",46.1663865622117,51.4176966280471,38.0976105375826,40.0467615478157
"PRAMEF10",71.4320202368228,27.4424168885551,35.3508850387115,42.414197943359
"PRAMEF7",40.8439790752664,43.5611962035491,30.6918518851112,49.9952360153955
"PRAMEF6",0,0,0,0
"PRAMEF25",0,0,0,0
"HNRNPCL2",43.967888692579,40.4428270778285,34.2270627845303,109.317476355219
"PRAMEF26",0,0,0,33.3067444386237
"HNRNPCL4",49.1367736326024,46.8882514737107,32.8481153212766,95.887467449652
"PRAMEF13",0,0,0,0
"PRAMEF18",32.4951105784347,27.4424170769892,0,16.6533723058474
"PRAMEF5",0,0,0,0
"PRAMEF8",0,27.4424162257105,0,0
"PRAMEF33",0,0,0,0
"PRAMEF15",0,0,0,0
"PRAMEF14",48.1623973655242,32.1962221797643,0,37.694496182531
"PRAMEF19",0,13.7212725432686,0,0
"PRAMEF17",36.173802877228,24.8896456386873,31.5070138230799,49.4386431626072
"PRAMEF20",0,61.2723637469625,0,46.6489920813862
"LRRC38",120.61321939185,117.132562811517,55.2146336064376,207.711109368636
"PDPN",111.982736664953,97.776203400184,34.6300741305719,127.610934206717
"PRDM2",100.00259105621,114.862462960798,136.541091246099,108.976896177158
"KAZN",79.2651789752297,94.9857017224037,37.8425876636255,149.641814727867
"TMEM51",142.193883037851,164.656589533907,156.799673997616,135.020340522647
"FHAD1",42.1495781653389,70.5160532820212,36.4357020521517,64.1966262225572
"EFHD2",196.712172652477,148.841722133937,197.92069018285,188.328591623044
"CTRC",113.63135750294,117.77935985129,29.0945631571856,78.9719534240951
"CELA2A",95.166434424219,64.2874616439238,54.7673123105792,60.2842721796838
"CELA2B",81.7525368815794,108.274107543399,104.832831686663,60.8805212451038
"CASP9",188.176213139821,216.048895583325,456.747803846028,195.311511778862
"DNAJC16",247.104027200653,277.8506781141,574.511347281695,289.825356129622
"AGMAT",94.5637855791482,97.4196086128474,93.8183774930208,95.1501898934875
"DDI2",155.453303852015,176.597879187691,474.932645462967,166.896063395313
"RSC1A1",53.3519037179609,69.1698058984551,42.018155364595,29.8639876007316
"PLEKHM2",147.035422403622,128.689068928472,66.9283260271606,107.328588753653
"SLC25A34",137.288370489949,159.357809744223,38.2584882205092,95.2340169171679
"TMEM82",114.222255601263,141.390214565871,48.705370920442,96.7924705108258
"FBLIM1",133.836900397237,128.196017597197,50.4063836297329,118.392552890086
"UQCRHL",62.1365015793128,84.1463672336928,48.2740001594344,57.4333720113339
"SPEN",215.826969750759,195.578975421751,371.272487338761,235.695576300608
"ZBTB17",137.720439597773,110.42866012284,419.944300096907,79.5950321391328
"SRARP",68.8019474987153,47.147266619947,32.9056012889706,54.3578825118451
"HSPB7",145.071792600205,123.822438977913,73.8667945657069,101.107390719135
"CLCNKA",207.7333395359,208.286035553008,222.294565838449,243.182779804322
"CLCNKB",144.699581535714,116.777946770605,33.1674012247047,84.5433149387652
"FAM131C",124.429508930534,137.554304090188,111.465918280926,89.3937836605752
"EPHA2",128.622736683112,199.502783392263,105.894851113941,151.906886330341
"ARHGEF19",131.268641987183,110.973097200236,43.481817281504,82.054165379073
"CPLANE2",140.498005333669,144.30128534209,186.738815784716,120.118915554807
"FBXO42",177.983415834512,140.991411940468,305.59708197872,205.029589686422
"SZRD1",177.907899009706,130.262353505062,197.995796341717,206.071764664117
"SPATA21",79.7386086251726,94.3468942336637,28.6484274378315,45.2355129173259
"NECAP2",134.725451620819,139.913308397758,143.052056164993,125.24410365956
"NBPF1",320.870198620314,376.771117052033,416.01467227474,365.026977643688
"CROCC",0,0,0,0
"MFAP2",194.282541612237,162.679161015124,131.512540098441,109.628618064453
"ATP13A2",139.539552646273,144.737065377678,81.6693058737617,135.424321644131
"ENSG00000288636",144.081695414896,151.730881516163,81.192742017506,139.91450323677
