"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"OR4F5",0,0,0.620215931666238,0.770836452189396,0,0
"OR4F29",0,0,0,0,0,0
"OR4F16",0,0,0,0,0,0
"SAMD11",0.805226283685012,1.22723539642134,3.96425189211756,3.46796890871515,2.2805586779951,2.53890954184238
"NOC2L",1.23377660537352,1.80043122387736,2.10594522722309,1.57273009355856,2.30552641684286,2.32507668483656
"KLHL17",1.3604529527568,1.99693240849,1.99886856653531,1.56387140816361,2.33369425958597,2.44328883393425
"PLEKHN1",0.84577726117302,1.18023430386689,3.06379168401755,2.91774266947327,1.46096391712202,1.60725917167269
"PERM1",0.773142929535667,0.904720031081959,3.40083498508968,1.5071021391885,1.14568318966815,1.3606391906846
"HES4",2.22525855495881,2.7128837676738,1.96826933961655,0.753138570897282,3.43711333357482,3.69129333195475
"ISG15",2.20567381184987,2.45521472293409,2.16009518301276,0.76069364969025,3.65710753636536,3.7558776525262
"AGRN",1.05484100301537,1.35676002675414,2.88153380577905,1.62823415915707,1.06359658412187,1.58391503345682
"RNF223",0.747148054781359,1.12646442434723,2.74220303192102,0.848521790827098,1.46299735126832,1.75461981790645
"C1orf159",0.981139585019366,1.15530041218675,2.48786763575466,1.54949964389435,1.56880126960232,1.62431539958676
"TTLL10",1.06458820855345,1.18629269773752,2.27427303008798,0.973369490870308,1.12443621780223,1.23134488875819
"TNFRSF18",0.88187459011162,1.10111839744771,3.60564069089355,2.98943827179681,1.41076883169986,1.66923190026979
"TNFRSF4",1.38633343453232,1.81281463544478,2.58271995711757,0.900181767495414,1.75134240100002,1.86614421289468
"SDF4",1.70734901832613,2.16691447476846,2.94581392225158,2.40854808760416,2.08572472992856,2.45843361022139
"B3GALT6",3.08997341964203,3.13223621984817,3.59908910594889,3.90010099008583,3.31645514776323,3.85057470660912
"C1QTNF12",0.853248889142054,1.12672771690497,2.79977123555585,1.18531681565193,2.04428604960119,2.3581928505702
"UBE2J2",1.95397334121408,2.63641110058579,4.25669445328515,3.24682008779907,3.59269577151256,2.95115105676484
"SCNN1D",1.0436139633269,0.822939008198215,2.59751478805649,1.23190741813059,1.92118935018075,2.11757931205752
