"symbol","K27_AC_rep1","K27_AC_rep2","K27_hMSC_rep1","K27_hMSC_rep2","K27_OB_rep1","K27_OB_rep2"
"OR4F5",0.608261158834905,0.911827874708655,0.583270971636871,0.790057829459057,0.502427339002263,0.794246279908503
"OR4F29",0.469188534497609,0.937116143268876,0.424321300980931,0,0.263277840849123,0.423100482280189
"OR4F16",0.665056592119618,0.882116614269573,0.635212665118513,0.843327426862812,0.512195296422223,0.715309164282956
"SAMD11",1.09387172651881,1.32375425221504,2.56340708151722,1.73168816538544,1.64465031468371,1.67222156505224
"NOC2L",1.0855405153594,1.30707721172034,2.83462446384773,1.78198164846484,1.79319740418898,1.75422931542779
"KLHL17",1.09070312856789,1.31154463873706,2.83800056624905,1.78334621788669,1.80141961110194,1.75671216160029
"PLEKHN1",1.12159942634484,1.32363155714317,2.8055309198618,1.76224715562523,1.80361326054008,1.75884385058511
"PERM1",1.11876095186033,1.3252293458199,2.75061398212138,1.66360422758044,1.7315470837602,1.72647436540082
"HES4",1.04976871291788,1.27722680686061,2.66601456471502,1.58303769816757,1.65574503114078,1.68765919125628
"ISG15",1.04773742190416,1.27417986278616,2.66521532776066,1.57801381308787,1.65443430799667,1.6856740714073
"AGRN",1.03166800608463,1.25356565119232,2.65126603794102,1.50776300486132,1.64383234803743,1.68158593708063
"RNF223",0.938108914219694,1.13327621624054,2.4665744420164,1.30962956578231,1.48477359300929,1.58525978537729
"C1orf159",0.966703819231768,1.10593181952049,2.47820024830007,1.35169832842583,1.43013042026452,1.52630571057214
"TTLL10",0.918444810716471,1.15524914476721,2.60569573720871,1.37044377936447,1.36464984916381,1.4512386577938
"TNFRSF18",1.03080173900435,1.27078455684817,2.7172962390901,1.46112596757916,1.61295522259525,1.69311380646943
"TNFRSF4",1.05898078210142,1.30502720693261,2.74521620887058,1.59997875169612,1.71346678820659,1.75817745690242
"SDF4",1.29812274155879,1.51100604280528,2.89192077729667,1.84046158305931,1.95952726276038,1.94635119036241
"B3GALT6",1.29787534214668,1.51100433038732,2.89521185656975,1.84096412541291,1.9607113335927,1.94875827219834
"C1QTNF12",1.28266538010343,1.51088227473695,2.99094540327795,1.88967251038267,2.05435782682551,2.07578192532265
"UBE2J2",1.37332761593255,1.56227923731498,2.9627544743379,1.95999542899361,2.30539371750616,2.23936077743736
"SCNN1D",1.37746603225366,1.56220715331502,2.95139826298005,1.95593474689157,2.30386358365669,2.27470373564594
"ACAP3",1.508852504656,1.91242776344832,3.05221960561171,2.17144101461863,2.50538614716659,2.36537272009181
