quelle,gse,urteil,code,begruendung
Suchlauf 2026-08-22,GSE111163,AUS,M4,"Skelettmuskel, keine osteogene/chondrogene Achse"
Suchlauf 2026-08-22,GSE113297,AUS,A2,"iPSC-abgeleitete kraniofaziale MSC, keine Laesion und keine Kontrollgruppe im 2x2-Sinn"
Suchlauf 2026-08-22,GSE116928,AUS,M4,"Somitenuhr, Entwicklungsmodell ohne Laesion"
Suchlauf 2026-08-22,GSE143453,AUS,M4,"FSHD2-Myotuben, Muskel; zudem Einzelkernformat (A9)"
Suchlauf 2026-08-22,GSE143492,AUS,A9,"Einzelzell-/Einzelkernformat, Muskel"
Suchlauf 2026-08-22,GSE161025,AUS,M4,"myogene Spezifizierung, keine skelettale Achse"
Suchlauf 2026-08-22,GSE169724,AUS,M4,FSHD-Muskelfasern
Suchlauf 2026-08-22,GSE183525,AUS,M4,"FOP-Monozyten, entzuendliche Signatur, keine Differenzierungsachse"
Suchlauf 2026-08-22,GSE189053,AUS,M4,"DMD, myogene Kulturen"
Suchlauf 2026-08-22,GSE214626,AUS,M4,"Myotone Dystrophie, iPSC, keine skelettale Achse"
Suchlauf 2026-08-22,GSE218101,EIN,-,"MPS VI, 4 Patientenlinien mit isogener Korrektur, iPS -> Tag 14 chondrogen"
Suchlauf 2026-08-22,GSE224181,AUS,M4,"Rhabdomyosarkom, Tumorentitaet"
Suchlauf 2026-08-22,GSE224182,AUS,M4,"Rhabdomyosarkom, Tumorentitaet"
Suchlauf 2026-08-22,GSE225148,AUS,M4,"LGMDR21, Skelettmuskel"
Suchlauf 2026-08-22,GSE245585,EIN,-,"RB1-Patientenlinie gegen WT, MSC, Osteogenese Tag 0/7/14/21"
Suchlauf 2026-08-22,GSE26272,AUS,M3,"ZNF145-Ueberexpression in gesunden MSC, kein Patientendefekt, kein 2x2"
Suchlauf 2026-08-22,GSE302312,AUS,M3,"Implantate aus stabilem/hypertrophem Knorpel, keine Laesion"
Suchlauf 2026-08-22,GSE307443,AUS,M4,"LAMA2, Muskelstammzellen"
Suchlauf 2026-08-22,GSE36098,AUS,M4,"Mesoangioblasten, Muskel"
Suchlauf 2026-08-22,GSE37521,AUS,M3,"Dermis- und Fettgewebs-Stromazellen, gesunde Spender, keine Laesion"
Suchlauf 2026-08-22,GSE58123,AUS,M4,"familiaeres Krebssyndrom, keine skelettale Achse"
Suchlauf 2026-08-22,GSE70955,AUS,M4,"DMD, Muskel"
vorab benannt (PRAEREG_M_D §5),GSE218101,EIN,-,"vorab benannt; 4 Zellen (Line #1-#4), chondrogen"
vorab benannt (PRAEREG_M_D §5),GSE221128,EIN,-,"vorab benannt; FOP/resFOP = EINE Linie -> 1 Zelle, ex1-3 sind Replikate"
vorab benannt (PRAEREG_M_D §5),GSE247491,EIN,-,"vorab benannt; 3 Spender, chondrogen; E2 nicht erfuellt (siRNA) -> nur dWT-tragend"
vorab benannt (PRAEREG_M_D §5),GSE247528,EIN,-,"vorab benannt; 3 Spender, osteogen; E2 nicht erfuellt (siRNA) -> nur dWT-tragend"
vorab benannt (PRAEREG_M_D §5),GSE244375,AUS,A1,"kein naiver Arm: Tag 34 gegen Tag 44, beide differenzierter Knorpel; zudem Klone einer Linie"
vorab benannt (PRAEREG_M_D §5),GSE148728,AUS,A1,kein naiver Arm: nur differenzierte Knorpelpellets; 'biologische Replikate' sind keine Spender
vorab benannt (PRAEREG_M_D §5),LAMA5_USC,EIN,-,"eigene Daten; WT1-3/KO9/46/75 sind Klone EINER Linie -> 1 Spender, 2 Achsen"
