groesse,studie,kennzahl,beobachtet,null_mittel,null_sd,entartet,z,mde80,ueber_mde80
Programm,GSE218101,S1,,,,True,,,False
Programm,GSE247491,S1,0.6241420648946645,0.0042982836905320915,0.36293419587399994,False,1.7078682258403777,1.020514032137732,False
Programm,GSE247528,S1,0.7419005254358729,-0.009941467040840694,0.7418710090942452,False,1.013440319489829,2.067297358423046,False
Programm,LAMA5_USC,S1,,,,True,,,False
Programm,GSE218101,S2,,,,True,,,False
Programm,GSE247491,S2,0.7360573327628221,0.7360573327628223,1.110278539940071e-16,True,,,False
Programm,GSE247528,S2,0.8708954821136594,0.8708954821136594,0.0,True,,,False
Programm,LAMA5_USC,S2,,,,True,,,False
Programm,GSE218101,S3a,0.7421383647798742,0.49859559748427673,0.24214639960100423,False,1.0057666258796085,1.1766055163670885,False
Programm,GSE247491,S3a,0.6750524109014675,0.4954396226415094,0.10553240625988326,False,1.7019680932664898,0.7909303601691826,False
Programm,GSE247528,S3a,0.720125786163522,0.5003632075471698,0.15540539381006926,False,1.414124524435348,0.9354983102153638,False
Programm,LAMA5_USC,S3a,0.9371069182389937,0.5086547169811322,0.43704308084194404,False,0.980343174481718,1.7323753433385753,False
Programm,GSE218101,S3b,1.0,1.0,0.0,True,,,False
Programm,GSE247491,S3b,0.7777777777777777,0.4990117400419287,0.16395341144062872,False,1.7002759215949375,0.9580812920756892,False
Programm,GSE247528,S3b,0.8301886792452831,0.4955754716981132,0.3301755427646848,False,1.013440319489829,1.4200669914392305,False
Programm,LAMA5_USC,S3b,1.0,1.0,0.0,True,,,False
Engineering-Antwort,GSE247491,S1,0.11624998329493134,0.0004247628076778831,0.11014182641658984,False,1.0516006884538784,0.3088218767741294,False
Engineering-Antwort,GSE247528,S1,0.13132306502241622,0.0007879383901344969,0.13132726771352407,False,0.9939681903458899,0.3685042879880019,False
Engineering-Antwort,LAMA5_USC,S1,,,,True,,,False
Engineering-Antwort,GSE247491,S2,0.43975698086204384,0.43975698086204396,1.110278539940071e-16,True,,,False
Engineering-Antwort,GSE247528,S2,0.6280924962917951,0.628092496291795,1.110278539940071e-16,True,,,False
Engineering-Antwort,LAMA5_USC,S2,,,,True,,,False
Engineering-Antwort,GSE247491,S3a,0.5329457364341086,0.4998903100775194,0.05157085654126384,False,0.6409710556220891,0.6442887083930582,False
Engineering-Antwort,GSE247528,S3a,0.5813953488372093,0.4994723837209302,0.07597153653266013,False,1.0783376097844284,0.7121926860123786,False
Engineering-Antwort,LAMA5_USC,S3a,0.936046511627907,0.505843023255814,0.4360291636178146,False,0.9866392532155766,1.7267246813856947,False
Engineering-Antwort,GSE247491,S3b,0.5348837209302325,0.5001341085271317,0.03217719523291831,False,1.079945351096072,0.5902302551793029,False
Engineering-Antwort,GSE247528,S3b,0.5843023255813954,0.5005058139534884,0.08430502348243835,False,0.9939681903458902,0.7365598797043157,False
Engineering-Antwort,LAMA5_USC,S3b,1.0,1.0,0.0,True,,,False
