gse,titel,zusammenfassung,n_proben,typ,taxon,datum,achse
GSE111163,Large-scale expansion of human iPSC-derived skeletal muscle cells for disease modeling and cell-based therapeutic strategies,"Although skeletal muscle cells can be generated from human iPSCs, transgene-free protocols include only limited options for their purification and expansion. In this study we found that FACS-purified myogenic progenitors generated from healthy controls and Pompe disease iPSCs can be robustly expanded as much as 5 x 1011 fold. At all steps during expansion, cells could be cryopreserved or differentiated into myotubes with a high fusion index. In vitro, cells were amenable to maturation into striated and contractile myofibers. Insertion of the acid alpha glucosidase cDNA into the AAVS1 locus in iPSCs using CRISPR/cas9 prevented glycogen accumulation in myotubes generated from a patient with classic infantile Pompe disease. In vivo, the expression of human-specific nuclear and sarcolemmar antigens indicated that myogenic progenitors engraft into murine muscle to form human myofibers. This protocol is useful for modeling of skeletal muscle disorders and for using patient-derived, gene-corrected cells to develop cell-based strategies.",8,Expression profiling by high throughput sequencing; Third-party reanalysis,Homo sapiens,,ANLAGE_KORRIGIERT
GSE113297,Derivation and characterization of putative craniofacial mesenchymal stromal cells from human induced pluripotent stem cells,"The introduction and widespread adoption of induced pluripotent stem cell (iPSC) technology has opened new avenues for craniofacial regenerative medicine. Neural crest cells (NCCs) are the precursor population to many craniofacial structures, including dental and periodontal structures, and iPSC-derived NCCs may, in the near future, offer an unlimited supply of patient-specific cells for craniofacial repair interventions. Here, we used an established protocol involving simultaneous Wnt signaling activation and TGF-β signaling inhibition to differentiate three human iPSC lines to cranial NCCs. We then derived a putative craniofacial mesenchymal progenitor (PCMP) population with chondrogenic and osteogenic potential from cranial NCCs and investigated their similarity to widely studied human postnatal dental or periodontal stem/progenitor cells. PCMPs were quite distinct from both their precursor cells (NCCs) and bone-marrow mesenchymal stromal cells, a stromal population of mesodermal origin. Despite their similarity with dental stem/progenitor cells, PCMPS were clearly differentiated by a core set of 66 genes, including ACKR3 (CXCR7), whose expression (both at transcript and protein level) appear to be peculiar to PCMPs. Altogether, our data demonstrate the feasibility of craniofacial mesenchymal progenitor derivation from human iPSCs through a neural crest-intermediate and set the foundation for future studies regarding their full differentiation repertoire and their in vivo existence.",18,Expression profiling by array,Homo sapiens,,ANLAGE_NAIV
GSE116928,Recapitulating the Human Segmentation Clock with Pluripotent Stem Cells - RNAseq analysis of step-wise in vitro induction/differentiation of human presomitic mesoderm and its derivatives,"Pluripotent stem cells (PSCs) have increasingly been used to model different aspects of embryogenesis and organ formation. Despite recent advances in the in vitro induction of major mesodermal lineages and mesoderm-derived cell types experimental model systems that can recapitulate more complex biological features of human mesoderm development and patterning are largely missing. Here, we utilized induced pluripotent stem cells (iPSCs) for the stepwise in vitro induction of presomitic mesoderm (PSM) and its derivatives to model distinct aspects of human somitogenesis. We focused initially on modeling the human segmentation clock, a major biological concept believed to underlie the rhythmic and controlled emergence of somites, which give rise to the segmental pattern of the vertebrate axial skeleton. We succeeded to observe oscillatory expression of core segmentation clock genes, including HES7 and DKK1, determined the period of the human segmentation clock to be around five hours and showed the presence of dynamic traveling wave-like gene expression within in vitro induced human PSM. We furthermore identified and compared oscillatory genes in human and murine PSC-derived PSM, which revealed species-specific as well as common molecular components and novel pathways associated with the mouse and human segmentation clocks. Utilizing CRISPR/Cas9-based genome editing technology, we then targeted genes, for which mutations in patients with segmentation defects of vertebrae (SDV) such as spondylocostal dysostosis (SCD) have been reported (e.g. HES7, LFNG, DLL3 and MESP2 DLL3). Subsequent analysis of patient-like knock-out and point-mutation lines as well as patient-derived iPSCs together with their genetically corrected isogenic controls revealed gene-specific alterations in oscillation, synchronization or differentiation properties, validating the overall utility of our model system, to provide novel insights into the human segmentation clock as well as diseases associated with the formation of the human axial skeleton.",36,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_KORRIGIERT
GSE143453,Single-nucleus RNA-seq identifies divergent populations of FSHD2 myotube nuclei [Time course],"FSHD is characterized by the misexpression of DUX4 in skeletal muscle. Although DUX4 upregulation is thought to be the pathogenic cause of FSHD, DUX4 is lowly expressed in patient samples, and analysis of the consequences of DUX4 expression has largely relied on artificial overexpression. To better understand the native expression profile of DUX4 and its targets, we first performed pooled RNA-seq on a 6-day differentiation time-course in FSHD2 patient-derived primary myoblasts. We identify a set of 54 FSHD-induced genes upregulated in FSHD2 cells starting at day 2 of differentiation through the end of the time-course. Using single-cell and single-nucleus RNA-seq on FSHD2 myoblasts and day 3 and day 5 differentiated myotubes respectively, we captured, for the first time, DUX4 expressed at the single-nucleus level in a native state. We identified two populations of FSHD myotube nuclei based on low or high enrichment of DUX4 and FSHD-induced genes (FSHD-Lo and “FSHD Hi”, respectively). FSHD-Hi nuclei upregulate many cell cycle related genes with significant enrichment of E2F target genes and p53 signaling activation. In FSHD-Hi myotube nuclei, multiple DUX4 target genes are co-expressed including a set of transcription factors, such as DUXA, ZSCAN4 and LEUTX.  DUXA (the DUX4 paralog) is more widely expressed than DUX4, and depletion of DUXA suppressed the expression of LEUTX and ZSCAN4 in late, but not early, differentiation. The results indicate that the DUXA can take over the role of DUX4 and maintain target gene expression.  These results may provide explanation as to why it is easier to detect and monitor DUX4 target genes than DUX4 itself in patient cells and suggest a self-sustaining network of gene dysregulation that perpetuates this disease after DUX4 is no longer expressed.",72,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV
GSE143492,Single-nucleus RNA-seq identifies divergent populations of FSHD2 myotube nuclei [Fluidigm],"FSHD is characterized by the misexpression of DUX4 in skeletal muscle. Although DUX4 upregulation is thought to be the pathogenic cause of FSHD, DUX4 is lowly expressed in patient samples, and analysis of the consequences of DUX4 expression has largely relied on artificial overexpression. To better understand the native expression profile of DUX4 and its targets, we first performed pooled RNA-seq on a 6-day differentiation time-course in FSHD2 patient-derived primary myoblasts. We identify a set of 54 FSHD-induced genes upregulated in FSHD2 cells starting at day 2 of differentiation through the end of the time-course. Using single-cell and single-nucleus RNA-seq on FSHD2 myoblasts and day 3 and day 5 differentiated myotubes respectively, we captured, for the first time, DUX4 expressed at the single-nucleus level in a native state. We identified two populations of FSHD myotube nuclei based on low or high enrichment of DUX4 and FSHD-induced genes (FSHD-Lo and “FSHD Hi”, respectively). FSHD-Hi nuclei upregulate many cell cycle related genes with significant enrichment of E2F target genes and p53 signaling activation. In FSHD-Hi myotube nuclei, multiple DUX4 target genes are co-expressed including a set of transcription factors, such as DUXA, ZSCAN4 and LEUTX.  DUXA (the DUX4 paralog) is more widely expressed than DUX4, and depletion of DUXA suppressed the expression of LEUTX and ZSCAN4 in late, but not early, differentiation. The results indicate that the DUXA can take over the role of DUX4 and maintain target gene expression.  These results may provide explanation as to why it is easier to detect and monitor DUX4 target genes than DUX4 itself in patient cells and suggest a self-sustaining network of gene dysregulation that perpetuates this disease after DUX4 is no longer expressed.",317,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV
GSE161025,Temporal mechanisms of myogenic specification in human induced pluripotent stem cells,"Understanding the mechanisms of myogenesis in human induced pluripotent stem cells (hiPSCs) is a prerequisite to achieving patient-specific therapy for diseases of skeletal muscle. hiPSCs of different origin show distinctive kinetics and ability to differentiate into myocytes. To address the unique cellular and temporal context of hiPSC differentiation, we perform a longitudinal comparison of the transcriptomic profiles of three hiPSC lines that display differential myogenic specification, one robust and two blunted. We detail temporal differences in mechanisms that lead to robust myogenic specification. We show gene expression signatures of putative cell subpopulations and extracellular matrix components that may support myogenesis. Further, we show that targeted knockdown of ZIC3 at the outset of differentiation leads to improved myogenic specification in blunted hiPSC lines. Our study suggests that β-catenin transcriptional cofactors mediate crosstalk between multiple cellular processes and exogenous cues to facilitate specification of hiPSCs to mesoderm lineage, leading to robust myogenesis.",54,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_NAIV
GSE169724,Weakened sarcomeric contractility distinguishes Facio Scapulo Humeral Dystrophy muscle fibers,"To gain further insights into the specificity of the muscle alteration in this disease, we derived induced pluripotent stem cells from patients affected with type 1 and 2 FSHD, differentiated these cells into contractile innervated muscle fibers and analyzed their transcriptome by RNA Seq.",12,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_ISOGEN
GSE183525,Recapitulation of the pro-inflammatory signature of monocytes with ACVR1 mutation using FOP patient-derived iPSCs,"Fibrodysplasia ossificans progressiva (FOP) is a rare genetic disease characterized by progressive heterotopic ossification (HO) in soft tissues due to a heterozygous mutation of the ACVR1A/ALK2 gene (FOP-ACVR1A), which erroneously transduces the BMP signal by Activin-A. Although inflammation is known to trigger HO in FOP, the role of FOP-ACVR1A on inflammatory cells remains to be elucidated. Here we investigated this issue using immortalized monocytic cell lines from FOP-iPSCs (FOP-ML) and mutation-rescued iPSCs (resFOP-ML). Without any stimulation, FOP-ML showed the pro-inflammatory signature of CD16+ monocytes with an up-regulation of INHBA gene, and treatment of resFOP-ML with Activin-A induced an expression profile consistent with FOP-ML at baseline. Treatment of FOP-ML with Activin-A further induced the inflammatory profile with the up-regulation of inflammation-associated genes, some of which were suppressed by corticosteroid. Experiments using an inhibitor for TGFβ or BMP signals demonstrated that Activin-A-induced genes, such as CD16 and CCL7, were regulated by both signals, indicating Activin-A transduced dual signals in FOP-ML. A comparison with resFOP-ML identified several down-regulated genes in FOP-ML, including LYVE-1, which is known to suppress matrix-formation in vivo. The down-regulation of LYVE-1 in HO tissues was confirmed in FOP model mice, verifying the in vitro experiments. These results indicate that FOP-ML faithfully recapitulated the phenotype of primary monocytes in FOP and its combination with resFOP-ML is useful for investigating the molecular events at the initial inflammation stage of HO in FOP.",42,Expression profiling by array,Homo sapiens,,ANLAGE_NAIV
GSE189053,Transcriptome analysis of human DMD-K2957fs and CRISPR-corrected (CORR-K2957fs ) myogenic cultures during secondary myogenic differentiation.,"To investigate transcriptomes of skeletal muscle cells in health and Duchene muscular dystrophy (DMD), we performed RNA sequencing of DMD-K2957fs and CRISPR-corrected (CORR-K2957fs ) myogenic cultures during secondary differentiation at 5 time points.",40,Expression profiling by high throughput sequencing,Homo sapiens,,ANLAGE_ISOGEN
GSE214626,Expression data from Myotonic dystrophy type 1 (DM1) patient-derived induced pluripotent cell,"DM1-iPSCs were generated from the peripheral blood of male adult patients. All clones were generated using episomal vectors. For skeletal muscle differentiation of the DM1-iPSCs, tet-on MYOD1 expression vector was transfected into DM1-iPSCs. To examine whether DM1-iPSC clones with different repeat sizes have acquired different characteristics, we isolated DM1-iPSC clones with different repeat sizes. We isolated 2 clones (S45 and S118) showing repeat size of 400~900, 2 clones (S14 and S24) showing repeat size of 1200~1600, and 2 clones (S1 and S16) showing repeat size of 1800~2800.",7,Expression profiling by array,Homo sapiens,,ANLAGE_NAIV
