"satz","ensembl"
"S_DISTAL","ENSG00000029534"
"S_DISTAL","ENSG00000095139"
"S_DISTAL","ENSG00000129083"
"S_DISTAL","ENSG00000141551"
"S_DISTAL","ENSG00000180447"
"S_DISTAL","ENSG00000167110"
"S_DISTAL","ENSG00000186480"
"S_DISTAL","ENSG00000150527"
"S_DISTAL","ENSG00000119414"
"S_DISTAL","ENSG00000100949"
"S_DISTAL","ENSG00000285193"
"S_DISTAL","ENSG00000137955"
"S_DISTAL","ENSG00000196459"
"S_DISTAL","ENSG00000162236"
"S_DISTAL","ENSG00000148248"
"S_DISTAL","ENSG00000280951"
"S_DISTAL","ENSG00000160218"
"S_DISTAL","ENSG00000138768"
"S_DISTAL","ENSG00000107862"
"S_DISTAL","ENSG00000093183"
"S_DISTAL","ENSG00000086827"
"S_DISTAL","ENSG00000124164"
"S_DISTAL","ENSG00000101558"
"S_DISTAL","ENSG00000184432"
"S_DISTAL","ENSG00000100815"
"S_DISTAL","ENSG00000108587"
"S_DISTAL","ENSG00000265808"
"S_DISTAL","ENSG00000176986"
"S_DISTAL","ENSG00000150961"
"S_DISTAL","ENSG00000148396"
"S_DISTAL","ENSG00000138073"
"S_DISTAL","ENSG00000185825"
"S_DISTAL","ENSG00000105829"
"S_DISTAL","ENSG00000114354"
"S_DISTAL","ENSG00000138802"
"S_DISTAL","ENSG00000101310"
"S_DISTAL","ENSG00000100934"
"S_DISTAL","ENSG00000256060"
"S_DISTAL","ENSG00000106636"
"S_DISTAL","ENSG00000113615"
"S_DISTAL","ENSG00000174851"
"S_DISTAL","ENSG00000086598"
"S_DISTAL","ENSG00000170348"
"S_DISTAL","ENSG00000099203"
"S_DISTAL","ENSG00000107651"
"S_DISTAL","ENSG00000170881"
"S_DISTAL","ENSG00000291729"
"S_DISTAL","ENSG00000105669"
"S_DISTAL","ENSG00000181789"
"S_DISTAL","ENSG00000138674"
"S_DISTAL","ENSG00000153339"
"S_DISTAL","ENSG00000114650"
"S_DISTAL","ENSG00000092108"
"S_DISTAL","ENSG00000166557"
"S_DISTAL","ENSG00000075826"
"S_DISTAL","ENSG00000158623"
"S_DISTAL","ENSG00000121542"
"S_DISTAL","ENSG00000054116"
"S_DISTAL","ENSG00000136305"
"S_DISTAL","ENSG00000285199"
"S_DISTAL","ENSG00000143771"
"S_DISTAL","ENSG00000108961"
"S_DISTAL","ENSG00000115216"
"S_DISTAL","ENSG00000117500"
"S_DISTAL","ENSG00000134970"
"S_DISTAL","ENSG00000111711"
"S_DISTAL","ENSG00000171853"
"S_DISTAL","ENSG00000274891"
"S_DISTAL","ENSG00000134049"
"S_DISTAL","ENSG00000152700"
"S_DISTAL","ENSG00000087502"
"S_DISTAL","ENSG00000196655"
"S_DISTAL","ENSG00000280495"
"S_DISTAL","ENSG00000125991"
"S_DISTAL","ENSG00000167515"
"S_DISTAL","ENSG00000168818"
"S_DISTAL","ENSG00000136874"
"S_DISTAL","ENSG00000075790"
"S_DISTAL","ENSG00000283852"
"S_DISTAL","ENSG00000079332"
"S_DISTAL","ENSG00000047932"
"S_DISTAL","ENSG00000113719"
"S_DISTAL","ENSG00000170043"
"S_DISTAL","ENSG00000117153"
"S_DISTAL","ENSG00000135249"
"S_DISTAL","ENSG00000168538"
"S_DISTAL","ENSG00000018610"
"S_DISTAL","ENSG00000212710"
"S_DISTAL","ENSG00000282841"
"S_DISTAL","ENSG00000182158"
"S_DISTAL","ENSG00000154889"
"S_DISTAL","ENSG00000007255"
"S_DISTAL","ENSG00000140506"
"S_DISTAL","ENSG00000113597"
"S_DISTAL","ENSG00000197121"
"S_DISTAL","ENSG00000145817"
"S_DISTAL","ENSG00000114988"
"S_DISTAL","ENSG00000136152"
"S_DISTAL","ENSG00000167632"
"S_DISTAL","ENSG00000119820"
"S_DISTAL","ENSG00000120341"
"S_DISTAL","ENSG00000167645"
"S_DISTAL","ENSG00000144043"
"S_DISTAL","ENSG00000182400"
"S_DISTAL","ENSG00000156232"
"S_DISTAL","ENSG00000181029"
"S_DISTAL","ENSG00000174567"
"S_DISTAL","ENSG00000125875"
"S_DISTAL","ENSG00000151532"
"S_DISTAL","ENSG00000157315"
"S_DISTAL","ENSG00000158604"
"S_DISTAL","ENSG00000181085"
"S_DISTAL","ENSG00000274205"
"S_DISTAL","ENSG00000177752"
"S_DISTAL","ENSG00000181704"
"S_DISTAL","ENSG00000271321"
"S_DISTAL","ENSG00000285123"
"S_DISTAL","ENSG00000154305"
"S_DISTAL","ENSG00000271079"
"S_DISTAL","ENSG00000285172"
"S_DISTAL","ENSG00000236761"
"S_DISTAL","ENSG00000173626"
"S_DISTAL","ENSG00000288784"
"S_DISTAL","ENSG00000288370"
"S_DISTAL","ENSG00000289604"
"S_DISTAL","ENSG00000288181"
"S_DISTAL","ENSG00000196961"
"S_DISTAL","ENSG00000166747"
"S_DISTAL","ENSG00000151150"
"S_DISTAL","ENSG00000174483"
"S_DISTAL","ENSG00000125124"
"S_DISTAL","ENSG00000113734"
"S_DISTAL","ENSG00000149823"
"S_DISTAL","ENSG00000177879"
"S_DISTAL","ENSG00000188603"
"S_DISTAL","ENSG00000261832"
"S_DISTAL","ENSG00000257923"
"S_DISTAL","ENSG00000085832"
"S_DISTAL","ENSG00000123983"
"S_DISTAL","ENSG00000178950"
"S_DISTAL","ENSG00000197386"
"S_DISTAL","ENSG00000073350"
"S_DISTAL","ENSG00000131899"
"S_DISTAL","ENSG00000073969"
"S_DISTAL","ENSG00000276262"
"S_DISTAL","ENSG00000278174"
"S_DISTAL","ENSG00000184304"
"S_DISTAL","ENSG00000183155"
"S_DISTAL","ENSG00000215695"
"S_DISTAL","ENSG00000134243"
"S_DISTAL","ENSG00000223501"
"S_DISTAL","ENSG00000223618"
"S_DISTAL","ENSG00000236014"
"S_DISTAL","ENSG00000225590"
"S_DISTAL","ENSG00000228425"
"S_DISTAL","ENSG00000224455"
"S_DISTAL","ENSG00000206286"
"S_DISTAL","ENSG00000028528"
"S_DISTAL","ENSG00000205302"
"S_DISTAL","ENSG00000220205"
"S_DISTAL","ENSG00000231925"
"S_DISTAL","ENSG00000112493"
"S_DISTAL","ENSG00000206281"
"S_DISTAL","ENSG00000236490"
"S_DISTAL","ENSG00000206208"
"S_DISTAL","ENSG00000198382"
"S_DISTAL","ENSG00000162511"
"S_DISTAL","ENSG00000117475"
"S_DISTAL","ENSG00000162407"
"S_DISTAL","ENSG00000213983"
"S_DISTAL","ENSG00000065000"
"S_DISTAL","ENSG00000029725"
"S_DISTAL","ENSG00000008256"
"S_DISTAL","ENSG00000049245"
"S_DISTAL","ENSG00000166685"
"S_DISTAL","ENSG00000145087"
"S_DISTAL","ENSG00000085365"
"S_DISTAL","ENSG00000108433"
"S_DISTAL","ENSG00000138078"
"S_DISTAL","ENSG00000135968"
"S_DISTAL","ENSG00000090565"
"S_DISTAL","ENSG00000275338"
"S_DISTAL","ENSG00000141258"
"S_DISTAL","ENSG00000242802"
"S_DISTAL","ENSG00000066455"
"S_DISTAL","ENSG00000054793"
"S_DISTAL","ENSG00000123240"
"S_DISTAL","ENSG00000101246"
"S_DISTAL","ENSG00000135823"
"S_DISTAL","ENSG00000157823"
"S_DISTAL","ENSG00000164597"
"S_DISTAL","ENSG00000284369"
"S_DISTAL","ENSG00000100568"
"S_DISTAL","ENSG00000124198"
"S_DISTAL","ENSG00000070367"
"S_DISTAL","ENSG00000129250"
"S_DISTAL","ENSG00000105438"
"S_DISTAL","ENSG00000136240"
"S_DISTAL","ENSG00000100196"
"S_DISTAL","ENSG00000168461"
"S_DISTAL","ENSG00000126062"
"S_DISTAL","ENSG00000157916"
"S_DISTAL","ENSG00000034713"
"S_DISTAL","ENSG00000135775"
"S_DISTAL","ENSG00000111481"
"S_DISTAL","ENSG00000083097"
"S_DISTAL","ENSG00000103365"
"S_DISTAL","ENSG00000111647"
"S_DISTAL","ENSG00000125447"
"S_DISTAL","ENSG00000197969"
"S_DISTAL","ENSG00000144036"
"S_DISTAL","ENSG00000185963"
"S_DISTAL","ENSG00000127603"
"S_DISTAL","ENSG00000180957"
"S_DISTAL","ENSG00000167964"
"S_DISTAL","ENSG00000103051"
"S_DISTAL","ENSG00000100083"
"S_DISTAL","ENSG00000242247"
"S_DISTAL","ENSG00000017260"
"S_DISTAL","ENSG00000006715"
"S_DISTAL","ENSG00000076321"
"S_DISTAL","ENSG00000101997"
"S_DISTAL","ENSG00000106266"
"S_DISTAL","ENSG00000147164"
"S_DISTAL","ENSG00000013016"
"S_DISTAL","ENSG00000153317"
"S_DISTAL","ENSG00000005243"
"S_DISTAL","ENSG00000177951"
"S_DISTAL","ENSG00000143952"
"S_DISTAL","ENSG00000154917"
"S_DISTAL","ENSG00000151779"
"S_DISTAL","ENSG00000167578"
"S_DISTAL","ENSG00000125633"
"S_DISTAL","ENSG00000138190"
"S_DISTAL","ENSG00000070540"
"S_DISTAL","ENSG00000143457"
"S_DISTAL","ENSG00000123106"
