panel,quelle,abruf,symbol,ensembl
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ABCC9,ENSG00000069431
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ACAN,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ACP5,ENSG00000102575
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ACTB,ENSG00000075624
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ACTG1,ENSG00000184009
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,AIFM1,ENSG00000156709
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,AKT1,ENSG00000142208
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ALDH3A2,ENSG00000072210
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ALG3,ENSG00000214160
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ALG6,ENSG00000088035
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ALG9,ENSG00000086848
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ANAPC1,ENSG00000153107
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ANKH,ENSG00000154122
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ANOS1,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,ARSB,ENSG00000113273
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,B3GALT6,ENSG00000176022
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,B4GALT7,ENSG00000027847
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,BGN,ENSG00000182492
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,BMP4,ENSG00000125378
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,BMPR1B,ENSG00000138696
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CANT1,ENSG00000171302
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CCDC141,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CCN6,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CDH3,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CDKN1C,ENSG00000129757
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CEP120,ENSG00000168944
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CFAP410,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CHD7,ENSG00000171316
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CHST3,ENSG00000122863
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COL10A1,ENSG00000123500
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COL11A1,ENSG00000060718
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COL11A2,ENSG00000204248
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COL2A1,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COL3A1,ENSG00000168542
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COL9A1,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COL9A2,ENSG00000049089
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COL9A3,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,COMP,
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CRTAP,ENSG00000170275
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CTSA,ENSG00000064601
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,CWC27,ENSG00000153015
NOSO,HPO HP:0002652 + Subterme (11 Terme),2026-08-21,DCC,
