punkt,datensatz,arm,satz_a,n_vorreg_a,urteil_vorreg,kontrast_vorreg,z_vorreg,p_vorreg,n_invitro_a,urteil_invitro,kontrast_invitro,z_invitro,p_invitro
1,LAMA5-KO (chondr),chondrogen,CHONDROGEN,6,bestanden,1.7646642266776593,2.6744495585799535,0.0050997450127493625,6,bestanden,1.7308984985131783,2.601945936765569,0.00759962001899905
2,LAMA5-KO (osteo),osteogen,OSTEOGEN,12,durchgefallen,-0.09970983672389294,-0.2064745913203871,1.0,10,durchgefallen,-0.34844491449560083,-0.6806146409666433,1.0
3,FN1 FNC123R,chondrogen,CHONDROGEN,12,durchgefallen,0.27548242503722264,0.7110591257456714,0.48027598620068995,12,durchgefallen,0.2834293454975242,0.7145457369274074,0.4779761011949403
4,FN1 FNC231W,chondrogen,CHONDROGEN,12,durchgefallen,0.17303954240162361,0.4201054207211432,0.680265986700665,12,durchgefallen,0.1754932637818512,0.4102546674953859,0.6792660366981651
5,SERPINA3-KD,chondrogen,CHONDROGEN,1,nicht eichbar,,,,1,nicht eichbar,,,
6,MIR181A1HG-KD,osteogen,OSTEOGEN,16,durchgefallen,-0.2136244875825531,-0.6948337415253439,1.0,13,durchgefallen,-0.45487050056077155,-1.3854855185099213,1.0
7,LINC01638-KD (GSE227512),osteogen,OSTEOGEN,11,durchgefallen,-0.12012434337826469,-0.31899219011361885,1.0,10,durchgefallen,-0.36853641547644533,-0.9029896511551057,1.0
8,ARSB / MPS VI (GSE218101),chondrogen,CHONDROGEN,12,durchgefallen,0.34208883659526307,0.8263015012108242,0.4100794960251987,12,durchgefallen,0.3749647319048724,0.8959652946103036,0.37128143592820356
9,ACVR1 / FOP (GSE221128),chondrogen,CHONDROGEN,12,durchgefallen,0.6064551173384733,1.9012222217326216,0.057397130143492826,12,durchgefallen,0.5904214926208916,1.8512217380649543,0.06649667516624169
10,RNF4-KD (GSE205432),osteogen,OSTEOGEN,17,durchgefallen,-0.17436916291351237,-0.8324970528892499,1.0,13,durchgefallen,-0.16431082573207628,-0.7101810547007901,1.0
11,RB1 +/- (GSE245585),osteogen,OSTEOGEN,11,durchgefallen,-0.4313540563963038,-1.0295292584886364,1.0,9,durchgefallen,-0.5461732462321452,-1.203503979887768,1.0
12,Nonunion (GSE226565),osteogen,OSTEOGEN,17,durchgefallen,-0.10327827646110616,-0.5743634065761967,1.0,13,durchgefallen,-0.07253706467586157,-0.3529253153874046,1.0
13,SERPINA3-KD osteo (GSE247528),osteogen,OSTEOGEN,4,durchgefallen,-0.45822282839797024,-0.7738569627300452,1.0,4,durchgefallen,-0.45822282839797024,-0.7738569627300452,1.0
14,ERCC6L2-KD (GSE190542),osteogen,OSTEOGEN,14,bestanden,0.7155908606586632,2.129879164564556,0.03399830008499575,12,durchgefallen,0.584288438512048,1.632977954191085,0.10229488525573721
15,TP53 LFS (GSE102732),osteogen,OSTEOGEN,18,durchgefallen,-0.08423348602488284,-0.33091298588728063,1.0,13,durchgefallen,0.1991928490995376,0.6664999491405226,0.5099745012749363
16,YAP/TAZ-KD (GSE137035),osteogen,OSTEOGEN,11,durchgefallen,0.056080429518463315,0.25528591913953924,0.7943602819859007,9,durchgefallen,0.18326942885852493,0.7459613830192605,0.4545772711364432
17,RB1-mut isogen (GSE145235),osteogen,OSTEOGEN,16,durchgefallen,0.627841922428778,1.9268691630488348,0.053897305134743265,11,bestanden,0.9506383117166195,2.529137032047978,0.010599470026498675
18,RB1-del isogen (GSE145235),osteogen,OSTEOGEN,16,durchgefallen,0.46756990985159985,1.3940276069622755,0.16359182040897954,13,durchgefallen,0.503411541003298,1.3869482959647426,0.16979151042447876
