punkt,datensatz,n_osteo,n_adipo,kontrast,z,p
2,LAMA5-KO (osteo),12,12,-0.531234163023092,-0.9205027216858545,1.0
6,MIR181A1HG-KD,16,18,-0.820834015442829,-2.2817779580306334,1.0
7,LINC01638-KD (GSE227512),11,8,-1.070242667403749,-2.1314486177293874,1.0
10,RNF4-KD (GSE205432),17,18,-0.3405206178440765,-1.3104388459746483,1.0
11,RB1 +/- (GSE245585),11,15,-1.4771016650571034,-2.9947902769228953,1.0
12,Nonunion (GSE226565),17,18,-0.5910410801913768,-2.6442810057416075,1.0
13,SERPINA3-KD osteo (GSE247528),4,5,-1.2431477027128932,-1.9075241041330435,1.0
14,ERCC6L2-KD (GSE190542),14,14,0.4010587810267769,0.973366724782261,0.3328833558322084
15,TP53 LFS (GSE102732),18,18,-0.03299654850084427,-0.10681879998297011,1.0
16,YAP/TAZ-KD (GSE137035),11,8,0.04600344938157039,0.1532381659229998,0.8825558722063896
17,RB1-mut isogen (GSE145235),16,17,0.1337512597810519,0.3564851337765936,0.7252637368131594
18,RB1-del isogen (GSE145235),16,18,0.22322307536727407,0.539514756358609,0.5927703614819259
