ensembl,symbol,ri
ENSG00000183287,CCBE1,-1
ENSG00000156103,MMP16,1
ENSG00000093010,COMT,-1
ENSG00000154027,AK5,1
ENSG00000185864,NPIPB4,-1
ENSG00000160886,LY6K,-1
ENSG00000180611,MB21D2,-1
ENSG00000169213,RAB3B,-1
ENSG00000119242,CCDC92,1
ENSG00000165424,ZCCHC24,1
ENSG00000132004,FBXW9,1
ENSG00000213588,ZBTB9,-1
ENSG00000128567,PODXL,-1
ENSG00000196422,PPP1R26,-1
ENSG00000176390,CRLF3,-1
ENSG00000103966,EHD4,-1
ENSG00000081051,AFP,1
ENSG00000166128,RAB8B,-1
ENSG00000127314,RAP1B,-1
ENSG00000168310,IRF2,-1
ENSG00000159131,GART,-1
ENSG00000197746,PSAP,1
ENSG00000106400,ZNHIT1,1
ENSG00000152380,FAM151B,1
ENSG00000116885,OSCP1,1
ENSG00000076053,RBM7,-1
ENSG00000164236,ANKRD33B,-1
ENSG00000132122,SPATA6,1
ENSG00000027847,B4GALT7,1
ENSG00000025434,NR1H3,1
ENSG00000088899,LZTS3,-1
ENSG00000254206,NPIPB11,-1
ENSG00000166272,WBP1L,1
ENSG00000082258,CCNT2,-1
ENSG00000025293,PHF20,-1
ENSG00000064225,ST3GAL6,1
ENSG00000092931,MFSD11,1
ENSG00000143222,UFC1,1
ENSG00000102786,INTS6,-1
ENSG00000162804,SNED1,1
ENSG00000105607,GCDH,1
ENSG00000144810,COL8A1,1
ENSG00000198624,CCDC69,1
ENSG00000171467,ZNF318,-1
ENSG00000151929,BAG3,1
ENSG00000099250,NRP1,-1
ENSG00000198691,ABCA4,-1
ENSG00000138379,MSTN,1
ENSG00000124920,MYRF,-1
ENSG00000185761,ADAMTSL5,-1
ENSG00000250486,FAM218A,1
ENSG00000177576,C18orf32,1
ENSG00000147144,CCDC120,-1
ENSG00000188760,TMEM198,1
ENSG00000125459,MSTO1,1
ENSG00000085871,MGST2,1
ENSG00000130402,ACTN4,-1
ENSG00000181817,LSM10,1
ENSG00000165526,RPUSD4,1
ENSG00000184924,PTRHD1,1
ENSG00000103024,NME3,1
ENSG00000164296,TIGD6,1
ENSG00000167985,SDHAF2,1
ENSG00000121361,KCNJ8,1
ENSG00000258839,MC1R,1
ENSG00000146006,LRRTM2,1
ENSG00000128165,ADM2,-1
ENSG00000163347,CLDN1,-1
ENSG00000143816,WNT9A,1
ENSG00000196388,INCA1,1
ENSG00000176641,RNF152,-1
ENSG00000173276,ZBTB21,-1
ENSG00000110713,NUP98,-1
ENSG00000180370,PAK2,-1
ENSG00000164951,PDP1,-1
ENSG00000128602,SMO,1
ENSG00000113580,NR3C1,-1
ENSG00000167522,ANKRD11,-1
ENSG00000106546,AHR,-1
ENSG00000148634,HERC4,-1
ENSG00000033030,ZCCHC8,-1
ENSG00000064763,FAR2,-1
ENSG00000134248,LAMTOR5,1
ENSG00000058056,USP13,-1
ENSG00000262246,CORO7,-1
ENSG00000008083,JARID2,-1
ENSG00000128641,MYO1B,-1
ENSG00000112146,FBXO9,1
ENSG00000146676,PURB,-1
ENSG00000171421,MRPL36,1
ENSG00000155506,LARP1,-1
ENSG00000133812,SBF2,-1
ENSG00000165626,BEND7,-1
ENSG00000123130,ACOT9,-1
ENSG00000103152,MPG,1
ENSG00000136859,ANGPTL2,1
ENSG00000101493,ZNF516,-1
ENSG00000148154,UGCG,-1
ENSG00000054611,TBC1D22A,1
ENSG00000107562,CXCL12,-1
ENSG00000147400,CETN2,1
ENSG00000130227,XPO7,-1
ENSG00000117643,MAN1C1,1
ENSG00000189120,SP6,-1
ENSG00000164896,FASTK,1
ENSG00000135018,UBQLN1,-1
ENSG00000144591,GMPPA,1
ENSG00000104450,SPAG1,-1
ENSG00000085721,RRN3,-1
ENSG00000078403,MLLT10,-1
ENSG00000197343,ZNF655,-1
ENSG00000184277,TM2D3,1
ENSG00000180628,PCGF5,-1
ENSG00000177363,LRRN4CL,1
ENSG00000006007,GDE1,1
ENSG00000127334,DYRK2,-1
ENSG00000138231,DBR1,-1
ENSG00000143751,SDE2,-1
ENSG00000105677,TMEM147,1
ENSG00000169155,ZBTB43,-1
ENSG00000167965,MLST8,1
ENSG00000122483,CCDC18,-1
ENSG00000048471,SNX29,1
ENSG00000198315,ZKSCAN8,-1
ENSG00000143398,PIP5K1A,-1
ENSG00000117640,MTFR1L,1
ENSG00000174799,CEP135,-1
ENSG00000115306,SPTBN1,-1
ENSG00000162924,REL,-1
ENSG00000143543,JTB,1
ENSG00000108963,DPH1,1
ENSG00000117448,AKR1A1,1
ENSG00000144959,NCEH1,-1
ENSG00000073008,PVR,-1
ENSG00000187720,THSD4,-1
ENSG00000108961,RANGRF,1
ENSG00000155229,MMS19,1
ENSG00000100417,PMM1,1
ENSG00000184304,PRKD1,1
ENSG00000104835,SARS2,1
ENSG00000213619,NDUFS3,1
ENSG00000182504,CEP97,-1
ENSG00000165175,MID1IP1,-1
ENSG00000154767,XPC,-1
ENSG00000250479,CHCHD10,-1
ENSG00000168404,MLKL,-1
ENSG00000106733,NMRK1,1
ENSG00000172594,SMPDL3A,1
ENSG00000186010,NDUFA13,1
ENSG00000008382,MPND,1
ENSG00000160293,VAV2,-1
ENSG00000153094,BCL2L11,1
ENSG00000101353,MROH8,1
ENSG00000102226,USP11,-1
ENSG00000174915,PTDSS2,1
ENSG00000120690,ELF1,-1
ENSG00000138347,MYPN,-1
ENSG00000166557,TMED3,1
ENSG00000153187,HNRNPU,-1
ENSG00000112308,C6orf62,-1
ENSG00000120992,LYPLA1,-1
ENSG00000102098,SCML2,-1
ENSG00000044115,CTNNA1,-1
ENSG00000131504,DIAPH1,-1
ENSG00000112852,PCDHB2,1
ENSG00000148429,USP6NL,-1
ENSG00000181191,PJA1,-1
ENSG00000131779,PEX11B,1
ENSG00000005243,COPZ2,1
ENSG00000150753,CCT5,-1
ENSG00000175224,ATG13,1
ENSG00000155252,PI4K2A,-1
ENSG00000124782,RREB1,-1
