n,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,konkordanz_mde80,rang,rang_null,rang_null_sd,rang_z,rang_p,status,satz,U,konkordanz_ki_lo,konkordanz_ki_hi,kontrast_n_a,kontrast_n_b,kontrast_kontrast,kontrast_null_mittel,kontrast_null_sd,kontrast_z,kontrast_p,kontrast_mde80,kontrast_status,gse,entitaet,gewebe,n_patienten,n_kontrollen,eichung_bestanden
147,0.42857142857142855,0.5810159863945578,0.0385483188499076,-3.9546356980362742,1.0,0.688951279174299,-0.09910929899260719,0.008924904352755838,0.024236800729840444,-4.457444881013148,1.0,ok,Programm,0.4291417165668662,0.35139488804486924,0.5093862227362416,124,43,-0.43392098024506126,8.391160290077648e-06,0.10976792631220883,-3.953152673861599,1.0,0.30735858483447476,ok,GSE186141,Osteogenesis imperfecta,primaere Osteoblasten,6,2,True
156,0.3269230769230769,0.48395705128205124,0.03792030641606654,-4.141157843926077,1.0,0.5901339092470376,-0.10723660506686714,-0.0030229865212258126,0.024014631102461406,-4.339588565862243,1.0,ok,Laesionsantwort,0.38372093023255804,0.2582418204721954,0.4039237234162541,78,94,-0.425531914893617,8.138979814511642e-05,0.09474781502582144,-4.492064588252199,1.0,0.26537527187044513,ok,GSE186141,Osteogenesis imperfecta,primaere Osteoblasten,6,2,True
142,0.43661971830985913,0.489562323943662,0.041686948767435054,-1.2700043346698595,1.0,0.6062857804924802,-0.03449181725573568,-0.002717280234077421,0.025038229659447846,-1.2690408808383364,1.0,ok,Programm,0.4587525150905432,0.3577770958258817,0.5188013289856945,111,31,-0.1487109229044713,-0.0003997467513596541,0.13727806861445202,-1.0803705038249505,1.0,0.383978845369106,ok,GSE22855,Enchondromatose (Ollier),Knorpel / Enchondrom,7,6,True
129,0.5426356589147286,0.5032279069767442,0.043911506286372456,0.8974356671115663,0.42307884605769713,0.6261801245785871,0.03444036126956267,0.0011661591188874263,0.026802233343619607,1.2414712507006929,0.21548922553872307,ok,Laesionsantwort,0.5404208194905868,0.456675986048851,0.6261294002156924,54,75,0.2057142857142857,-0.0013480211640211639,0.12090752730549176,1.712567542260058,0.08969551522423878,0.33719305529135574,ok,GSE22855,Enchondromatose (Ollier),Knorpel / Enchondrom,7,6,True
159,0.559748427672956,0.46613144654088057,0.03930961066945151,2.3815290850699653,0.0223988800559972,0.5761983564153448,0.07235825619706011,-0.022316300956647522,0.025686309793741705,3.685798307111224,9.99950002499875e-05,ok,Programm,0.5698099415204678,0.48207930745360267,0.6345984947787509,128,43,0.4529206031976744,-0.00043332462754360466,0.09935997750347614,4.5627418525669174,9.99950002499875e-05,0.2777746123821896,ok,GSE292600,akromele Dysplasie (ADAMTSL2/FBN1),dermale Fibroblasten,8,3,True
160,0.5,0.5116071875,0.03875204938169603,-0.2995244815486453,1.0,0.6201129257687489,-0.002123070537953442,0.007444639511806367,0.025467537143204207,-0.37568257958987095,1.0,ok,Laesionsantwort,0.49783236994219654,0.42343787383759396,0.576562126162406,78,95,-0.01879217273954116,0.00012420462213225372,0.08695019824639279,-0.21755416023399554,1.0,0.24358475971203203,ok,GSE292600,akromele Dysplasie (ADAMTSL2/FBN1),dermale Fibroblasten,8,3,True
171,0.49707602339181284,0.4943432748538012,0.03815351815682141,0.07162507338849586,1.0,0.6011731256929012,0.004436084132041754,-0.006606451648313873,0.021636216112191374,0.5103727806699749,0.6059697015149242,ok,Programm,0.5064327485380117,0.42302692170106515,0.5712536156538891,127,44,0.0886184681460272,-0.0001048514674302076,0.09153656525041341,0.9692664278011753,0.33008349582520874,0.2561975312337273,ok,GSE77758,EDS-HT / JHS,dermale Fibroblasten,5,6,True
170,0.49411764705882355,0.5022358823529411,0.03837190599886184,-0.21156716307911289,1.0,0.6096772191497543,0.017582448090576172,0.0020575597207604887,0.02173100339380945,0.7144119435478201,0.4783760811959402,ok,Laesionsantwort,0.5176470588235295,0.4199252194213575,0.5685700544371436,77,93,0.05691942466136014,1.2596006144393157e-05,0.08071262350724048,0.7050548747199478,0.4804759762011899,0.22600794182641773,ok,GSE77758,EDS-HT / JHS,dermale Fibroblasten,5,6,True
150,0.49333333333333335,0.5069943333333333,0.0402313063036778,-0.3395614325043962,1.0,0.6196419909836312,0.007327055061612843,0.0016154309975042825,0.023068437945233975,0.2475947473196209,0.7993600319984001,ok,Programm,0.4962651727357609,0.4144953604302193,0.5725042547583902,114,39,0.06950067476383266,0.00046727877385772097,0.08596229637453395,0.8030659824302444,0.42377881105944704,0.24116170862255276,ok,GSE160207,Osteogenesis imperfecta,Vollblut,7,5,False
145,0.5724137931034483,0.5042093103448275,0.04153676170832619,1.6420269648740808,0.12219389030548472,0.6205122431281408,0.029454157455666173,0.0024066258088199714,0.02361007976591559,1.1455925568660317,0.2495875206239688,ok,Laesionsantwort,0.5281827016520894,0.49104228459906046,0.6500473032580978,65,82,0.11380326990083088,0.0005957732511391034,0.0766201002952785,1.4775169467726195,0.14179291035448227,0.2151320540779189,ok,GSE160207,Osteogenesis imperfecta,Vollblut,7,5,False
