gse,satz,n,konkordanz_null,konkordanz_null_sd,konkordanz_mde80,rang_null,rang_null_sd,kontrast_null_mittel,kontrast_null_sd,kontrast_mde80,eichung_bestanden
GSE186141,Programm,147,0.5810159863945578,0.0385483188499076,0.688951279174299,0.008924904352755838,0.024236800729840444,8.391160290077648e-06,0.10976792631220883,0.30735858483447476,True
GSE186141,Laesionsantwort,156,0.48395705128205124,0.03792030641606654,0.5901339092470376,-0.0030229865212258126,0.024014631102461406,8.138979814511642e-05,0.09474781502582144,0.26537527187044513,True
GSE22855,Programm,142,0.489562323943662,0.041686948767435054,0.6062857804924802,-0.002717280234077421,0.025038229659447846,-0.0003997467513596541,0.13727806861445202,0.383978845369106,True
GSE22855,Laesionsantwort,129,0.5032279069767442,0.043911506286372456,0.6261801245785871,0.0011661591188874263,0.026802233343619607,-0.0013480211640211639,0.12090752730549176,0.33719305529135574,True
GSE292600,Programm,159,0.46613144654088057,0.03930961066945151,0.5761983564153448,-0.022316300956647522,0.025686309793741705,-0.00043332462754360466,0.09935997750347614,0.2777746123821896,True
GSE292600,Laesionsantwort,160,0.5116071875,0.03875204938169603,0.6201129257687489,0.007444639511806367,0.025467537143204207,0.00012420462213225372,0.08695019824639279,0.24358475971203203,True
GSE77758,Programm,171,0.4943432748538012,0.03815351815682141,0.6011731256929012,-0.006606451648313873,0.021636216112191374,-0.0001048514674302076,0.09153656525041341,0.2561975312337273,True
GSE77758,Laesionsantwort,170,0.5022358823529411,0.03837190599886184,0.6096772191497543,0.0020575597207604887,0.02173100339380945,1.2596006144393157e-05,0.08071262350724048,0.22600794182641773,True
GSE160207,Programm,150,0.5069943333333333,0.0402313063036778,0.6196419909836312,0.0016154309975042825,0.023068437945233975,0.00046727877385772097,0.08596229637453395,0.24116170862255276,False
GSE160207,Laesionsantwort,145,0.5042093103448275,0.04153676170832619,0.6205122431281408,0.0024066258088199714,0.02361007976591559,0.0005957732511391034,0.0766201002952785,0.2151320540779189,False
GSE228522,Programm,130,0.5036838461538462,0.04326493073117183,0.6248256522011273,0.004706122546602375,0.026294561400304797,6.280391120507435e-05,0.06288119898242778,0.17613016106200285,False
GSE228522,Laesionsantwort,133,0.5025375939849624,0.04309867082875152,0.6232138723054667,-0.0009712829851104674,0.026912281747551614,0.00014715249662618059,0.05495636775777028,0.15402498221838296,False
GSE58435,Programm,166,0.5050689759036145,0.03892950813163774,0.6140715986722002,-0.0026332450233016694,0.02192118326629192,0.0007043317972350233,0.09934176070140849,0.27886126176117876,False
GSE58435,Laesionsantwort,167,0.4994254491017964,0.039001859781944974,0.6086306564912424,0.0009873379717237566,0.022018041610755826,0.0004945103167683817,0.08629480396151148,0.24211996140900052,False
