ensembl,dWT_n,dWT_med,dWT_v,dWT_vz,dWT_kons,iv_n,iv_med,iv_v,iv_vz,iv_kons,basis_med,pool_anteil,symbol,im_modul,ri
ENSG00000000003,16,0.464302702139612,10,1,0.25,16,0.14096481388040283,11,1,0.375,-0.16232193166820702,0.5,TSPAN6,False,
ENSG00000000419,16,0.3906762999685325,10,1,0.25,16,-0.07100847383571575,9,-1,-0.125,-0.202610373788835,0.5,DPM1,False,
ENSG00000000457,16,0.824963017809792,12,1,0.5,16,-0.5863003000378245,11,-1,-0.375,-0.784870384338732,0.5625,SCYL3,False,
ENSG00000000971,16,1.67641002218323,15,1,0.875,16,-0.1937183742198535,10,-1,-0.25,-1.137218140613045,0.8125,CFH,True,1.0
ENSG00000001036,16,-0.48985698386926346,10,-1,-0.25,16,-0.09869229917126995,8,1,0.0,0.18601645127459598,0.1875,FUCA2,False,
ENSG00000001084,16,0.705452397849081,12,1,0.5,16,-0.06979852632982461,8,1,0.0,-0.567733477155013,0.5625,GCLC,False,
ENSG00000001167,16,-0.6627518244468305,10,-1,-0.25,16,-0.370487159640033,11,-1,-0.375,0.427459958405884,0.375,NFYA,False,
ENSG00000001460,16,0.1438529544244195,10,1,0.25,16,-0.7515141870534694,11,-1,-0.375,-0.10428188905253405,0.4375,STPG1,False,
ENSG00000001461,16,-0.06904397839726716,9,-1,-0.125,16,0.14171203928391352,10,1,0.25,-0.055045779684612495,0.375,NIPAL3,False,
ENSG00000001497,16,-0.7586812593316945,11,-1,-0.375,16,-0.420420079044658,11,-1,-0.375,0.5228521612372125,0.125,LAS1L,False,
ENSG00000001561,17,0.264072523105617,9,1,0.05882352941176472,17,0.110024947472052,10,1,0.17647058823529416,0.101138660884766,0.47058823529411764,ENPP4,False,
ENSG00000001617,16,-0.8481962036439525,13,-1,-0.625,16,0.10124480255066011,9,1,0.125,0.602641975211314,0.1875,SEMA3F,False,
ENSG00000001629,16,0.36938214425872495,8,1,0.0,16,-0.38564892630688224,10,-1,-0.25,-0.39896351492432147,0.5,ANKIB1,False,
ENSG00000001630,15,-0.209673146202061,8,-1,-0.06666666666666665,15,-0.0347855797993338,8,-1,-0.06666666666666665,-0.0049351641871786,0.3333333333333333,CYP51A1,False,
ENSG00000001631,16,0.868522241832149,12,1,0.5,16,-0.19921018321429948,10,-1,-0.25,-0.6966687109669676,0.625,KRIT1,False,
ENSG00000002016,16,-0.10478216448660399,9,-1,-0.125,16,0.13289083373083116,9,1,0.125,-0.4697875748374305,0.1875,RAD52,False,
ENSG00000002330,16,-0.65301955165944,12,-1,-0.5,16,0.44843933904722255,12,1,0.5,0.358763378516345,0.1875,BAD,False,
ENSG00000002549,16,0.421613257264288,10,1,0.25,16,0.04248298032925415,8,1,0.0,-0.203586985543137,0.5,LAP3,False,
ENSG00000002834,16,-0.356732129976837,10,-1,-0.25,16,-0.13589698820941026,11,-1,-0.375,0.4331906251514265,0.1875,LASP1,False,
ENSG00000002919,16,-0.14894229050334734,8,1,0.0,16,0.0960172085079525,8,1,0.0,0.10109513908488575,0.3125,SNX11,False,
ENSG00000003056,18,-0.3189722296296265,11,-1,-0.22222222222222232,18,-0.254559206593257,13,-1,-0.4444444444444444,0.0667236230059115,0.16666666666666666,M6PR,False,
ENSG00000003096,16,-0.8116499498648184,12,-1,-0.5,16,0.1431047004758845,10,1,0.25,0.332247963294735,0.125,KLHL13,False,
ENSG00000003137,17,0.884149190897068,9,1,0.05882352941176472,17,-0.250203335233237,9,-1,-0.05882352941176472,-0.280963816046976,0.5294117647058824,CYP26B1,False,
ENSG00000003249,16,-1.4192073249885948,11,-1,-0.375,16,0.08601871118071225,9,1,0.125,0.8368480078903879,0.1875,DBNDD1,False,
ENSG00000003393,16,-0.493473170491333,11,-1,-0.375,16,-0.3800879036517415,9,-1,-0.125,0.4119830063046605,0.1875,ALS2,False,
ENSG00000003400,16,0.024778714508405054,8,1,0.0,16,-0.30170832535799,9,-1,-0.125,-0.0795807832988228,0.375,CASP10,False,
ENSG00000003402,16,1.34857479608543,13,1,0.625,16,-0.525253155217658,10,-1,-0.25,-0.533082445852811,0.625,CFLAR,False,
ENSG00000003436,16,0.6162578607934011,9,1,0.125,16,0.0322554088295543,9,1,0.125,-0.1362257734308135,0.5625,TFPI,False,
ENSG00000003509,16,-0.0094365198403465,8,1,0.0,16,0.01231485980125585,8,1,0.0,-0.3487153743637685,0.3125,NDUFAF7,False,
ENSG00000003756,16,0.496498899476692,11,1,0.375,16,-0.06854107453710245,9,-1,-0.125,-0.5009040760109135,0.5,RBM5,False,
ENSG00000003989,15,0.996600149883588,11,1,0.46666666666666656,15,-0.16270352295124,8,-1,-0.06666666666666665,-0.732818157140709,0.6,SLC7A2,False,
ENSG00000004059,16,-0.489459176782584,10,-1,-0.25,16,0.323442461314291,10,1,0.25,0.378377824244466,0.3125,ARF5,False,
ENSG00000004139,16,-0.5902528337358065,9,-1,-0.125,16,-0.19443938144058698,9,-1,-0.125,0.3676751742250175,0.375,SARM1,False,
ENSG00000004142,16,-0.8933563414845845,11,-1,-0.375,16,-0.043842090156339095,8,1,0.0,0.3861489582590435,0.1875,POLDIP2,False,
ENSG00000004399,16,0.9946242234164504,13,1,0.625,16,0.30271397849495096,12,1,0.5,-0.5654940876911015,0.625,PLXND1,False,
ENSG00000004455,16,-0.270806943997716,10,-1,-0.25,16,0.11805298007843401,10,1,0.25,0.0949382173799015,0.25,AK2,False,
ENSG00000004478,18,-0.8050960010955495,15,-1,-0.6666666666666667,18,-0.010629634016267153,9,1,0.0,0.828458665210701,0.1111111111111111,FKBP4,False,
ENSG00000004487,16,-0.550874532307694,12,-1,-0.5,16,-0.20007599589480898,10,-1,-0.25,0.6836954520105896,0.125,KDM1A,False,
ENSG00000004534,16,-0.0766814686751685,8,1,0.0,16,-0.581188971990806,11,-1,-0.375,-0.26226239649855,0.375,RBM6,False,
