ebene,dosis,dezil,n,staerke,staerke_min,staerke_max,gerichtet,gerichtet_roh,lo,hi
ATAC GSE224251 osteogen (n=3),dWT_kons,0,1219,0.1111111111111111,0.0588235294117647,0.125,-0.0091505187806784,-0.007604696857559742,-0.026074319954639227,0.00785372255645837
ATAC GSE224251 osteogen (n=3),dWT_kons,1,1218,0.125,0.125,0.125,0.0017360634041137931,0.003542957238034786,-0.01396388167648047,0.01805447170016192
ATAC GSE224251 osteogen (n=3),dWT_kons,2,1219,0.1999999999999999,0.125,0.25,0.002716080730569527,0.00556934984220069,-0.014107089750459333,0.018838876388828762
ATAC GSE224251 osteogen (n=3),dWT_kons,3,1218,0.25,0.25,0.25,-0.00292004121468142,0.0007160504632484843,-0.01839077164160045,0.013120599051205724
ATAC GSE224251 osteogen (n=3),dWT_kons,4,1218,0.3333333333333332,0.25,0.375,0.0009739752928092857,0.005167624082454605,-0.015464288545121824,0.017275939350101768
ATAC GSE224251 osteogen (n=3),dWT_kons,5,1219,0.375,0.375,0.4444444444444444,0.0017590018745398557,0.006847010738557268,-0.014001980285330642,0.017309390022074423
ATAC GSE224251 osteogen (n=3),dWT_kons,6,1218,0.5,0.4444444444444444,0.5555555555555556,0.005942603174460974,0.01178599663050999,-0.01021898437550067,0.022632706051790838
ATAC GSE224251 osteogen (n=3),dWT_kons,7,1219,0.625,0.5555555555555556,1.0,0.041616025009703565,0.04857248854849654,0.02584728947610705,0.05761974859691489
ATAC GSE224251 osteogen (n=3),iv_kons,0,1145,0.0666666666666666,0.0588235294117647,0.125,-0.007980065182934364,-0.008352133275157162,-0.025529635275791898,0.009736597606528005
ATAC GSE224251 osteogen (n=3),iv_kons,1,1145,0.125,0.125,0.125,0.004227693254705882,0.0041774463886714835,-0.012596811590121552,0.021463281310667964
ATAC GSE224251 osteogen (n=3),iv_kons,2,1145,0.125,0.125,0.125,0.009691761366474698,0.009487448464297043,-0.006712814383226789,0.02555740764277958
ATAC GSE224251 osteogen (n=3),iv_kons,3,1145,0.1999999999999999,0.125,0.2222222222222223,-0.020378682859072128,-0.020461868678890327,-0.03775782315124989,-0.0028467853613137503
ATAC GSE224251 osteogen (n=3),iv_kons,4,1144,0.25,0.2222222222222223,0.25,0.009222099220352739,0.008894484945405361,-0.006365272468636884,0.026024123007423787
ATAC GSE224251 osteogen (n=3),iv_kons,5,1145,0.25,0.25,0.3333333333333332,0.010220857235053409,0.010061024991091608,-0.005575996662858735,0.026505201228982124
ATAC GSE224251 osteogen (n=3),iv_kons,6,1145,0.375,0.3333333333333332,0.375,0.022419300485591747,0.0224221550432302,0.005526812677542807,0.039815633229405414
ATAC GSE224251 osteogen (n=3),iv_kons,7,1145,0.5,0.375,1.0,0.007710939387541823,0.00726400957267309,-0.008433025778922009,0.02480570241097074
ATAC GSE332758 osteogen (n=1),dWT_kons,0,1293,0.1111111111111111,0.0588235294117647,0.125,-0.00740244627508017,0.002245538081464206,-0.022806307300951505,0.008181716189841901
ATAC GSE332758 osteogen (n=1),dWT_kons,1,1293,0.125,0.125,0.125,0.0028275065721028144,0.013711633004804028,-0.01252581342654296,0.018321191843763865
ATAC GSE332758 osteogen (n=1),dWT_kons,2,1293,0.1999999999999999,0.125,0.25,-0.008440919514608633,0.008244127025987494,-0.02358465615689237,0.008334188882352435
ATAC GSE332758 osteogen (n=1),dWT_kons,3,1293,0.25,0.25,0.25,-0.013640046411265698,0.008378826579518427,-0.029260789622633822,0.0014165956930120471
ATAC GSE332758 osteogen (n=1),dWT_kons,4,1293,0.3333333333333332,0.25,0.375,-0.008533278811315735,0.018308117496753918,-0.024265065660502922,0.006917577697545517
ATAC GSE332758 osteogen (n=1),dWT_kons,5,1293,0.375,0.375,0.4444444444444444,-0.0006185754368649213,0.03072111721606583,-0.0162511743704103,0.015095303200268764
ATAC GSE332758 osteogen (n=1),dWT_kons,6,1293,0.5,0.4444444444444444,0.5555555555555556,0.0030558478725045074,0.03935494778546986,-0.012606143981545586,0.0186135148824855
ATAC GSE332758 osteogen (n=1),dWT_kons,7,1293,0.625,0.5555555555555556,1.0,0.04205533986844387,0.08499895860846043,0.02604195253316124,0.05757198475777384
ATAC GSE332758 osteogen (n=1),iv_kons,0,1219,0.0666666666666666,0.0588235294117647,0.125,0.008886447027246874,0.0064443951932259295,-0.006702645580765559,0.02433296557960728
ATAC GSE332758 osteogen (n=1),iv_kons,1,1219,0.125,0.125,0.125,0.007933364597523467,0.0071395057611880535,-0.00719116005773146,0.023374303319672083
ATAC GSE332758 osteogen (n=1),iv_kons,2,1219,0.125,0.125,0.125,0.01029311481324029,0.009587431454325345,-0.007332048964031358,0.026476511982580827
ATAC GSE332758 osteogen (n=1),iv_kons,3,1219,0.1999999999999999,0.125,0.2222222222222223,-0.0011027192785549966,-0.0017716267918378179,-0.0177959368485344,0.016067212907686937
ATAC GSE332758 osteogen (n=1),iv_kons,4,1219,0.25,0.2222222222222223,0.25,0.014211498543504003,0.012623372294857535,-0.001678579079498057,0.03072614766464388
