dezil,n,kons_mitte,delta_median,delta_mittel,delta_se,ebene,dosis
0,1092,-0.5294117647058822,0.01654769715112885,-0.006106549724108154,0.011680324297910133,ATAC GSE224251 osteogen (n=3),dWT_kons
1,1092,-0.375,0.04552441922114565,0.027903838510011297,0.01172921531430853,ATAC GSE224251 osteogen (n=3),dWT_kons
2,1092,-0.25,0.025367225527774998,0.03610243090136943,0.010953252288145034,ATAC GSE224251 osteogen (n=3),dWT_kons
3,1092,-0.125,0.03120300418402695,0.015560673324686209,0.012434668856382416,ATAC GSE224251 osteogen (n=3),dWT_kons
4,1092,-0.0666666666666666,0.0439734689772336,0.04063527786083775,0.011756193325456766,ATAC GSE224251 osteogen (n=3),dWT_kons
5,1091,0.0,0.0302857678151045,0.03378898156021854,0.011519476522053677,ATAC GSE224251 osteogen (n=3),dWT_kons
6,1092,0.125,0.03479121371971035,0.024535722788490966,0.012634206234010438,ATAC GSE224251 osteogen (n=3),dWT_kons
7,1092,0.25,0.0508211995925931,0.04155275718029146,0.011408522543063897,ATAC GSE224251 osteogen (n=3),dWT_kons
8,1092,0.375,0.05727522039937645,0.04791068843020312,0.012070379698303211,ATAC GSE224251 osteogen (n=3),dWT_kons
9,1092,0.625,0.09308691513612224,0.10495855279111403,0.012614253227306457,ATAC GSE224251 osteogen (n=3),dWT_kons
0,1092,-0.375,0.011464115769855,0.02560582099330641,0.011773906875392651,ATAC GSE224251 osteogen (n=3),iv_kons
1,1092,-0.25,0.043317422256333254,0.038680598412057,0.012109408680573117,ATAC GSE224251 osteogen (n=3),iv_kons
2,1092,-0.1999999999999999,0.0584851654388993,0.045058439321289334,0.012776565086645895,ATAC GSE224251 osteogen (n=3),iv_kons
3,1092,-0.125,0.0302946920933544,0.009317926251544663,0.011248252226033633,ATAC GSE224251 osteogen (n=3),iv_kons
4,1092,0.0,0.04552441922114565,0.048126618925866615,0.012141525807613933,ATAC GSE224251 osteogen (n=3),iv_kons
5,1091,0.0,0.0302857678151045,0.013094392043194798,0.010743348168971953,ATAC GSE224251 osteogen (n=3),iv_kons
6,1092,0.1111111111111111,0.0430369034179982,0.032081427532088515,0.013194768802006948,ATAC GSE224251 osteogen (n=3),iv_kons
7,1092,0.125,0.03564880648791465,0.0284751580926552,0.012248619676948519,ATAC GSE224251 osteogen (n=3),iv_kons
8,1092,0.25,0.0611502882620902,0.06257039950313402,0.011038271962160336,ATAC GSE224251 osteogen (n=3),iv_kons
9,1092,0.375,0.06713322387820905,0.0638126414586768,0.011579603701434722,ATAC GSE224251 osteogen (n=3),iv_kons
0,1158,-0.5294117647058822,-0.00020870080744863045,-0.007017493119190015,0.004645198357851767,ATAC GSE332758 osteogen (n=1),dWT_kons
1,1158,-0.375,0.01459003519846595,0.010200014106557916,0.004447708631927009,ATAC GSE332758 osteogen (n=1),dWT_kons
2,1158,-0.25,0.0276373849021399,0.02308074457679467,0.0044572896360718225,ATAC GSE332758 osteogen (n=1),dWT_kons
3,1157,-0.125,0.0175612857737532,0.015698255121838436,0.0043987608983964525,ATAC GSE332758 osteogen (n=1),dWT_kons
4,1158,-0.0666666666666666,0.02602340604614955,0.02151057575244236,0.004294155600801208,ATAC GSE332758 osteogen (n=1),dWT_kons
5,1158,0.0,0.03642626354660235,0.03377079048918357,0.004436834696283614,ATAC GSE332758 osteogen (n=1),dWT_kons
6,1157,0.125,0.0298664994601829,0.029429230023864338,0.0042881347081381235,ATAC GSE332758 osteogen (n=1),dWT_kons
7,1158,0.25,0.037029206495928,0.03138018480402398,0.004320529684010452,ATAC GSE332758 osteogen (n=1),dWT_kons
8,1158,0.375,0.0403212824643214,0.04166995277765943,0.004484768345231115,ATAC GSE332758 osteogen (n=1),dWT_kons
9,1158,0.625,0.06298287240545444,0.0760713548854021,0.00490975042931767,ATAC GSE332758 osteogen (n=1),dWT_kons
0,1158,-0.375,0.018267270261972897,0.015811793218845925,0.0046024794170632585,ATAC GSE332758 osteogen (n=1),iv_kons
1,1158,-0.25,0.02457715921341305,0.021391257928640172,0.004549861540949466,ATAC GSE332758 osteogen (n=1),iv_kons
2,1158,-0.1999999999999999,0.0301755803061481,0.024048592998900914,0.004468564755651068,ATAC GSE332758 osteogen (n=1),iv_kons
3,1157,-0.125,0.0320330921392595,0.03036762649079273,0.004252239098419575,ATAC GSE332758 osteogen (n=1),iv_kons
4,1158,0.0,0.0185904359341082,0.01403428204256943,0.0045915258544465005,ATAC GSE332758 osteogen (n=1),iv_kons
5,1158,0.0,0.035557142540675296,0.036117614305997706,0.004470410580027144,ATAC GSE332758 osteogen (n=1),iv_kons
6,1157,0.1111111111111111,0.0231129800930725,0.02423312575043069,0.0045451187485118245,ATAC GSE332758 osteogen (n=1),iv_kons
7,1158,0.125,0.03056104916071625,0.03194704298440828,0.004516909517567869,ATAC GSE332758 osteogen (n=1),iv_kons
8,1158,0.25,0.03466383347968685,0.0321531995896374,0.004538702564130837,ATAC GSE332758 osteogen (n=1),iv_kons
9,1158,0.375,0.04811915979445225,0.04569725482259839,0.00450735010883802,ATAC GSE332758 osteogen (n=1),iv_kons
0,1158,-0.5294117647058822,-0.02009003298607325,-0.02818869120115697,0.004452716735050886,ATAC GSE332758 adipogen (n=1),dWT_kons
1,1158,-0.375,-0.0175319195108056,-0.019753542699924846,0.004380309919973716,ATAC GSE332758 adipogen (n=1),dWT_kons
2,1158,-0.25,0.00106340197816355,-0.0052366070562757374,0.004461806013356596,ATAC GSE332758 adipogen (n=1),dWT_kons
3,1157,-0.125,0.0013416768352719,-0.003842250422652926,0.004312352430591677,ATAC GSE332758 adipogen (n=1),dWT_kons
4,1158,-0.0666666666666666,0.00722168672030265,0.005421068168479231,0.004279867682260455,ATAC GSE332758 adipogen (n=1),dWT_kons
5,1158,0.0,0.008976297358931351,0.007287113333436152,0.004252007843830187,ATAC GSE332758 adipogen (n=1),dWT_kons
6,1157,0.125,0.0176680253636406,0.014126235737195469,0.004325962676242847,ATAC GSE332758 adipogen (n=1),dWT_kons
7,1158,0.25,0.02673965274941415,0.021573131228944577,0.004388078729801927,ATAC GSE332758 adipogen (n=1),dWT_kons
8,1158,0.375,0.0251125955784399,0.025569208123906412,0.004431413975291497,ATAC GSE332758 adipogen (n=1),dWT_kons
9,1158,0.625,0.049288341244521,0.05516268518068275,0.004663564974743759,ATAC GSE332758 adipogen (n=1),dWT_kons
0,1158,-0.375,0.00542634816285705,-0.0018043627653512116,0.004503601328672054,ATAC GSE332758 adipogen (n=1),iv_kons
1,1158,-0.25,0.0050083523987606,0.004855509842551651,0.004414873520736167,ATAC GSE332758 adipogen (n=1),iv_kons
2,1158,-0.1999999999999999,0.0063657176491928,0.006431374820979944,0.004435821287380669,ATAC GSE332758 adipogen (n=1),iv_kons
3,1157,-0.125,0.0086586791822647,0.004741839313645712,0.004183935319249061,ATAC GSE332758 adipogen (n=1),iv_kons
4,1158,0.0,0.01401540590457745,0.00562794771774458,0.004644046133823854,ATAC GSE332758 adipogen (n=1),iv_kons
5,1158,0.0,0.0026146886771670997,0.0032403395230301553,0.00449336377570646,ATAC GSE332758 adipogen (n=1),iv_kons
6,1157,0.1111111111111111,0.0110037599351958,0.011132915600145041,0.004606408921429775,ATAC GSE332758 adipogen (n=1),iv_kons
7,1158,0.125,0.0111406014697908,0.0072940143831186815,0.0044548287158053,ATAC GSE332758 adipogen (n=1),iv_kons
8,1158,0.25,0.0129531640840969,0.011399146897029911,0.004392372666731563,ATAC GSE332758 adipogen (n=1),iv_kons
9,1158,0.375,0.02331434754783695,0.01920445301276145,0.004290091478553972,ATAC GSE332758 adipogen (n=1),iv_kons
0,1158,-0.5294117647058822,-0.06931953160314225,-0.08615327037865286,0.005965893171775921,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
1,1158,-0.375,-0.0758293937176178,-0.08419544919409633,0.005954936398903921,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
2,1158,-0.25,-0.0841207084600597,-0.0967575999946621,0.006054602899187575,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
3,1157,-0.125,-0.0521349403768984,-0.06563639132432768,0.005891885760586173,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
4,1158,-0.0666666666666666,-0.05858836841289515,-0.07280485250317173,0.006239187691795939,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
5,1158,0.0,-0.053454395923377945,-0.06632952311776294,0.006029544985509837,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
6,1157,0.125,-0.0401321058839897,-0.047606202141743,0.005901007360519237,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
7,1158,0.25,-0.02901607344205365,-0.03965635094224935,0.005834961383060676,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
8,1158,0.375,-0.02462020840992225,-0.0355941312780363,0.006388508273979779,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
9,1158,0.625,-0.0151718960962971,-0.005964014212271708,0.006437435449931835,H3K27ac GSE129031 chondrogen (n=2),dWT_kons
0,1158,-0.375,-0.0515397130219373,-0.06764969063621172,0.006140502033308784,H3K27ac GSE129031 chondrogen (n=2),iv_kons
1,1158,-0.25,-0.04859482155518115,-0.05588067017772839,0.00618919936653277,H3K27ac GSE129031 chondrogen (n=2),iv_kons
2,1158,-0.1999999999999999,-0.0406543424193468,-0.05785303568789388,0.005965570731412111,H3K27ac GSE129031 chondrogen (n=2),iv_kons
3,1157,-0.125,-0.070211309606562,-0.07952048390344124,0.006123871430519234,H3K27ac GSE129031 chondrogen (n=2),iv_kons
4,1158,0.0,-0.027298737170720802,-0.03934736014680223,0.006261639607873644,H3K27ac GSE129031 chondrogen (n=2),iv_kons
5,1158,0.0,-0.0672903024028113,-0.08471456530187786,0.0058152158939351745,H3K27ac GSE129031 chondrogen (n=2),iv_kons
6,1157,0.1111111111111111,-0.0268271037489804,-0.041822590118983025,0.0063631643127814675,H3K27ac GSE129031 chondrogen (n=2),iv_kons
7,1158,0.125,-0.05504081693324735,-0.06391956554877726,0.006172345426297394,H3K27ac GSE129031 chondrogen (n=2),iv_kons
8,1158,0.25,-0.05349260178816305,-0.05796020282045062,0.0061070037022217085,H3K27ac GSE129031 chondrogen (n=2),iv_kons
9,1158,0.375,-0.05524191325319945,-0.05203661597844885,0.005931378726121559,H3K27ac GSE129031 chondrogen (n=2),iv_kons
0,764,-0.5555555555555556,-0.0059602808333333,-0.010622263631333602,0.0007495445163615711,DNAm GSE33896 osteogen (n=3),dWT_kons
1,764,-0.375,-0.0055610533333333,-0.009902631190045062,0.0006892381064850282,DNAm GSE33896 osteogen (n=3),dWT_kons
2,763,-0.25,-0.0049892883333333,-0.01057109811457694,0.0008170835907917783,DNAm GSE33896 osteogen (n=3),dWT_kons
3,764,-0.125,-0.00497034524999995,-0.01131809680200627,0.0009082649294341271,DNAm GSE33896 osteogen (n=3),dWT_kons
4,764,-0.0666666666666666,-0.00561750083333325,-0.009864260910511699,0.0008384622860765182,DNAm GSE33896 osteogen (n=3),dWT_kons
5,763,0.0,-0.0049255466666666,-0.009125425982255693,0.0008027288359952835,DNAm GSE33896 osteogen (n=3),dWT_kons
6,764,0.125,-0.0050416333333333,-0.010101468185839615,0.0009017530749459439,DNAm GSE33896 osteogen (n=3),dWT_kons
7,763,0.25,-0.0051992933333333,-0.010319087721982962,0.0008413108706094566,DNAm GSE33896 osteogen (n=3),dWT_kons
8,764,0.375,-0.0045446591666666,-0.008939865054232091,0.0010636288093414264,DNAm GSE33896 osteogen (n=3),dWT_kons
9,764,0.625,-0.0044602100833332995,-0.008382923781870671,0.0009767259497974504,DNAm GSE33896 osteogen (n=3),dWT_kons
0,764,-0.411764705882353,-0.0057633706666666,-0.01157477196409871,0.0010330598553070047,DNAm GSE33896 osteogen (n=3),iv_kons
1,764,-0.25,-0.0052085566666666,-0.008789688386787356,0.0010642024328349241,DNAm GSE33896 osteogen (n=3),iv_kons
2,763,-0.1999999999999999,-0.005578089,-0.009641441472733618,0.000772243630372069,DNAm GSE33896 osteogen (n=3),iv_kons
3,764,-0.125,-0.004161582333333301,-0.009648526254996653,0.0007743044566311547,DNAm GSE33896 osteogen (n=3),iv_kons
4,764,0.0,-0.00548520558333325,-0.011042094371255069,0.0008646214982645303,DNAm GSE33896 osteogen (n=3),iv_kons
5,763,0.0,-0.0044827633333333,-0.009487449072739169,0.0008258714504873037,DNAm GSE33896 osteogen (n=3),iv_kons
6,764,0.1111111111111111,-0.00558640249999995,-0.010618048613350764,0.0008578195640948778,DNAm GSE33896 osteogen (n=3),iv_kons
7,763,0.125,-0.0048642516666666,-0.008365731118465104,0.000776699516465148,DNAm GSE33896 osteogen (n=3),iv_kons
8,764,0.25,-0.004667227833333299,-0.009681772733638723,0.0007897184057104809,DNAm GSE33896 osteogen (n=3),iv_kons
9,764,0.375,-0.00553334470370365,-0.01029429766125583,0.0008321439365684766,DNAm GSE33896 osteogen (n=3),iv_kons
0,764,-0.5555555555555556,0.0063314858333332995,0.009627973766753914,0.0010186385702535274,DNAm GSE33896 myogen (n=3),dWT_kons
1,764,-0.375,0.0054518924999999,0.010430079048574736,0.0010216115988570165,DNAm GSE33896 myogen (n=3),dWT_kons
2,763,-0.25,0.004554135,0.009323695077828735,0.0011012403306332862,DNAm GSE33896 myogen (n=3),dWT_kons
3,764,-0.125,0.004804309166666651,0.008141872636897826,0.0011522111207873202,DNAm GSE33896 myogen (n=3),dWT_kons
4,764,-0.0666666666666666,0.0035592749166666,0.00952458138437525,0.0011636003971492728,DNAm GSE33896 myogen (n=3),dWT_kons
5,763,0.0,0.0057723033333333,0.012478563782394045,0.0011929728185027823,DNAm GSE33896 myogen (n=3),dWT_kons
6,764,0.125,0.0043658324999999495,0.009181420195359972,0.0011982071213607651,DNAm GSE33896 myogen (n=3),dWT_kons
7,763,0.25,0.00489537,0.010068375806673729,0.0010942114124469773,DNAm GSE33896 myogen (n=3),dWT_kons
8,764,0.375,0.00551891575,0.011776351162521802,0.0011994377014093857,DNAm GSE33896 myogen (n=3),dWT_kons
