ebene,dosis,rho_roh,rho_partiell,rho_kons_basis,rho_delta_basis,n
ATAC GSE224251 osteogen (n=3),dWT_kons,0.04476732721870746,0.05314289129138323,-0.8201110813663502,-0.017513966422616233,10919
ATAC GSE224251 osteogen (n=3),iv_kons,0.019003326199157507,0.01959805963119078,0.033170358154436384,-0.017513966422616233,10919
ATAC GSE332758 osteogen (n=1),dWT_kons,0.10741985025929256,0.03272732610894409,-0.8184676819566603,-0.10840635332575559,11578
ATAC GSE332758 osteogen (n=1),iv_kons,0.03755990867006057,0.04162211056368679,0.034975744771875074,-0.10840635332575559,11578
ATAC GSE332758 adipogen (n=1),dWT_kons,0.13975937981632033,0.022010470453951155,-0.8184676819566603,-0.1554942586859524,11578
ATAC GSE332758 adipogen (n=1),iv_kons,0.02294318201487231,0.028748762234855427,0.034975744771875074,-0.1554942586859524,11578
H3K27ac GSE129031 chondrogen (n=2),dWT_kons,0.1217280893909765,0.00868314924288328,-0.8184676819566603,-0.14269374160381296,11578
H3K27ac GSE129031 chondrogen (n=2),iv_kons,0.013731798488883373,0.018927770570630158,0.034975744771875074,-0.14269374160381296,11578
DNAm GSE33896 osteogen (n=3),dWT_kons,0.029718344619425675,-0.02142069734922166,-0.8305559505424766,-0.050127010910731344,7637
DNAm GSE33896 osteogen (n=3),iv_kons,0.0042713739241686775,0.005739075810861401,0.02908734604956619,-0.050127010910731344,7637
DNAm GSE33896 myogen (n=3),dWT_kons,0.006678045413273912,-0.01734295359721362,-0.8305559505424766,-0.01966764355903527,7637
DNAm GSE33896 myogen (n=3),iv_kons,0.01781616937019452,0.018399591745218723,0.02908734604956619,-0.01966764355903527,7637
DNAm GSE129266 chondrogen (n=2),dWT_kons,-0.040739876527674135,-0.007831760331346478,-0.8205453778099593,0.0441995821892364,10757
DNAm GSE129266 chondrogen (n=2),iv_kons,0.011446532087512366,0.010027179330352295,0.032453446658900514,0.0441995821892364,10757
