ebene,satzart,satz,n,statistik,null,null_sd,z,p
ATAC GSE224251 osteogen (n=3),Modul,173 konvergente Gene,160,0.07060004901693809,0.0001789360090681336,0.022845099008036697,3.082547945320633,0.0030998450077496125
ATAC GSE224251 osteogen (n=3),Marker,osteogene Marker,15,-0.08290942759108981,-0.0005000014523537206,0.07426332389540852,-1.10969213086665,1.0
ATAC GSE224251 osteogen (n=3),Groessenkontrolle,Modulteilmengen n=15,15,0.07364159541056223,-0.08290942759108981,,,0.01849999999999996
ATAC GSE332758 osteogen (n=1),Modul,173 konvergente Gene,173,0.12930087047294456,1.8276525348450474e-05,0.02193952283990082,5.892680296240233,9.99950002499875e-05
ATAC GSE332758 osteogen (n=1),Marker,osteogene Marker,18,0.09795124495718811,-0.00023217279295476869,0.06808567470523375,1.442056911020014,0.15139243037848107
ATAC GSE332758 osteogen (n=1),Groessenkontrolle,Modulteilmengen n=18,18,0.12729250251100122,0.09795124495718811,,,0.31399999999999995
ATAC GSE332758 adipogen (n=1),Modul,173 konvergente Gene,173,0.10745085348381155,-7.081910715971429e-05,0.02199232966052883,4.8890533313506985,9.99950002499875e-05
ATAC GSE332758 adipogen (n=1),Marker,adipogene Marker,18,0.2880825939058971,4.825409112853563e-05,0.0682600116514249,4.219664381038177,9.99950002499875e-05
ATAC GSE332758 adipogen (n=1),Groessenkontrolle,Modulteilmengen n=18,18,0.1073224125588906,0.2880825939058971,,,0.999
H3K27ac GSE129031 chondrogen (n=2),Modul,173 konvergente Gene,173,0.10701950362180444,0.00023108899645378207,0.02189108924385166,4.878168164032464,9.99950002499875e-05
H3K27ac GSE129031 chondrogen (n=2),Marker,chondrogene Marker,12,0.32851284354827975,0.0009203602265921338,0.08305234925717042,3.944409595293953,0.000199990000499975
H3K27ac GSE129031 chondrogen (n=2),Groessenkontrolle,Modulteilmengen n=12,12,0.10806381846010515,0.32851284354827975,,,0.9985
DNAm GSE33896 osteogen (n=3),Modul,173 konvergente Gene,126,0.014246448533347375,0.0002885040598374968,0.026065910896257746,0.5354865413705456,0.5895705214739263
DNAm GSE33896 osteogen (n=3),Marker,osteogene Marker,16,-0.11464379491431731,-0.0009611298973880597,0.07211021820988057,-1.57651256422564,1.0
DNAm GSE33896 osteogen (n=3),Groessenkontrolle,Modulteilmengen n=16,16,0.015780472636815916,-0.11464379491431731,,,0.035499999999999976
DNAm GSE33896 myogen (n=3),Modul,173 konvergente Gene,126,-0.039019518808076026,-0.0005524188334123036,0.025491567445115538,-1.5090127375448792,1.0
DNAm GSE33896 myogen (n=3),Marker,myogene Marker,16,-0.01491241708126037,0.00025191781975538987,0.07168657096118082,-0.21153661972794652,1.0
DNAm GSE33896 myogen (n=3),Groessenkontrolle,Modulteilmengen n=16,16,-0.03955698935876174,-0.01491241708126037,,,0.6395
DNAm GSE129266 chondrogen (n=2),Modul,173 konvergente Gene,161,0.04151741264046276,-0.00024502731467213507,0.022667081119520736,1.842426898060967,0.06599670016499175
DNAm GSE129266 chondrogen (n=2),Marker,chondrogene Marker,12,0.24370626590330782,-0.0007317950858778628,0.08326457118975301,2.9356790949193954,0.0028998550072496373
DNAm GSE129266 chondrogen (n=2),Groessenkontrolle,Modulteilmengen n=12,12,0.04079993638676845,0.24370626590330782,,,0.994
