panel,symbol,ensembl,mode_of_inheritance,confidence_level
PA309,ABCC9,ENSG00000069431,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,ACAN,ENSG00000157766,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,ACP5,ENSG00000102575,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ACVR1,ENSG00000115170,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,ADAMTS10,ENSG00000142303,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ADAMTS17,ENSG00000140470,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ADAMTSL2,ENSG00000197859,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,AFF3,ENSG00000144218,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,AGA,ENSG00000038002,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,AGPS,ENSG00000018510,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ALG12,ENSG00000182858,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ALG3,ENSG00000214160,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ALG9,ENSG00000086848,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ALPL,ENSG00000162551,"BOTH monoallelic and biallelic (but BIALLELIC mutations cause a more SEVERE disease form), autosomal or pseudoautosomal",3
PA309,ALX1,ENSG00000180318,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ALX3,ENSG00000156150,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ALX4,ENSG00000052850,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,AMER1,ENSG00000184675,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,ANAPC1,ENSG00000153107,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ANKH,ENSG00000154122,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,ANKRD11,ENSG00000167522,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,ANO5,ENSG00000171714,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,ANTXR2,ENSG00000163297,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ARCN1,ENSG00000095139,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,ARHGAP31,ENSG00000031081,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,ARL6,ENSG00000113966,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ARSB,ENSG00000113273,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ARSE,ENSG00000157399,"X-LINKED: hemizygous mutation in males, biallelic mutations in females",3
PA309,ARSK,ENSG00000164291,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ASXL1,ENSG00000171456,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,ASXL2,ENSG00000143970,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,ATP6V0A2,ENSG00000185344,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ATP7A,ENSG00000165240,"X-LINKED: hemizygous mutation in males, biallelic mutations in females",3
PA309,AXIN1,ENSG00000103126,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,B3GALT6,ENSG00000176022,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,B3GAT3,ENSG00000149541,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,B3GLCT,ENSG00000187676,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,B4GALT7,ENSG00000027847,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BBS1,ENSG00000174483,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BBS10,ENSG00000179941,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BBS12,ENSG00000181004,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BBS2,ENSG00000125124,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BBS4,ENSG00000140463,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BBS5,ENSG00000163093,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BBS7,ENSG00000138686,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BBS9,ENSG00000122507,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BGN,ENSG00000182492,"X-LINKED: hemizygous mutation in males, biallelic mutations in females",3
PA309,BHLHA9,ENSG00000205899,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BMP1,ENSG00000168487,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BMP2,ENSG00000125845,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,BMPER,ENSG00000164619,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,BMPR1B,ENSG00000138696,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,C21orf2,ENSG00000160226,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,C2CD3,ENSG00000168014,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CA2,ENSG00000104267,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CANT1,ENSG00000171302,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CASR,ENSG00000036828,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,CBFB,ENSG00000067955,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,CC2D2A,ENSG00000048342,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CCDC8,ENSG00000169515,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CDC45,ENSG00000093009,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CDH3,ENSG00000062038,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CDKN1C,ENSG00000129757,"MONOALLELIC, autosomal or pseudoautosomal, paternally imprinted (maternal allele expressed)",3
PA309,CDT1,ENSG00000167513,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CEP120,ENSG00000168944,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CEP290,ENSG00000198707,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CHST14,ENSG00000169105,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CHST3,ENSG00000122863,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CHSY1,ENSG00000131873,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CLCN5,ENSG00000171365,"X-LINKED: hemizygous mutation in males, biallelic mutations in females",3
PA309,CLCN7,ENSG00000103249,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,COG1,ENSG00000166685,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,COG4,ENSG00000103051,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,COL10A1,ENSG00000123500,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,COL11A1,ENSG00000060718,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,COL11A2,ENSG00000204248,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,COL1A1,ENSG00000108821,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,COL1A2,ENSG00000164692,"MONOALLELIC, autosomal or pseudoautosomal, imprinted status unknown",3
PA309,COL27A1,ENSG00000196739,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,COL2A1,ENSG00000139219,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,COL9A1,ENSG00000112280,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,COL9A2,ENSG00000049089,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,COL9A3,ENSG00000092758,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,COLEC11,ENSG00000118004,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,COMP,ENSG00000105664,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,COPB2,ENSG00000184432,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,CREB3L1,ENSG00000157613,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CREBBP,ENSG00000005339,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,CRTAP,ENSG00000170275,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CSGALNACT1,ENSG00000147408,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CSPP1,ENSG00000104218,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CTGF,ENSG00000118523,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CTSA,ENSG00000064601,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CTSC,ENSG00000109861,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CTSK,ENSG00000143387,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CUL7,ENSG00000044090,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CYP27B1,ENSG00000111012,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,CYP2R1,ENSG00000186104,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DCC,ENSG00000187323,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DDR2,ENSG00000162733,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DDRGK1,ENSG00000198171,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DHCR24,ENSG00000116133,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DHCR7,ENSG00000172893,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DHODH,ENSG00000102967,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DIS3L2,ENSG00000144535,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DLL3,ENSG00000090932,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DLL4,ENSG00000128917,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,DLX3,ENSG00000064195,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,DLX5,ENSG00000105880,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,DMP1,ENSG00000152592,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DNMT3A,ENSG00000119772,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,DOCK6,ENSG00000130158,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DPAGT1,ENSG00000172269,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DPM1,ENSG00000000419,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DVL1,ENSG00000107404,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,DVL2,ENSG00000004975,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,DVL3,ENSG00000161202,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,DYM,ENSG00000141627,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DYNC2H1,ENSG00000187240,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,DYNC2LI1,ENSG00000138036,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,EBP,ENSG00000147155,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,EED,ENSG00000074266,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,EFTUD2,ENSG00000108883,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,EIF2AK3,ENSG00000172071,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ENPP1,ENSG00000197594,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,EOGT,ENSG00000163378,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ERF,ENSG00000105722,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,ERI1,ENSG00000104626,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,ESCO2,ENSG00000171320,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,EVC,ENSG00000072840,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,EVC2,ENSG00000173040,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
PA309,EXOC6B,ENSG00000144036,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,EXT1,ENSG00000182197,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,EXT2,ENSG00000151348,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,EXTL3,ENSG00000012232,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,EZH2,ENSG00000106462,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,FAM111A,ENSG00000166801,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,FAM20C,ENSG00000177706,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,FAM46A,ENSG00000112773,"BIALLELIC, autosomal or pseudoautosomal",3
PA309,FAM58A,ENSG00000262919,"X-LINKED: hemizygous mutation in males, monoallelic mutations in females may cause disease (may be less severe, later onset than males)",3
PA309,FBN1,ENSG00000166147,"MONOALLELIC, autosomal or pseudoautosomal, NOT imprinted",3
PA309,FBN2,ENSG00000138829,"BOTH monoallelic and biallelic, autosomal or pseudoautosomal",3
