"ensembl","satz"
"ENSG00000097007","S_ZELLZYKLUS"
"ENSG00000075624","S_ZELLZYKLUS"
"ENSG00000136518","S_ZELLZYKLUS"
"ENSG00000115170","S_ZELLZYKLUS"
"ENSG00000135503","S_ZELLZYKLUS"
"ENSG00000197381","S_ZELLZYKLUS"
"ENSG00000141433","S_ZELLZYKLUS"
"ENSG00000204472","S_ZELLZYKLUS"
"ENSG00000235588","S_ZELLZYKLUS"
"ENSG00000206428","S_ZELLZYKLUS"
"ENSG00000237727","S_ZELLZYKLUS"
"ENSG00000234836","S_ZELLZYKLUS"
"ENSG00000235985","S_ZELLZYKLUS"
"ENSG00000142208","S_ZELLZYKLUS"
"ENSG00000105221","S_ZELLZYKLUS"
"ENSG00000179593","S_ZELLZYKLUS"
"ENSG00000136717","S_ZELLZYKLUS"
"ENSG00000151150","S_ZELLZYKLUS"
"ENSG00000005022","S_ZELLZYKLUS"
"ENSG00000135046","S_ZELLZYKLUS"
"ENSG00000122359","S_ZELLZYKLUS"
"ENSG00000166313","S_ZELLZYKLUS"
"ENSG00000163697","S_ZELLZYKLUS"
"ENSG00000134982","S_ZELLZYKLUS"
"ENSG00000110330","S_ZELLZYKLUS"
"ENSG00000023445","S_ZELLZYKLUS"
"ENSG00000101966","S_ZELLZYKLUS"
"ENSG00000089685","S_ZELLZYKLUS"
"ENSG00000142192","S_ZELLZYKLUS"
"ENSG00000143761","S_ZELLZYKLUS"
"ENSG00000165527","S_ZELLZYKLUS"
"ENSG00000067560","S_ZELLZYKLUS"
"ENSG00000143878","S_ZELLZYKLUS"
"ENSG00000155366","S_ZELLZYKLUS"
"ENSG00000213465","S_ZELLZYKLUS"
"ENSG00000138175","S_ZELLZYKLUS"
"ENSG00000133794","S_ZELLZYKLUS"
"ENSG00000139352","S_ZELLZYKLUS"
"ENSG00000070669","S_ZELLZYKLUS"
"ENSG00000149311","S_ZELLZYKLUS"
"ENSG00000058668","S_ZELLZYKLUS"
"ENSG00000175054","S_ZELLZYKLUS"
"ENSG00000085224","S_ZELLZYKLUS"
"ENSG00000030110","S_ZELLZYKLUS"
"ENSG00000138376","S_ZELLZYKLUS"
"ENSG00000087088","S_ZELLZYKLUS"
"ENSG00000140463","S_ZELLZYKLUS"
"ENSG00000060982","S_ZELLZYKLUS"
"ENSG00000110092","S_ZELLZYKLUS"
"ENSG00000171791","S_ZELLZYKLUS"
"ENSG00000171552","S_ZELLZYKLUS"
"ENSG00000113916","S_ZELLZYKLUS"
"ENSG00000110987","S_ZELLZYKLUS"
"ENSG00000186716","S_ZELLZYKLUS"
"ENSG00000015475","S_ZELLZYKLUS"
"ENSG00000197299","S_ZELLZYKLUS"
"ENSG00000160683","S_ZELLZYKLUS"
"ENSG00000125845","S_ZELLZYKLUS"
"ENSG00000125378","S_ZELLZYKLUS"
"ENSG00000101144","S_ZELLZYKLUS"
