"klasse","ensembl"
"Struktur_ECM","ENSG00000106624"
"Struktur_ECM","ENSG00000157766"
"Struktur_ECM","ENSG00000178522"
"Struktur_ECM","ENSG00000125363"
"Struktur_ECM","ENSG00000099721"
"Struktur_ECM","ENSG00000182492"
"Struktur_ECM","ENSG00000010610"
"Struktur_ECM","ENSG00000133048"
"Struktur_ECM","ENSG00000108821"
"Struktur_ECM","ENSG00000164692"
"Struktur_ECM","ENSG00000139219"
"Struktur_ECM","ENSG00000168542"
"Struktur_ECM","ENSG00000291748"
"Struktur_ECM","ENSG00000187498"
"Struktur_ECM","ENSG00000134871"
"Struktur_ECM","ENSG00000169031"
"Struktur_ECM","ENSG00000081052"
"Struktur_ECM","ENSG00000188153"
"Struktur_ECM","ENSG00000197565"
"Struktur_ECM","ENSG00000130635"
"Struktur_ECM","ENSG00000204262"
"Struktur_ECM","ENSG00000142156"
"Struktur_ECM","ENSG00000142173"
"Struktur_ECM","ENSG00000163359"
"Struktur_ECM","ENSG00000114270"
"Struktur_ECM","ENSG00000144810"
"Struktur_ECM","ENSG00000171812"
"Struktur_ECM","ENSG00000112280"
"Struktur_ECM","ENSG00000049089"
"Struktur_ECM","ENSG00000092758"
"Struktur_ECM","ENSG00000123500"
"Struktur_ECM","ENSG00000060718"
"Struktur_ECM","ENSG00000204248"
"Struktur_ECM","ENSG00000232541"
"Struktur_ECM","ENSG00000223699"
"Struktur_ECM","ENSG00000227801"
"Struktur_ECM","ENSG00000206290"
"Struktur_ECM","ENSG00000235708"
"Struktur_ECM","ENSG00000230930"
"Struktur_ECM","ENSG00000111799"
"Struktur_ECM","ENSG00000197467"
"Struktur_ECM","ENSG00000204291"
"Struktur_ECM","ENSG00000084636"
"Struktur_ECM","ENSG00000065618"
"Struktur_ECM","ENSG00000082293"
"Struktur_ECM","ENSG00000105664"
"Struktur_ECM","ENSG00000145681"
"Struktur_ECM","ENSG00000038427"
"Struktur_ECM","ENSG00000011465"
"Struktur_ECM","ENSG00000143196"
"Struktur_ECM","ENSG00000152591"
"Struktur_ECM","ENSG00000143369"
"Struktur_ECM","ENSG00000049540"
"Struktur_ECM","ENSG00000077942"
"Struktur_ECM","ENSG00000163520"
"Struktur_ECM","ENSG00000166147"
"Struktur_ECM","ENSG00000138829"
"Struktur_ECM","ENSG00000115380"
"Struktur_ECM","ENSG00000171560"
"Struktur_ECM","ENSG00000171564"
"Struktur_ECM","ENSG00000171557"
"Struktur_ECM","ENSG00000122176"
"Struktur_ECM","ENSG00000115414"
"Struktur_ECM","ENSG00000142798"
"Struktur_ECM","ENSG00000041982"
"Struktur_ECM","ENSG00000163453"
"Struktur_ECM","ENSG00000142871"
"Struktur_ECM","ENSG00000112706"
"Struktur_ECM","ENSG00000011201"
