Programm: 147 Hintergrund: 11581

Tests gerechnet: 47  Bonferroni-Schwelle alpha = 0.00106
      panel         klasse  n_satz  n_panel  beobachtet  null_mittel         z        p   p_bonf  OR_gematcht  OR_mde80
       GWAS         CILIUM     147      267         0.0      4.43205 -2.151837 0.000100 0.004700          NaN  2.398225
      KLEIN        LYSOSOM     147       71         0.0      1.15590 -1.079078 0.000100 0.004700          NaN  3.670288
       NOSO VESIKEL_SEKRET     147       17         0.0      0.09280 -0.306298 0.000100 0.004700          NaN 10.200335
KLEIN_BREIT        LYSOSOM     147       71         0.0      1.15590 -1.079078 0.000100 0.004700          NaN  3.670288
       NOSO   ECM_STRUKTUR     147       15         0.0      0.34385 -0.590450 0.000100 0.004700          NaN  5.806706
       NOSO        LYSOSOM     147       13         0.0      0.17090 -0.412314 0.000100 0.004700          NaN  7.853011
 NOSO_BREIT VESIKEL_SEKRET     147       53         0.0      0.34305 -0.589033 0.000100 0.004700          NaN  5.818244
 NOSO_BREIT        LYSOSOM     147       41         0.0      0.54840 -0.738868 0.000100 0.004700          NaN  4.858524
      PA309        LYSOSOM     147       34         0.0      0.45800 -0.675461 0.000100 0.004700          NaN  5.212852
      PA309         CILIUM     147       56         0.0      1.42000 -1.200218 0.000100 0.004700          NaN  3.410518
      PA309 VESIKEL_SEKRET     147       35         0.0      0.10250 -0.324135 0.000100 0.004700          NaN  9.696811
      PA309  TF_DNABINDEND     147       30         0.0      0.25720 -0.506302 0.000100 0.004700          NaN  6.594213
       GWAS VESIKEL_SEKRET     147      595         1.0      8.17125 -2.600447 0.000600 0.028199     0.116369  2.059515
       GWAS  TF_DNABINDEND     147      472        15.0      7.81165  2.684963 0.020399 0.958752     2.024778  2.071184
 NOSO_BREIT   GLYKO_LINKER     147       17         2.0      0.23565  3.685898 0.042498 1.000000     8.590434  6.749276
      PA309   GLYKO_LINKER     147       15         2.0      0.23565  3.685898 0.042498 1.000000     8.590434  6.749276
      KLEIN   GLYKO_LINKER     147       18         2.0      0.31350  3.040674 0.075896 1.000000     6.453787  6.017493
KLEIN_BREIT   GLYKO_LINKER     147       18         2.0      0.31350  3.040674 0.075896 1.000000     6.453787  6.017493
       GWAS        LYSOSOM     147      256         2.0      4.39470 -1.162829 0.129994 1.000000     0.447578  2.409521
       GWAS   GLYKO_LINKER     147       30         2.0      0.54160  2.012600 0.203390 1.000000     3.729904  4.812943
 NOSO_BREIT         CILIUM     147      100         1.0      2.03980 -0.737759 0.253187 1.000000     0.486753  3.016791
KLEIN_BREIT         CILIUM     147       99         1.0      1.73825 -0.563875 0.347583 1.000000     0.572382  3.189442
      KLEIN         CILIUM     147       98         1.0      1.73120 -0.559616 0.349483 1.000000     0.574741  3.193712
      KLEIN        _GESAMT     147     1130        11.0     13.71195 -0.767639 0.359982 1.000000     0.786223  1.859408
      KLEIN VESIKEL_SEKRET     147      126         1.0      1.65755 -0.511691 0.377081 1.000000     0.600583  3.251252
