panel,klasse,n_panel_in_hg,n_klasse_genom,n_schnitt
PA309,Glykosylierung,355,342,38
PA309,Lysosom,355,934,34
PA309,Signal_FGF_WNT_BMP_IHH,355,845,78
PA309,Struktur_ECM,355,636,30
PA309,TF_DNAbindend,355,1568,30
PA309,Vesikel_Sekretion,355,1766,35
PA309,Ziliopathie,355,961,56
NOSO,Glykosylierung,154,342,15
NOSO,Lysosom,154,934,13
NOSO,Signal_FGF_WNT_BMP_IHH,154,845,26
NOSO,Struktur_ECM,154,636,14
NOSO,TF_DNAbindend,154,1568,4
NOSO,Vesikel_Sekretion,154,1766,17
NOSO,Ziliopathie,154,961,23
NOSO_BREIT,Glykosylierung,539,342,45
NOSO_BREIT,Lysosom,539,934,41
NOSO_BREIT,Signal_FGF_WNT_BMP_IHH,539,845,112
NOSO_BREIT,Struktur_ECM,539,636,44
NOSO_BREIT,TF_DNAbindend,539,1568,41
NOSO_BREIT,Vesikel_Sekretion,539,1766,53
NOSO_BREIT,Ziliopathie,539,961,100
KLEIN,Glykosylierung,1130,342,50
KLEIN,Lysosom,1130,934,71
KLEIN,Signal_FGF_WNT_BMP_IHH,1130,845,115
KLEIN,Struktur_ECM,1130,636,38
KLEIN,TF_DNAbindend,1130,1568,66
KLEIN,Vesikel_Sekretion,1130,1766,126
KLEIN,Ziliopathie,1130,961,98
KLEIN_BREIT,Glykosylierung,1144,342,50
KLEIN_BREIT,Lysosom,1144,934,71
KLEIN_BREIT,Signal_FGF_WNT_BMP_IHH,1144,845,116
KLEIN_BREIT,Struktur_ECM,1144,636,38
KLEIN_BREIT,TF_DNAbindend,1144,1568,70
KLEIN_BREIT,Vesikel_Sekretion,1144,1766,126
KLEIN_BREIT,Ziliopathie,1144,961,99
PA1471,Glykosylierung,62,342,0
PA1471,Lysosom,62,934,0
PA1471,Signal_FGF_WNT_BMP_IHH,62,845,4
PA1471,Struktur_ECM,62,636,0
PA1471,TF_DNAbindend,62,1568,2
PA1471,Vesikel_Sekretion,62,1766,9
PA1471,Ziliopathie,62,961,3
