"klasse","ensembl"
"ECM_STRUKTUR","ENSG00000106624"
"ECM_STRUKTUR","ENSG00000157766"
"ECM_STRUKTUR","ENSG00000178522"
"ECM_STRUKTUR","ENSG00000125363"
"ECM_STRUKTUR","ENSG00000099721"
"ECM_STRUKTUR","ENSG00000182492"
"ECM_STRUKTUR","ENSG00000010610"
"ECM_STRUKTUR","ENSG00000133048"
"ECM_STRUKTUR","ENSG00000108821"
"ECM_STRUKTUR","ENSG00000164692"
"ECM_STRUKTUR","ENSG00000139219"
"ECM_STRUKTUR","ENSG00000168542"
"ECM_STRUKTUR","ENSG00000291748"
"ECM_STRUKTUR","ENSG00000187498"
"ECM_STRUKTUR","ENSG00000134871"
"ECM_STRUKTUR","ENSG00000169031"
"ECM_STRUKTUR","ENSG00000081052"
"ECM_STRUKTUR","ENSG00000188153"
"ECM_STRUKTUR","ENSG00000197565"
"ECM_STRUKTUR","ENSG00000130635"
"ECM_STRUKTUR","ENSG00000204262"
"ECM_STRUKTUR","ENSG00000142156"
"ECM_STRUKTUR","ENSG00000142173"
"ECM_STRUKTUR","ENSG00000163359"
"ECM_STRUKTUR","ENSG00000114270"
"ECM_STRUKTUR","ENSG00000144810"
"ECM_STRUKTUR","ENSG00000171812"
"ECM_STRUKTUR","ENSG00000112280"
"ECM_STRUKTUR","ENSG00000049089"
"ECM_STRUKTUR","ENSG00000092758"
"ECM_STRUKTUR","ENSG00000123500"
"ECM_STRUKTUR","ENSG00000060718"
"ECM_STRUKTUR","ENSG00000204248"
"ECM_STRUKTUR","ENSG00000232541"
"ECM_STRUKTUR","ENSG00000223699"
"ECM_STRUKTUR","ENSG00000227801"
"ECM_STRUKTUR","ENSG00000206290"
"ECM_STRUKTUR","ENSG00000235708"
"ECM_STRUKTUR","ENSG00000230930"
"ECM_STRUKTUR","ENSG00000111799"
"ECM_STRUKTUR","ENSG00000197467"
"ECM_STRUKTUR","ENSG00000204291"
"ECM_STRUKTUR","ENSG00000084636"
"ECM_STRUKTUR","ENSG00000065618"
"ECM_STRUKTUR","ENSG00000082293"
"ECM_STRUKTUR","ENSG00000105664"
"ECM_STRUKTUR","ENSG00000145681"
"ECM_STRUKTUR","ENSG00000038427"
"ECM_STRUKTUR","ENSG00000011465"
"ECM_STRUKTUR","ENSG00000143196"
"ECM_STRUKTUR","ENSG00000152591"
"ECM_STRUKTUR","ENSG00000143369"
"ECM_STRUKTUR","ENSG00000049540"
"ECM_STRUKTUR","ENSG00000077942"
"ECM_STRUKTUR","ENSG00000163520"
"ECM_STRUKTUR","ENSG00000166147"
"ECM_STRUKTUR","ENSG00000138829"
"ECM_STRUKTUR","ENSG00000115380"
"ECM_STRUKTUR","ENSG00000171560"
"ECM_STRUKTUR","ENSG00000171564"
"ECM_STRUKTUR","ENSG00000171557"
"ECM_STRUKTUR","ENSG00000122176"
"ECM_STRUKTUR","ENSG00000115414"
"ECM_STRUKTUR","ENSG00000142798"
"ECM_STRUKTUR","ENSG00000041982"
"ECM_STRUKTUR","ENSG00000163453"
"ECM_STRUKTUR","ENSG00000142871"
"ECM_STRUKTUR","ENSG00000112706"
"ECM_STRUKTUR","ENSG00000011201"
"ECM_STRUKTUR","ENSG00000196569"
"ECM_STRUKTUR","ENSG00000053747"
"ECM_STRUKTUR","ENSG00000112769"
"ECM_STRUKTUR","ENSG00000130702"
"ECM_STRUKTUR","ENSG00000091136"
"ECM_STRUKTUR","ENSG00000172037"
"ECM_STRUKTUR","ENSG00000196878"
"ECM_STRUKTUR","ENSG00000135862"
"ECM_STRUKTUR","ENSG00000058085"
"ECM_STRUKTUR","ENSG00000049323"
"ECM_STRUKTUR","ENSG00000119681"
"ECM_STRUKTUR","ENSG00000139329"
"ECM_STRUKTUR","ENSG00000162510"
"ECM_STRUKTUR","ENSG00000132561"
