studie,zelle,spender,achse,e2,laesion,herkunft,bestanden,naiv_modulwert_z,naiv_modulwert_roh,dwt_modulwert,dwt_amplitude,n_modulgene,naiv_marker_eigen,naiv_marker_fremd,naiv_marker_achsendiff
GSE218101,GSE218101_Line1_chondr,GSE218101_Line1,chondrogen,True,"ARSB-Patientenmutation, isogen korrigiert",Punkt der achtzehn,False,-0.4338404428640413,3.4124345626315535,0.5755173601529583,1.264098149369943,169,0.5039815933322106,-0.27944460289494716,0.7834261962271578
GSE218101,GSE218101_Line2_chondr,GSE218101_Line2,chondrogen,True,"ARSB-Patientenmutation, isogen korrigiert",Punkt der achtzehn,False,-0.4617902816095663,3.3127140624898974,0.7677211876402819,1.5287085312463908,169,0.12167775226000209,0.45743507301172975,-0.33575732075172765
GSE218101,GSE218101_Line3_chondr,GSE218101_Line3,chondrogen,True,"ARSB-Patientenmutation, isogen korrigiert",Punkt der achtzehn,False,-0.719105096717111,2.873624390811607,0.8285164499093043,1.497367842067185,169,-0.5794368215597284,-0.725753168485785,0.14631634692605655
GSE218101,GSE218101_Line4_chondr,GSE218101_Line4,chondrogen,True,"ARSB-Patientenmutation, isogen korrigiert",Punkt der achtzehn,True,-0.6986603207185277,2.9740065563002367,1.0062579541208228,1.6743253578624389,169,-0.8689298803878128,-0.8326065873594337,-0.03632329302837911
GSE221128,GSE221128_FOP_chondr,GSE221128_FOP,chondrogen,True,"ACVR1 R206H, isogen korrigiert (resFOP)",Punkt der achtzehn,False,-0.3894781115736864,3.095939058134687,0.8621963096230243,1.008260056220114,169,-0.7177968195129618,-0.1458054248126896,-0.5719913947002722
GSE245585,GSE245585_WT1_osteog,GSE245585_WT1,osteogen,True,RB1 +/- (Retinoblastom-Patientenlinie),Punkt der achtzehn,False,-0.7546052305445089,4.1030617624673775,1.2078633897943087,1.367893211387837,166,0.04539440151455713,-0.15688883082954014,0.20228323234409726
GSE247491,SERPINA3_D1_chondr,SERPINA3_D1,chondrogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)","Abb. S3C, studienweise",True,-0.3354853086581859,2.929429958164669,0.476314481110952,1.23077593183082,173,-0.8427027416860592,-0.7080163175507486,-0.13468642413531062
GSE247491,SERPINA3_D2_chondr,SERPINA3_D2,chondrogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)","Abb. S3C, studienweise",True,-0.6582990578327801,2.813504664772562,0.8316271125164031,1.2813011951341218,173,-0.9419949002082055,-0.24531604557449618,-0.6966788546337094
GSE247491,SERPINA3_D3_chondr,SERPINA3_D3,chondrogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)","Abb. S3C, studienweise",True,-0.41647584751176225,2.9162552210975075,0.4989123425757373,1.2288448291557303,173,-0.6852042712876072,-0.3802768912032656,-0.3049273800843416
GSE247528,SERPINA3_D1_osteog,SERPINA3_D1,osteogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)","Abb. S3C, studienweise",True,-0.5736413616938804,2.9193857572473347,0.9452924694138869,1.4436332708364175,173,-0.10930954650224266,0.9610623999957079,-1.0703719464979504
GSE247528,SERPINA3_D2_osteog,SERPINA3_D2,osteogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)","Abb. S3C, studienweise",True,-0.46893968060999847,2.759132831860051,0.5954294711844909,1.0753930316809992,173,-0.37983686467835925,0.07575362143835185,-0.4555904861167111
GSE247528,SERPINA3_D3_osteog,SERPINA3_D3,osteogen,False,"SERPINA3-siRNA (Engineering, kein Patientendefekt)","Abb. S3C, studienweise",False,-0.2750204277535306,2.945057263653773,0.4199899839752783,1.3142878653400676,173,0.26179102598893306,0.21767348961765243,0.04411753637128063
LAMA5_USC,LAMA5_USC_chondr,LAMA5_USC,chondrogen,False,LAMA5-KO in gesunder Linie (Engineering),zwei Punkte der achtzehn,True,-0.8537566961887608,-0.43801854000206514,1.2519869955410166,1.3070129100756362,163,-1.0236944003246455,-0.38761450118335955,-0.6360798991412859
LAMA5_USC,LAMA5_USC_osteog,LAMA5_USC,osteogen,False,LAMA5-KO in gesunder Linie (Engineering),zwei Punkte der achtzehn,False,-0.8537566961887608,-0.43801854000206514,1.257553668740325,1.3101387448961048,163,-0.38761450118335955,-1.0236944003246455,0.6360798991412859
