n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe
129,44,0.0257456973195076,0.00027320286920294167,0.05100772115446553,0.49938507100066043,0.6491675416229189,0.1430948221017064,ok,MesCond,Pcw5.1_WholeLimb_LowerLimb
129,44,0.05136691778898239,0.0004388480342924595,0.052053170277567645,0.9783855523711958,0.2855857207139643,0.14618772481148185,ok,MesCond,Pcw6.1_Distal_UpperLimb
129,44,0.04460516571998596,0.00042932236390188334,0.051507473800271424,0.8576589006749403,0.3548822558872056,0.14465024900466186,ok,MesCond,Pcw6.1_Distal_LowerLimb
129,44,0.07853353023529053,0.0006109212722629309,0.05566963725120381,1.399732651596227,0.11799410029498525,0.15648590557563358,ok,MesCond,Pcw5.6_Distal_UpperLimb
129,44,0.10494543612003326,0.0006884393781423568,0.05714237317800761,1.824512895484997,0.03929803509824509,0.16068708427656367,ok,MesCond,Pcw5.6_Middle_UpperLimb
129,44,0.0644775852560997,0.0008244330731220544,0.05659458544310049,1.1247215910252362,0.22438878056097195,0.1592892723138034,ok,MesCond,Pcw5.6_Proximal_UpperLimb
129,44,0.07224273681640625,0.0006504315884783864,0.05604205755834142,1.2774746029515098,0.15739213039348032,0.15756819275183434,ok,MesCond,Pcw5.6_Distal_LowerLimb
129,44,0.06154689937829971,0.0008540470331907272,0.05857867206503286,1.0360912974901344,0.2704864756762162,0.16487432881528272,ok,MesCond,Pcw5.6_Middle_LowerLimb
129,44,0.062072671949863434,0.0007243465274572372,0.05696694125895026,1.0769109955112355,0.24688765561721915,0.16023178205251795,ok,MesCond,Pcw5.6_Proximal_LowerLimb
129,44,0.037831977009773254,0.0005778668040409684,0.05676820196871728,0.656249606536095,0.520273986300685,0.15952883231644932,ok,ChondroProg,Pcw5.1_WholeLimb_LowerLimb
129,44,0.001404494047164917,0.00023258019145578146,0.05725490775482486,0.020468356367413388,1.0,0.16054632190496537,ok,ChondroProg,Pcw7.2_s1_Thigh_LowerLimb
129,44,0.02317168563604355,0.0004418137168511748,0.05865569411736966,0.38751347607804365,0.7528623568821559,0.1646777572454862,ok,ChondroProg,Pcw7.2_s2_Thigh_LowerLimb
129,44,0.04686994105577469,0.0005659975805319846,0.05730175511576167,0.8080719932870982,0.4048797560121994,0.16101091190466466,ok,ChondroProg,Pcw6.5_Thigh_LowerLimb
129,44,0.014054059982299805,0.0005194609273225069,0.056429677529645506,0.23984895266975173,0.8841557922103895,0.1585225580103299,ok,ChondroProg,Pcw5.4_s1_Thigh_LowerLimb
129,44,0.009293884038925171,0.0005011222334578633,0.05620255056332675,0.15644773622079625,0.9527523623818809,0.15786826381077274,ok,ChondroProg,Pcw5.4_s2_Thigh_LowerLimb
129,44,0.04444066435098648,0.0005198721569031477,0.05869352537247287,0.7483072777680191,0.44967751612419377,0.16486174319982716,ok,ChondroProg,Pcw6.1_Proximal_UpperLimb
129,44,0.042985908687114716,0.00047123277671635153,0.059475389963572406,0.7148280311644502,0.4837758112094395,0.16700232467471907,ok,ChondroProg,Pcw6.1_s1_Middle_UpperLimb
129,44,0.05408746004104614,0.0005345214925706386,0.05667406463982583,0.9449284939912875,0.31628418579071044,0.15922190248408294,ok,ChondroProg,Pcw6.1_Distal_UpperLimb
129,44,0.038756176829338074,0.0006754085009917617,0.058807397871857355,0.6475506433956687,0.5326733663316834,0.16533612254219235,ok,ChondroProg,Pcw6.1_Proximal_LowerLimb
129,44,0.03917229175567627,0.00046464670691639183,0.05949755247884603,0.6505754175774228,0.5324733763311834,0.16705779364768528,ok,ChondroProg,Pcw6.1_s2_Middle_UpperLimb
129,44,0.053882770240306854,0.0005267231138423085,0.05585886325382969,0.9551939301737661,0.30998450077496126,0.15693154022456543,ok,ChondroProg,Pcw6.1_Distal_LowerLimb
129,44,0.09423840790987015,0.0006861283607780933,0.05766786474523954,1.6222601610512162,0.06929653517324134,0.1621561496474488,ok,ChondroProg,Pcw5.6_Distal_UpperLimb
129,44,0.07506290078163147,0.0006378748845309019,0.05896635963024923,1.2621607703745912,0.17169141542922853,0.16574368184922875,ok,ChondroProg,Pcw5.6_Middle_UpperLimb
129,44,0.09814222902059555,0.0007005591379478574,0.05920697081238076,1.6457803624412362,0.06769661516924154,0.16648007741261397,ok,ChondroProg,Pcw5.6_Proximal_UpperLimb
129,44,0.09566151350736618,0.0007528411861509085,0.058166207585364414,1.6316805970533288,0.06679666016699165,0.16361822242517127,ok,ChondroProg,Pcw5.6_Distal_LowerLimb
129,44,0.06919371336698532,0.0008303173707798124,0.05831366873114835,1.1723391356388642,0.20648967551622419,0.1641085898179952,ok,ChondroProg,Pcw5.6_Middle_LowerLimb
129,44,0.07330368459224701,0.000909545916505158,0.0592259911105877,1.2223373103299593,0.1863906804659767,0.1667423210261507,ok,ChondroProg,Pcw5.6_Proximal_LowerLimb
129,44,0.030892938375473022,0.00023493107240647078,0.05784462460523645,0.5300061589524293,0.6340682965851707,0.1621998799670685,ok,RestingChon,Pcw7.2_s1_Thigh_LowerLimb
129,44,0.029932081699371338,0.00021829773960635067,0.05764368685505248,0.5154733428915047,0.6442677866106694,0.1616206209337533,ok,RestingChon,Pcw7.2_s2_Thigh_LowerLimb
129,44,0.013451337814331055,0.00040236044814810157,0.05972764233946606,0.21847467696813172,0.895655217239138,0.16763975899865305,ok,RestingChon,Pcw6.5_Thigh_LowerLimb
129,44,0.04971732199192047,0.00041597525645047426,0.05576833689421975,0.8840383178179366,0.3501824908754562,0.15656731856026576,ok,RestingChon,Pcw9.3_s1_Thigh_LowerLimb
129,44,0.04884868860244751,0.0003784415424801409,0.055555507598729036,0.8724652002113331,0.3623818809059547,0.15593386281892144,ok,RestingChon,Pcw9.3_s2_Thigh_LowerLimb
129,44,0.08147919923067093,0.00037933319946751,0.06122668098710522,1.3245837390448068,0.13849307534623267,0.17181403996336211,ok,RestingChon,Pcw9.0_s1_Thigh_LowerLimb
129,44,0.0891580656170845,0.00035420371573418376,0.061119431592868985,1.452956278993134,0.09909504524773761,0.17148861217576733,ok,RestingChon,Pcw9.0_s2_Thigh_LowerLimb
129,44,0.04529320448637009,0.0004424804418347776,0.06056950773269324,0.7404835489578612,0.46117694115294233,0.17003710209337586,ok,RestingChon,Pcw6.1_Proximal_UpperLimb
129,44,0.06080087274312973,0.00034111053738743066,0.06225424552747154,0.9711749245930967,0.3049847507624619,0.17465299801430773,ok,RestingChon,Pcw6.1_s1_Middle_UpperLimb
129,44,0.07233371585607529,0.0005306598152965308,0.06337481562930224,1.1329903736647655,0.2279886005699715,0.1779801435773428,ok,RestingChon,Pcw6.1_Proximal_LowerLimb
129,44,0.06668451428413391,0.00037860764022916557,0.0619079272551001,1.0710406499426506,0.24948752562371881,0.17372080395450945,ok,RestingChon,Pcw6.1_s2_Middle_UpperLimb
129,44,0.0960068479180336,0.0008306688467040658,0.06619597084906242,1.437794141403964,0.12199390030498475,0.18617938722407884,ok,RestingChon,Pcw5.6_Proximal_UpperLimb
129,44,0.04271453619003296,0.0002469704633578658,0.05724181840807574,0.7418975655861366,0.45697715114244286,0.16052406200596991,ok,ProlifChon,Pcw7.2_s1_Thigh_LowerLimb
129,44,0.04170311987400055,0.0002513914301991463,0.05699422281564929,0.7272970205748595,0.4646767661616919,0.15983521531401715,ok,ProlifChon,Pcw7.2_s2_Thigh_LowerLimb
129,44,0.03930383920669556,0.0004443207275122404,0.05665610317929838,0.6858840671799367,0.49627518624068795,0.1590814096295477,ok,ProlifChon,Pcw6.5_Thigh_LowerLimb
129,44,0.0552002415060997,0.0006055940468795598,0.06202655619715166,0.8801818254376534,0.35988200589970504,0.1742799513989042,ok,ProlifChon,Pcw5.4_s1_Thigh_LowerLimb
129,44,0.060697294771671295,0.0003238074460066855,0.057476322040627345,1.050406240033755,0.25418729063546824,0.16125750915976325,ok,ProlifChon,Pcw9.3_s1_Thigh_LowerLimb
129,44,0.06137745827436447,0.0003236978841945529,0.05611645951493654,1.0879831143644978,0.22858857057147142,0.15744978452601685,ok,ProlifChon,Pcw9.3_s2_Thigh_LowerLimb
129,44,0.05582238361239433,0.00019148674039170147,0.05262253670488026,1.0571686649010095,0.23578821058947053,0.14753458951405643,ok,ProlifChon,Pcw9.0_s1_Thigh_LowerLimb
