symbol,ensembl,ri,delta_hyper_minus_mes,konkordant
SAA1,ENSG00000173432,1,0.0,
DIXDC1,ENSG00000150764,1,-0.06311162561178207,False
TSC22D3,ENSG00000157514,1,0.5937447547912598,True
IFNGR1,ENSG00000027697,1,0.014962002635002136,True
ZBTB16,ENSG00000109906,1,0.2200978547334671,True
NRCAM,ENSG00000091129,1,0.3079037666320801,True
CFH,ENSG00000000971,1,0.612030029296875,True
TNS3,ENSG00000136205,1,0.10404939949512482,True
FOXO3,ENSG00000118689,1,0.375400185585022,True
MID2,ENSG00000080561,1,-0.0010781607124954462,False
CALCOCO2,ENSG00000136436,1,-0.034486353397369385,False
MMP7,ENSG00000137673,1,-0.0006514039705507457,False
OMD,ENSG00000127083,1,-4.205612276564352e-05,False
DCN,ENSG00000011465,1,-0.08857467770576477,False
YPEL2,ENSG00000175155,1,-0.10661759972572327,False
TCEAL1,ENSG00000172465,1,-0.04061377793550491,False
RAB29,ENSG00000117280,1,0.10801413655281067,True
CCND3,ENSG00000112576,1,0.23081263899803162,True
FAIM,ENSG00000158234,1,-0.0005988925695419312,False
CYP7B1,ENSG00000172817,1,-0.05536666885018349,False
IRS2,ENSG00000185950,1,-0.07969893515110016,False
ACSL1,ENSG00000151726,1,-0.0495620034635067,False
GADD45B,ENSG00000099860,1,1.348456859588623,True
APOD,ENSG00000189058,1,0.0,
KIF13B,ENSG00000197892,1,-0.02478531002998352,False
FOXO1,ENSG00000150907,1,0.021161004900932312,True
MTERF2,ENSG00000120832,1,-0.1281840205192566,False
STAT5A,ENSG00000126561,1,-0.0017689797095954418,False
OLAH,ENSG00000152463,1,0.0,
NAV2,ENSG00000166833,1,-0.0022911429405212402,False
PALLD,ENSG00000129116,1,-0.40316516160964966,False
KCNIP3,ENSG00000115041,1,-0.0035966122522950172,False
PIK3R1,ENSG00000145675,1,0.9322898387908936,True
ADPRHL1,ENSG00000153531,1,-0.004002325236797333,False
NFKBIA,ENSG00000100906,1,0.3827528953552246,True
DPT,ENSG00000143196,1,-0.0030009187757968903,False
GGT5,ENSG00000099998,1,-0.004525695461779833,False
NPAS2,ENSG00000170485,1,-0.0037704196292907,False
IMPG2,ENSG00000081148,1,-0.00028639574884437025,False
KLF5,ENSG00000102554,1,0.9553583860397339,True
HIF3A,ENSG00000124440,1,-0.21806880831718445,False
FBLN5,ENSG00000140092,1,0.002802535891532898,True
CERS6,ENSG00000172292,1,-0.14212602376937866,False
KLF9,ENSG00000119138,1,-0.008942542597651482,False
DCUN1D3,ENSG00000188215,1,-0.0335187129676342,False
ABLIM2,ENSG00000163995,1,-0.014911036007106304,False
SLC38A4,ENSG00000139209,1,0.40067678689956665,True
THRB,ENSG00000151090,1,-0.003930438309907913,False
AKAP13,ENSG00000170776,1,-0.03342399001121521,False
C1QTNF1,ENSG00000173918,1,0.21920260787010193,True
NFIA,ENSG00000162599,1,-0.8452555537223816,False
TACC1,ENSG00000147526,1,-0.004159770905971527,False
NEBL,ENSG00000078114,1,0.23423752188682556,True
IL1R1,ENSG00000115594,1,0.353220671415329,True
ZNF438,ENSG00000183621,1,0.025839775800704956,True
ANGPTL1,ENSG00000116194,1,0.03634389489889145,True
CST3,ENSG00000101439,1,0.18209415674209595,True
GAS1,ENSG00000180447,1,-0.4918201267719269,False
ITPKC,ENSG00000086544,1,0.004600010812282562,True
MYL3,ENSG00000160808,1,-0.027481909841299057,False
GALNT15,ENSG00000131386,1,-0.0037624959368258715,False
TACSTD2,ENSG00000184292,1,-0.0007822674815542996,False
SYT8,ENSG00000149043,1,-0.0073668998666107655,False
PDE4DIP,ENSG00000178104,1,0.43930530548095703,True
CORIN,ENSG00000145244,1,-0.003991708159446716,False
SCNN1A,ENSG00000111319,1,0.03486373648047447,True
IL18R1,ENSG00000115604,1,-0.00020579065312631428,False
RASSF4,ENSG00000107551,1,-0.06997878104448318,False
PLEKHA1,ENSG00000107679,1,-0.18732033669948578,False
CXCL13,ENSG00000156234,1,-7.11399843567051e-05,False
TCEAL4,ENSG00000133142,1,0.24070286750793457,True
MMP19,ENSG00000123342,1,-0.0029436524491757154,False
RNF144A,ENSG00000151692,1,0.09493471682071686,True
RERG,ENSG00000134533,1,0.34939804673194885,True
RBMS1,ENSG00000153250,1,0.1817859411239624,True
SLC4A11,ENSG00000088836,1,-0.00019556160259526223,False
BCL6,ENSG00000113916,1,0.1981225609779358,True
REEP3,ENSG00000165476,1,0.025415122509002686,True
CXCL5,ENSG00000163735,1,0.0,
NCOA3,ENSG00000124151,1,-0.039613157510757446,False
ADAMTS10,ENSG00000142303,1,0.004538372159004211,True
LNX1,ENSG00000072201,1,-0.002368745394051075,False
BBX,ENSG00000114439,1,0.09691423177719116,True
AIFM2,ENSG00000042286,1,0.031064022332429886,True
KDM7A,ENSG00000006459,1,-0.03312981501221657,False
IKZF2,ENSG00000030419,1,0.07616424560546875,True
PPARGC1A,ENSG00000109819,1,-0.01967890001833439,False
VMO1,ENSG00000182853,1,-0.00024595088325440884,False
DUSP22,ENSG00000112679,1,-0.0052659474313259125,False
AGTR1,ENSG00000144891,1,-0.0003274773480370641,False
ARHGAP24,ENSG00000138639,1,-0.13947460055351257,False
RGCC,ENSG00000102760,1,0.3545217216014862,True
MYO15B,ENSG00000266714,1,-0.03648691624403,False
TMEM253,ENSG00000232070,1,-0.000624476931989193,False
IP6K3,ENSG00000161896,1,-0.0001262628211406991,False
NBPF20,ENSG00000162825,1,-0.016324646770954132,False
ABCA6,ENSG00000154262,1,0.0,
H6PD,ENSG00000049239,1,0.07072728872299194,True
REV3L,ENSG00000009413,1,-0.11574333906173706,False
ITGA9,ENSG00000144668,1,-0.006667807698249817,False
RMND5A,ENSG00000153561,1,0.009813658893108368,True
HDAC6,ENSG00000094631,1,-0.06129103899002075,False
CTHRC1,ENSG00000164932,1,1.871456503868103,True
ABCA8,ENSG00000141338,1,-0.01769024133682251,False
GPR108,ENSG00000125734,1,0.02163827419281006,True
WWC3,ENSG00000047644,1,-0.0896199643611908,False
NPL,ENSG00000135838,1,-0.004924023523926735,False
DGCR6,ENSG00000183628,1,-0.007830685004591942,False
TMEM204,ENSG00000131634,1,0.2688402533531189,True
TBRG1,ENSG00000154144,1,-0.016941145062446594,False
MXI1,ENSG00000119950,1,0.22760184109210968,True
SOX5,ENSG00000134532,1,-0.5249586701393127,False
TCEAL3,ENSG00000196507,1,0.07137042284011841,True
KLRD1,ENSG00000134539,1,-0.00016690224583726376,False
PTS,ENSG00000150787,1,0.004619240760803223,True
SDCBP2,ENSG00000125775,1,-0.013109243474900723,False
NBPF9,ENSG00000269713,1,-0.09799506515264511,False
TEX264,ENSG00000164081,1,0.26039600372314453,True
ZFHX4,ENSG00000091656,1,0.0998716950416565,True
LTBR,ENSG00000111321,1,0.3487634062767029,True
TRIM4,ENSG00000146833,1,0.10770100355148315,True
GPAM,ENSG00000119927,1,-0.06195253133773804,False
XPC,ENSG00000154767,1,-0.023536711931228638,False
GLCCI1,ENSG00000106415,1,-0.13646863400936127,False
BMPR1B,ENSG00000138696,1,-0.012345224618911743,False
C1orf50,ENSG00000164008,1,0.046001188457012177,True
SMARCA2,ENSG00000080503,1,-0.20674055814743042,False
RFK,ENSG00000135002,1,-0.11365744471549988,False
ROR2,ENSG00000169071,1,-0.14949938654899597,False
C16orf74,ENSG00000154102,-1,0.03474513068795204,False
TMSB15A,ENSG00000158164,-1,-0.7393658757209778,True
ZMYND10,ENSG00000004838,-1,-0.0020043328404426575,True
GLYATL1,ENSG00000166840,-1,-0.0011637802235782146,True
NRXN2,ENSG00000110076,-1,-0.08758600801229477,True
