n_a,n_b,kontrast,null_mittel,null_sd,z,p,mde80,status,zone,probe,vergleich
12,10,0.6853723526000977,0.00022944753228221088,0.12737569694508422,5.378913886243172,0.0002999850007499625,0.356881398978518,ok,MesCond,Pcw5.1_WholeLimb_LowerLimb,chondrogen_vs_naiv
17,17,0.11528150737285614,3.5978396027348935e-05,0.10066918443718953,1.1447945031156368,0.18609069546522675,0.28190969482015804,ok,MesCond,Pcw5.1_WholeLimb_LowerLimb,osteogen_vs_adipogen
12,10,0.3750053644180298,5.547896912321449e-06,0.13052636803268952,2.872981315370708,0.020198990050497474,0.36547937838844297,ok,MesCond,Pcw6.1_Distal_UpperLimb,chondrogen_vs_naiv
17,17,0.1186271458864212,3.867105673998594e-05,0.10267531933063637,1.154985205819532,0.1864906754662267,0.2875295651825218,ok,MesCond,Pcw6.1_Distal_UpperLimb,osteogen_vs_adipogen
12,10,0.2577682137489319,5.664864764548838e-06,0.12923986968497264,1.9944507024997307,0.0671966401679916,0.3618772999826879,ok,MesCond,Pcw6.1_Distal_LowerLimb,chondrogen_vs_naiv
17,17,0.10042513906955719,6.456490135751665e-05,0.101793450962095,0.9859236838877887,0.22648867556622168,0.2850862275952235,ok,MesCond,Pcw6.1_Distal_LowerLimb,osteogen_vs_adipogen
12,10,0.5420877933502197,-3.428988754749298e-05,0.13916207470561576,3.895616563525482,0.0024998750062496873,0.3896195192881766,ok,MesCond,Pcw5.6_Distal_UpperLimb,chondrogen_vs_naiv
17,17,0.10275499522686005,0.0002695550349075347,0.10982296650366799,0.933187687918898,0.2711864406779661,0.3077738612451779,ok,MesCond,Pcw5.6_Distal_UpperLimb,osteogen_vs_adipogen
12,10,0.4894295036792755,7.561830058693886e-05,0.14293333585750567,3.423651189856364,0.005699715014249288,0.4002889587016028,ok,MesCond,Pcw5.6_Middle_UpperLimb,chondrogen_vs_naiv
17,17,0.19216030836105347,3.5617522848770025e-05,0.11309304697081182,1.6988196532346513,0.09129543522823859,0.3166961490411218,ok,MesCond,Pcw5.6_Middle_UpperLimb,osteogen_vs_adipogen
12,10,0.6028859615325928,1.314375288784504e-05,0.14174802057326727,4.253130416506167,0.0015999200039998,0.3969076013580362,ok,MesCond,Pcw5.6_Proximal_UpperLimb,chondrogen_vs_naiv
