zone,probe,n_zellen
MesCond,Pcw5.1_WholeLimb_LowerLimb,22
MesCond,Pcw6.1_Distal_UpperLimb,175
MesCond,Pcw6.1_Distal_LowerLimb,494
MesCond,Pcw5.6_Distal_UpperLimb,283
MesCond,Pcw5.6_Middle_UpperLimb,10
MesCond,Pcw5.6_Proximal_UpperLimb,6
MesCond,Pcw5.6_Distal_LowerLimb,838
MesCond,Pcw5.6_Middle_LowerLimb,8
MesCond,Pcw5.6_Proximal_LowerLimb,7
ChondroProg,Pcw5.1_WholeLimb_LowerLimb,5
ChondroProg,Pcw7.2_s1_Thigh_LowerLimb,9
ChondroProg,Pcw7.2_s2_Thigh_LowerLimb,6
ChondroProg,Pcw6.5_Thigh_LowerLimb,38
ChondroProg,Pcw5.4_s1_Thigh_LowerLimb,79
ChondroProg,Pcw5.4_s2_Thigh_LowerLimb,81
ChondroProg,Pcw6.1_Proximal_UpperLimb,684
ChondroProg,Pcw6.1_s1_Middle_UpperLimb,371
ChondroProg,Pcw6.1_Distal_UpperLimb,542
ChondroProg,Pcw6.1_Proximal_LowerLimb,168
ChondroProg,Pcw6.1_s2_Middle_UpperLimb,331
ChondroProg,Pcw6.1_Distal_LowerLimb,559
ChondroProg,Pcw5.6_Distal_UpperLimb,359
ChondroProg,Pcw5.6_Middle_UpperLimb,263
ChondroProg,Pcw5.6_Proximal_UpperLimb,355
ChondroProg,Pcw5.6_Distal_LowerLimb,193
ChondroProg,Pcw5.6_Middle_LowerLimb,108
ChondroProg,Pcw5.6_Proximal_LowerLimb,142
RestingChon,Pcw7.2_s1_Thigh_LowerLimb,549
RestingChon,Pcw7.2_s2_Thigh_LowerLimb,533
RestingChon,Pcw6.5_Thigh_LowerLimb,14
RestingChon,Pcw9.3_s1_Thigh_LowerLimb,63
RestingChon,Pcw9.3_s2_Thigh_LowerLimb,134
RestingChon,Pcw9.0_s1_Thigh_LowerLimb,1031
RestingChon,Pcw9.0_s2_Thigh_LowerLimb,1193
RestingChon,Pcw6.1_Proximal_UpperLimb,236
RestingChon,Pcw6.1_s1_Middle_UpperLimb,50
RestingChon,Pcw6.1_Proximal_LowerLimb,11
RestingChon,Pcw6.1_s2_Middle_UpperLimb,54
RestingChon,Pcw5.6_Proximal_UpperLimb,6
ProlifChon,Pcw7.2_s1_Thigh_LowerLimb,522
ProlifChon,Pcw7.2_s2_Thigh_LowerLimb,535
ProlifChon,Pcw6.5_Thigh_LowerLimb,52
ProlifChon,Pcw5.4_s1_Thigh_LowerLimb,5
ProlifChon,Pcw9.3_s1_Thigh_LowerLimb,6
ProlifChon,Pcw9.3_s2_Thigh_LowerLimb,9
ProlifChon,Pcw9.0_s1_Thigh_LowerLimb,151
ProlifChon,Pcw9.0_s2_Thigh_LowerLimb,170
ProlifChon,Pcw6.1_Proximal_UpperLimb,468
ProlifChon,Pcw6.1_s1_Middle_UpperLimb,122
ProlifChon,Pcw6.1_Distal_UpperLimb,75
ProlifChon,Pcw6.1_Proximal_LowerLimb,26
ProlifChon,Pcw6.1_s2_Middle_UpperLimb,105
ProlifChon,Pcw6.1_Distal_LowerLimb,7
ProlifChon,Pcw5.6_Middle_UpperLimb,5
ProlifChon,Pcw5.6_Proximal_UpperLimb,25
ProlifChon,Pcw5.6_Distal_LowerLimb,13
ProlifChon,Pcw5.6_Middle_LowerLimb,14
PrehyperChon,Pcw8.4_s1_Thigh_LowerLimb,39
PrehyperChon,Pcw8.4_s2_Thigh_LowerLimb,51
PrehyperChon,Pcw7.2_s1_Thigh_LowerLimb,48
PrehyperChon,Pcw7.2_s2_Thigh_LowerLimb,40
PrehyperChon,Pcw9.0_s1_Thigh_LowerLimb,13
PrehyperChon,Pcw9.0_s2_Thigh_LowerLimb,16
PrehyperChon,Pcw6.1_s1_Middle_UpperLimb,19
PrehyperChon,Pcw6.1_s2_Middle_UpperLimb,9
HyperChon,Pcw9.0_s2_Thigh_LowerLimb,8
