fenster,achse,konkordanz,konkordanz_mde80,konkordanz_z,konkordanz_p,eichung_z,eichung_bestanden
P,osteogen,0.686046511627907,0.6433542364939263,3.936369858117827,9.99950002499875e-05,-0.5447090819634887,False
P,adipogen,0.6802325581395349,0.6920942772366332,2.4616490740906447,0.0177991100444977,4.762837649306647,True
P,differenz,0.436046511627907,0.5049091469886001,0.8452437136257263,0.4427778611069446,,
T10,osteogen,0.653179190751445,0.6269304845597887,3.497686970372784,0.0008999550022498,1.224642165374375,False
T10,adipogen,0.6416184971098265,0.6673706521293203,2.0945382274026105,0.0410979451027448,5.010963905915043,True
T10,differenz,0.5086705202312138,0.5582068212787274,1.4748394662449122,0.1633918304084795,,
T50,osteogen,0.6705202312138728,0.6331514105449048,3.7871793020588154,0.0003999800009999,1.655925842083083,False
T50,adipogen,0.6994219653179191,0.6451436728314631,4.253940018933853,9.99950002499875e-05,4.133876459378316,True
T50,differenz,0.5549132947976878,0.5985983607951741,1.6517009511585286,0.1152942352882355,,
GB,osteogen,0.6820809248554913,0.6251847932700958,4.312270923031606,9.99950002499875e-05,1.199571756882532,False
GB,adipogen,0.6936416184971098,0.6396975775052964,4.232885004769521,9.99950002499875e-05,3.729328628460359,True
GB,differenz,0.5491329479768786,0.592961295775259,1.6402465400205222,0.1155942202889855,,
