punkt,datensatz,gen,gse,arm,klasse,null_intakt,pool
1,LAMA5-KO (chondr),LAMA5,GSE_LAMA5,chondrogen,M,True,9861
2,LAMA5-KO (osteo),LAMA5,GSE_LAMA5,osteogen,M,True,9063
3,FN1 FNC123R,FN1,GSE251698,chondrogen,M,False,11461
4,FN1 FNC231W,FN1,GSE251698,chondrogen,M,False,11815
5,SERPINA3-KD,SERPINA3,GSE_SERPINA3ch,chondrogen,N,True,1347
6,MIR181A1HG-KD,MIR181A1HG,GSE_MIR181,osteogen,N,True,12039
7,LINC01638-KD (GSE227512),LINC01638,GSE227512,osteogen,N,True,3941
8,ARSB / MPS VI (GSE218101),ARSB,GSE218101,chondrogen,M,True,7505
9,ACVR1 / FOP (GSE221128),ACVR1,GSE221128,chondrogen,M,True,9132
10,RNF4-KD (GSE205432),RNF4,GSE205432,osteogen,N,False,8306
11,RB1 +/- (GSE245585),RB1,GSE245585,osteogen,N,False,8369
12,Nonunion (GSE226565),NONUNION,GSE226565,osteogen,N,False,2251
13,SERPINA3-KD osteo (GSE247528),SERPINA3,GSE247528,osteogen,N,True,1033
14,ERCC6L2-KD (GSE190542),ERCC6L2,GSE190542,osteogen,N,True,6502
15,TP53 LFS (GSE102732),TP53,GSE102732,osteogen,M,True,6219
16,YAP/TAZ-KD (GSE137035),YAPTAZ,GSE137035,osteogen,N,False,2712
17,RB1-mut isogen (GSE145235),RB1,GSE145235,osteogen,N,False,5720
18,RB1-del isogen (GSE145235),RB1,GSE145235,osteogen,N,False,5974
