datensatz,klasse,cor_basis_dWT,cor_niveau_dWT,cor_basis_niveau,smd_maschine,smd_fracht,smd_neutral
ACVR1 / FOP (GSE221128),M,-0.537590305788699,-0.0378100187199975,0.0037561754185233,0.872199179256843,0.371705312158956,-0.174813669087946
ARSB / MPS VI (GSE218101),M,-0.916538421573563,0.485759730866092,-0.428983396732664,0.526955045025185,0.376967514897471,-0.0003134233282692
FN1 FNC123R,M,-0.436797501432327,0.0291380991109083,-0.0602286549690567,0.778235917068712,0.53872959255749,0.236138436382665
FN1 FNC231W,M,-0.474215128207269,0.101019133285838,-0.121981580606396,0.774583706664233,0.524130127077651,0.202380984558278
LAMA5-KO (chondr),M,-0.565702336070026,-0.0060306664680851,-0.0254215346586238,0.0251806994829711,0.348300770841482,-0.0397985813085354
LAMA5-KO (osteo),M,-0.413394659757587,0.0274668810073947,-0.024486698150032,0.0269548853923441,0.27950662049237,-0.0395150581599422
LINC01638-KD (GSE227512),N,-0.667944154498395,0.0904315755210875,-0.167679172959826,0.266518506649122,0.272809630177322,-0.006625676349828
MIR181A1HG-KD,N,-0.646712893152878,-0.0009516853281831,0.0101084078864391,0.0054945864181781,0.0184053258204081,-0.0043273796851148
RB1 +/- (GSE245585),N,-0.761477555032391,0.2338961419498,-0.234931993878671,0.39202429031365,-0.0340770930487343,-0.565465224048431
RNF4-KD (GSE205432),N,-0.371043266999669,-0.109841029788532,0.155226575039577,0.92531053680072,0.536361197187425,0.100693984983859
SERPINA3-KD,N,-0.708272175443868,0.0967072122595457,-0.121809020713608,0.690029460470418,0.0197393979385487,-0.559525095183474
