null,kontrast,set,n,anstieg,z_roh,faktor,z_korr,p_korr,mde80
Ausgangsexpression_10 (S2 original),Tag0 -> Tag6 (Primaer),Maschine,2393,0.109817721213193,13.5595958692883,1.48945184380361,9.1037490911161,8.72662351497169e-20,-0.0941663130781111
Ausgangsexpression_10 (S2 original),Tag0 -> Tag6 (Primaer),biosynth,1968,0.0591715908189321,10.3771382341182,1.51117642439007,6.86692702892481,6.5599602935104095e-12,-0.0888661986738615
Ausgangsexpression_10 (S2 original),Tag0 -> Tag6 (Primaer),distal,472,0.351869991183019,9.68763597701003,1.63894299093412,5.91090479083019,3.4023365593287202e-09,0.0772703130120359
Ausgangsexpression_10 (S2 original),Tag0 -> Tag6 (Primaer),Fracht,2310,0.129088866312925,13.5871625042619,1.47928925175443,9.18492613134826,4.11809861093891e-20,-0.0672008035680632
Ausgangsexpression_10 (S2 original),Tag0 -> Tag6 (Primaer),Neutral,436,0.0048598174571641,1.12057869275402,1.23963375127033,0.903959489329568,0.366016882723123,0.118063708028015
Ausgangsexpression_10 (S2 original),Tag0 -> Tag13 (Bestaetigung),Maschine,2393,-0.0226520724344704,9.83267606071313,1.50207270095836,6.54607200732671,5.90701073542697e-11,-0.160977225056666
Ausgangsexpression_10 (S2 original),Tag0 -> Tag13 (Bestaetigung),biosynth,1968,-0.128490887029787,5.12219752695767,1.48951986568182,3.43882458030395,0.0005842456849574,-0.154737455887262
Ausgangsexpression_10 (S2 original),Tag0 -> Tag13 (Bestaetigung),distal,472,0.482744661993499,12.1497581558554,1.62594051853418,7.47244934077212,7.8715677221133e-14,0.0242325781747256
Ausgangsexpression_10 (S2 original),Tag0 -> Tag13 (Bestaetigung),Fracht,2310,0.109617046587312,14.9789254573806,1.49395603570762,10.0263495707795,1.16753521178062e-23,-0.148731676064571
Ausgangsexpression_10 (S2 original),Tag0 -> Tag13 (Bestaetigung),Neutral,436,-0.13775285775012,0.122771648635726,1.26376850764707,0.0971472606674676,0.922609449739621,0.0603529541411847
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag6 (Primaer),Maschine,2393,0.109817721213193,-2.75149717455585,1.13312396837874,-2.4282402026079,0.0151722909114095,0.185693557925181
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag6 (Primaer),biosynth,1968,0.0591715908189321,-5.27576087967381,1.1534926192229,-4.57372747059974,4.79122973653808e-06,0.177001021487816
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag6 (Primaer),distal,472,0.351869991183019,4.76316280477647,1.21235598653392,3.92884833966481,8.53536455361446e-05,0.309120869189973
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag6 (Primaer),Fracht,2310,0.129088866312925,3.15736355452383,1.19888556462167,2.63358209298331,0.008448940832447,0.131878672155228
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag6 (Primaer),Neutral,436,0.0048598174571641,-0.423219716882617,1.14225969252103,-0.370510943924273,0.711001823798434,0.121230183632982
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag13 (Bestaetigung),Maschine,2393,-0.0226520724344704,-4.02230310252716,1.13221912012211,-3.55258362188175,0.0003814677518992,0.108440115658625
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag13 (Bestaetigung),biosynth,1968,-0.128490887029787,-8.04798759921454,1.14873916537042,-7.00593123471976,2.45348403773266e-12,0.103247081688289
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag13 (Bestaetigung),distal,472,0.482744661993499,8.29036264911916,1.22043661679447,6.79294814252143,1.0986488065116399e-11,0.267022802553737
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag13 (Bestaetigung),Fracht,2310,0.109617046587312,6.69934673354392,1.19683691645648,5.59754352612963,2.1741027958709e-08,0.0496319181210017
A3_korrigiert (Niveau_10 x Basis_4),Tag0 -> Tag13 (Bestaetigung),Neutral,436,-0.13775285775012,-1.52451351584065,1.1178263958147,-1.363819571222,0.172624359052163,0.0633937641905777
