punkt,datensatz,arm,groesse_seite,delta,runde,z_korr
3,FN1 FNC123R,chondrogen,15,0.0,1,0.107951447699152
3,FN1 FNC123R,chondrogen,15,0.0,2,0.50304561035989
3,FN1 FNC123R,chondrogen,15,0.0,3,-1.79497479904757
3,FN1 FNC123R,chondrogen,15,0.0,4,-0.758189204679738
3,FN1 FNC123R,chondrogen,15,0.0,5,1.3574855815953
3,FN1 FNC123R,chondrogen,15,0.05,1,-0.595720217776905
3,FN1 FNC123R,chondrogen,15,0.05,2,-0.897748614140191
3,FN1 FNC123R,chondrogen,15,0.05,3,1.36501048061337
3,FN1 FNC123R,chondrogen,15,0.05,4,1.27369094160308
3,FN1 FNC123R,chondrogen,15,0.05,5,0.23995945904251
3,FN1 FNC123R,chondrogen,15,0.1,1,-0.476645959928611
3,FN1 FNC123R,chondrogen,15,0.1,2,-0.529580898978898
3,FN1 FNC123R,chondrogen,15,0.1,3,-0.962947838823591
3,FN1 FNC123R,chondrogen,15,0.1,4,2.00021278389277
3,FN1 FNC123R,chondrogen,15,0.1,5,0.005039221544539
3,FN1 FNC123R,chondrogen,15,0.2,1,0.484437022205444
3,FN1 FNC123R,chondrogen,15,0.2,2,-0.388308049515401
3,FN1 FNC123R,chondrogen,15,0.2,3,0.927242823664546
3,FN1 FNC123R,chondrogen,15,0.2,4,0.199655583080515
3,FN1 FNC123R,chondrogen,15,0.2,5,-0.946622264176796
3,FN1 FNC123R,chondrogen,15,0.35,1,1.36404809844168
3,FN1 FNC123R,chondrogen,15,0.35,2,-0.469770533679501
3,FN1 FNC123R,chondrogen,15,0.35,3,1.66669296644992
3,FN1 FNC123R,chondrogen,15,0.35,4,1.8188975363502
3,FN1 FNC123R,chondrogen,15,0.35,5,1.08830774595984
3,FN1 FNC123R,chondrogen,15,0.5,1,-0.630065324097587
3,FN1 FNC123R,chondrogen,15,0.5,2,0.781447045795862
3,FN1 FNC123R,chondrogen,15,0.5,3,0.162662807626194
3,FN1 FNC123R,chondrogen,15,0.5,4,1.92322899000399
3,FN1 FNC123R,chondrogen,15,0.5,5,1.5027282115263
3,FN1 FNC123R,chondrogen,15,0.75,1,2.72818530078236
3,FN1 FNC123R,chondrogen,15,0.75,2,2.0844708157561
3,FN1 FNC123R,chondrogen,15,0.75,3,4.6931949374551
3,FN1 FNC123R,chondrogen,15,0.75,4,0.827532918341316
3,FN1 FNC123R,chondrogen,15,0.75,5,1.47920911562305
3,FN1 FNC123R,chondrogen,15,1.0,1,3.05081920627007
3,FN1 FNC123R,chondrogen,15,1.0,2,1.15459364105615
3,FN1 FNC123R,chondrogen,15,1.0,3,4.0746671239165
3,FN1 FNC123R,chondrogen,15,1.0,4,2.54881321500022
3,FN1 FNC123R,chondrogen,15,1.0,5,3.30954146408411
3,FN1 FNC123R,chondrogen,30,0.0,1,0.945820558116934
3,FN1 FNC123R,chondrogen,30,0.0,2,1.02986048620807
3,FN1 FNC123R,chondrogen,30,0.0,3,-2.02428422437589
3,FN1 FNC123R,chondrogen,30,0.0,4,1.01648053058018
3,FN1 FNC123R,chondrogen,30,0.0,5,-0.947148351125284
3,FN1 FNC123R,chondrogen,30,0.05,1,0.30095474682612
3,FN1 FNC123R,chondrogen,30,0.05,2,-1.85498695159195
3,FN1 FNC123R,chondrogen,30,0.05,3,-0.649421390158947
3,FN1 FNC123R,chondrogen,30,0.05,4,0.477155962662044
3,FN1 FNC123R,chondrogen,30,0.05,5,-0.345930425150851
3,FN1 FNC123R,chondrogen,30,0.1,1,0.438846061977382
3,FN1 FNC123R,chondrogen,30,0.1,2,1.34260877026634
3,FN1 FNC123R,chondrogen,30,0.1,3,1.88210796613553
3,FN1 FNC123R,chondrogen,30,0.1,4,-2.52826868443394
3,FN1 FNC123R,chondrogen,30,0.1,5,0.4648394211957
3,FN1 FNC123R,chondrogen,30,0.2,1,1.63828669558043
3,FN1 FNC123R,chondrogen,30,0.2,2,-0.592945993944341
3,FN1 FNC123R,chondrogen,30,0.2,3,0.307972448633724
3,FN1 FNC123R,chondrogen,30,0.2,4,1.43204269060759
3,FN1 FNC123R,chondrogen,30,0.2,5,1.12442284091518
3,FN1 FNC123R,chondrogen,30,0.35,1,2.9432080400941
3,FN1 FNC123R,chondrogen,30,0.35,2,2.96462289926061
3,FN1 FNC123R,chondrogen,30,0.35,3,1.14386823928988
3,FN1 FNC123R,chondrogen,30,0.35,4,1.28665398744468
3,FN1 FNC123R,chondrogen,30,0.35,5,0.53296592080172
3,FN1 FNC123R,chondrogen,30,0.5,1,0.297395174050471
3,FN1 FNC123R,chondrogen,30,0.5,2,4.21299790376418
3,FN1 FNC123R,chondrogen,30,0.5,3,2.18651266274756
3,FN1 FNC123R,chondrogen,30,0.5,4,2.07145477404149
3,FN1 FNC123R,chondrogen,30,0.5,5,6.79814099904258
3,FN1 FNC123R,chondrogen,30,0.75,1,1.51883115969694
3,FN1 FNC123R,chondrogen,30,0.75,2,4.54277718206818
3,FN1 FNC123R,chondrogen,30,0.75,3,3.72037436382108
3,FN1 FNC123R,chondrogen,30,0.75,4,3.17704621972414
3,FN1 FNC123R,chondrogen,30,0.75,5,4.10723849051931
3,FN1 FNC123R,chondrogen,30,1.0,1,4.55911343369521
3,FN1 FNC123R,chondrogen,30,1.0,2,4.27423206752179
3,FN1 FNC123R,chondrogen,30,1.0,3,3.86275922889307
3,FN1 FNC123R,chondrogen,30,1.0,4,5.70267428039785
3,FN1 FNC123R,chondrogen,30,1.0,5,4.34251363719105
3,FN1 FNC123R,chondrogen,60,0.0,1,-0.330109037605252
3,FN1 FNC123R,chondrogen,60,0.0,2,-2.72183633420263
3,FN1 FNC123R,chondrogen,60,0.0,3,-0.0791764423920657
3,FN1 FNC123R,chondrogen,60,0.0,4,0.314427879715412
3,FN1 FNC123R,chondrogen,60,0.0,5,0.0056657077980066
3,FN1 FNC123R,chondrogen,60,0.05,1,0.249964511677645
3,FN1 FNC123R,chondrogen,60,0.05,2,0.638715382476516
3,FN1 FNC123R,chondrogen,60,0.05,3,0.684857414315063
3,FN1 FNC123R,chondrogen,60,0.05,4,1.14535537342052
3,FN1 FNC123R,chondrogen,60,0.05,5,-0.361922461919233
3,FN1 FNC123R,chondrogen,60,0.1,1,0.157146732750883
3,FN1 FNC123R,chondrogen,60,0.1,2,1.00189934679114
3,FN1 FNC123R,chondrogen,60,0.1,3,0.233969000708994
3,FN1 FNC123R,chondrogen,60,0.1,4,0.360773545435757
3,FN1 FNC123R,chondrogen,60,0.1,5,-0.619975638260588
3,FN1 FNC123R,chondrogen,60,0.2,1,1.03114120203998
3,FN1 FNC123R,chondrogen,60,0.2,2,0.193906212551805
3,FN1 FNC123R,chondrogen,60,0.2,3,1.74390628154611
3,FN1 FNC123R,chondrogen,60,0.2,4,0.0738999790355814
3,FN1 FNC123R,chondrogen,60,0.2,5,1.91298880281513
3,FN1 FNC123R,chondrogen,60,0.35,1,0.867738485269385
3,FN1 FNC123R,chondrogen,60,0.35,2,1.36231986191447
3,FN1 FNC123R,chondrogen,60,0.35,3,0.651166045405996
3,FN1 FNC123R,chondrogen,60,0.35,4,3.10677662872138
3,FN1 FNC123R,chondrogen,60,0.35,5,3.23845671429994
3,FN1 FNC123R,chondrogen,60,0.5,1,4.4047742678376
3,FN1 FNC123R,chondrogen,60,0.5,2,4.08659299481264
3,FN1 FNC123R,chondrogen,60,0.5,3,4.52058963331904
3,FN1 FNC123R,chondrogen,60,0.5,4,3.58063502741691
3,FN1 FNC123R,chondrogen,60,0.5,5,3.87070924891781
3,FN1 FNC123R,chondrogen,60,0.75,1,6.81986950637615
3,FN1 FNC123R,chondrogen,60,0.75,2,5.16053243460048
3,FN1 FNC123R,chondrogen,60,0.75,3,4.35973890924527
3,FN1 FNC123R,chondrogen,60,0.75,4,4.47279594557827
3,FN1 FNC123R,chondrogen,60,0.75,5,5.85382430497692
3,FN1 FNC123R,chondrogen,60,1.0,1,7.07393005599292
3,FN1 FNC123R,chondrogen,60,1.0,2,7.50296648502117
3,FN1 FNC123R,chondrogen,60,1.0,3,6.99924435683092
3,FN1 FNC123R,chondrogen,60,1.0,4,5.64596075633333
3,FN1 FNC123R,chondrogen,60,1.0,5,8.54625178307748
4,FN1 FNC231W,chondrogen,15,0.0,1,0.791449367687791
4,FN1 FNC231W,chondrogen,15,0.0,2,1.14976092250124
4,FN1 FNC231W,chondrogen,15,0.0,3,-0.150333066726723
4,FN1 FNC231W,chondrogen,15,0.0,4,-0.318576914706436
4,FN1 FNC231W,chondrogen,15,0.0,5,-0.452943558312493
4,FN1 FNC231W,chondrogen,15,0.05,1,0.312216375638766
4,FN1 FNC231W,chondrogen,15,0.05,2,0.799252003879439
4,FN1 FNC231W,chondrogen,15,0.05,3,0.675309733224113
4,FN1 FNC231W,chondrogen,15,0.05,4,1.39101154046347
4,FN1 FNC231W,chondrogen,15,0.05,5,1.65702098056067
4,FN1 FNC231W,chondrogen,15,0.1,1,1.39566810645359
4,FN1 FNC231W,chondrogen,15,0.1,2,-0.0420891845969859
