punkt,datensatz,arm,hypothese,runde,n1,n2,z_korr
1,LAMA5-KO (chondr),chondrogen,H1,1,60,60.0,-0.234399590189036
1,LAMA5-KO (chondr),chondrogen,H1,2,60,60.0,-0.498714067473904
1,LAMA5-KO (chondr),chondrogen,H1,3,60,60.0,0.124752139829394
1,LAMA5-KO (chondr),chondrogen,H1,4,60,60.0,0.602298465894361
1,LAMA5-KO (chondr),chondrogen,H1,5,60,60.0,-1.4969556730553
1,LAMA5-KO (chondr),chondrogen,H1,6,60,60.0,0.57602472131574
1,LAMA5-KO (chondr),chondrogen,H1,7,60,60.0,-2.29392351635507
1,LAMA5-KO (chondr),chondrogen,H1,8,60,60.0,0.877949984888985
1,LAMA5-KO (chondr),chondrogen,H1,9,60,60.0,0.216132342937818
1,LAMA5-KO (chondr),chondrogen,H1,10,60,60.0,0.493658776400686
1,LAMA5-KO (chondr),chondrogen,H2,1,88,88.0,-0.549796553765615
1,LAMA5-KO (chondr),chondrogen,H2,2,88,88.0,-1.28903749009223
1,LAMA5-KO (chondr),chondrogen,H2,3,88,88.0,0.62189544332233
1,LAMA5-KO (chondr),chondrogen,H2,4,88,88.0,-1.67133999584802
1,LAMA5-KO (chondr),chondrogen,H2,5,88,88.0,-1.4590305465233
1,LAMA5-KO (chondr),chondrogen,H2,6,88,88.0,0.849471042324821
1,LAMA5-KO (chondr),chondrogen,H2,7,88,88.0,0.415376091750513
1,LAMA5-KO (chondr),chondrogen,H2,8,88,88.0,-0.479521244986594
1,LAMA5-KO (chondr),chondrogen,H2,9,88,88.0,-0.0412972007513044
1,LAMA5-KO (chondr),chondrogen,H2,10,88,88.0,0.53318244933846
1,LAMA5-KO (chondr),chondrogen,H3,1,88,88.0,-0.600161462936991
1,LAMA5-KO (chondr),chondrogen,H3,2,88,88.0,-0.253583453872893
1,LAMA5-KO (chondr),chondrogen,H3,3,88,88.0,0.778088835369194
1,LAMA5-KO (chondr),chondrogen,H3,4,88,88.0,-1.58163911983006
1,LAMA5-KO (chondr),chondrogen,H3,5,88,88.0,0.10740461079517
1,LAMA5-KO (chondr),chondrogen,H3,6,88,88.0,1.36092720193069
1,LAMA5-KO (chondr),chondrogen,H3,7,88,88.0,0.83456063205337
1,LAMA5-KO (chondr),chondrogen,H3,8,88,88.0,0.87464282429849
1,LAMA5-KO (chondr),chondrogen,H3,9,88,88.0,-0.390768896076371
1,LAMA5-KO (chondr),chondrogen,H3,10,88,88.0,-0.229585580938519
2,LAMA5-KO (osteo),osteogen,H1,1,76,76.0,0.748369661272936
2,LAMA5-KO (osteo),osteogen,H1,2,76,76.0,-1.11810322791278
2,LAMA5-KO (osteo),osteogen,H1,3,76,76.0,0.581310008332463
2,LAMA5-KO (osteo),osteogen,H1,4,76,76.0,0.678305547116575
2,LAMA5-KO (osteo),osteogen,H1,5,76,76.0,-0.876062926114228
2,LAMA5-KO (osteo),osteogen,H1,6,76,76.0,0.748589384810471
2,LAMA5-KO (osteo),osteogen,H1,7,76,76.0,0.960743234465086
2,LAMA5-KO (osteo),osteogen,H1,8,76,76.0,0.0022950089485421
2,LAMA5-KO (osteo),osteogen,H1,9,76,76.0,-0.464419688036742
2,LAMA5-KO (osteo),osteogen,H1,10,76,76.0,-1.29736690660154
2,LAMA5-KO (osteo),osteogen,H2,1,87,87.0,1.56506562158613
2,LAMA5-KO (osteo),osteogen,H2,2,87,87.0,0.674271773954528
2,LAMA5-KO (osteo),osteogen,H2,3,87,87.0,0.154893378549783
2,LAMA5-KO (osteo),osteogen,H2,4,87,87.0,-0.974129389548568
2,LAMA5-KO (osteo),osteogen,H2,5,87,87.0,0.915972366692232
2,LAMA5-KO (osteo),osteogen,H2,6,87,87.0,-0.208020871514901
2,LAMA5-KO (osteo),osteogen,H2,7,87,87.0,0.369008863904032
2,LAMA5-KO (osteo),osteogen,H2,8,87,87.0,1.04453652434387
2,LAMA5-KO (osteo),osteogen,H2,9,87,87.0,1.11823552902071
2,LAMA5-KO (osteo),osteogen,H2,10,87,87.0,-1.0626021021099
2,LAMA5-KO (osteo),osteogen,H3,1,75,75.0,-0.152340480279024
2,LAMA5-KO (osteo),osteogen,H3,2,75,75.0,0.301315509524217
2,LAMA5-KO (osteo),osteogen,H3,3,75,75.0,-0.0619210292477141
2,LAMA5-KO (osteo),osteogen,H3,4,75,75.0,0.293558578981886
2,LAMA5-KO (osteo),osteogen,H3,5,75,75.0,-0.350616831793061
2,LAMA5-KO (osteo),osteogen,H3,6,75,75.0,-0.259881078026632
2,LAMA5-KO (osteo),osteogen,H3,7,75,75.0,1.09429193540349
2,LAMA5-KO (osteo),osteogen,H3,8,75,75.0,0.130420791622284
2,LAMA5-KO (osteo),osteogen,H3,9,75,75.0,0.700417679457598
2,LAMA5-KO (osteo),osteogen,H3,10,75,75.0,0.259136072304313
3,FN1 FNC123R,chondrogen,H1,1,45,45.0,-1.24191400143308
3,FN1 FNC123R,chondrogen,H1,2,45,45.0,-2.04575827409658
3,FN1 FNC123R,chondrogen,H1,3,45,45.0,1.09616674047708
3,FN1 FNC123R,chondrogen,H1,4,45,45.0,0.543791371863038
3,FN1 FNC123R,chondrogen,H1,5,45,45.0,-0.753693167247388
3,FN1 FNC123R,chondrogen,H1,6,45,45.0,0.11313641877211
3,FN1 FNC123R,chondrogen,H1,7,45,45.0,0.25035322496648
3,FN1 FNC123R,chondrogen,H1,8,45,45.0,0.908227420355971
3,FN1 FNC123R,chondrogen,H1,9,45,45.0,0.463914876956118
3,FN1 FNC123R,chondrogen,H1,10,45,45.0,0.519857001113418
3,FN1 FNC123R,chondrogen,H2,1,95,95.0,0.124479885444375
3,FN1 FNC123R,chondrogen,H2,2,95,95.0,0.29798927168312
3,FN1 FNC123R,chondrogen,H2,3,95,95.0,-0.337713067071406
3,FN1 FNC123R,chondrogen,H2,4,95,95.0,0.275191999488231
3,FN1 FNC123R,chondrogen,H2,5,95,95.0,1.67090811334788
3,FN1 FNC123R,chondrogen,H2,6,95,95.0,1.6449935510647
3,FN1 FNC123R,chondrogen,H2,7,95,95.0,-0.549052670060782
3,FN1 FNC123R,chondrogen,H2,8,95,95.0,3.22864029744194
3,FN1 FNC123R,chondrogen,H2,9,95,95.0,-0.544383105502351
3,FN1 FNC123R,chondrogen,H2,10,95,95.0,1.91136283763368
3,FN1 FNC123R,chondrogen,H3,1,82,82.0,-1.52028304229549
3,FN1 FNC123R,chondrogen,H3,2,82,82.0,0.296986773067014
3,FN1 FNC123R,chondrogen,H3,3,82,82.0,0.153272510867821
3,FN1 FNC123R,chondrogen,H3,4,82,82.0,-0.0824113323563559
3,FN1 FNC123R,chondrogen,H3,5,82,82.0,0.678264921479972
3,FN1 FNC123R,chondrogen,H3,6,82,82.0,-0.231720610333734
3,FN1 FNC123R,chondrogen,H3,7,82,82.0,1.16795566467651
3,FN1 FNC123R,chondrogen,H3,8,82,82.0,-1.72356878562941
3,FN1 FNC123R,chondrogen,H3,9,82,82.0,1.33680338754224
3,FN1 FNC123R,chondrogen,H3,10,82,82.0,-1.03697907341473
4,FN1 FNC231W,chondrogen,H1,1,53,53.0,-2.05190223701226
4,FN1 FNC231W,chondrogen,H1,2,53,53.0,-1.41794751869517
4,FN1 FNC231W,chondrogen,H1,3,53,53.0,1.3960335143517
4,FN1 FNC231W,chondrogen,H1,4,53,53.0,-1.67264919077093
4,FN1 FNC231W,chondrogen,H1,5,53,53.0,0.69139067399571
4,FN1 FNC231W,chondrogen,H1,6,53,53.0,2.47230705425586
4,FN1 FNC231W,chondrogen,H1,7,53,53.0,0.209049597071684
4,FN1 FNC231W,chondrogen,H1,8,53,53.0,-1.07733824774165
4,FN1 FNC231W,chondrogen,H1,9,53,53.0,-1.08661528006834
4,FN1 FNC231W,chondrogen,H1,10,53,53.0,-2.40865501660838
4,FN1 FNC231W,chondrogen,H2,1,100,100.0,0.194894968900633
4,FN1 FNC231W,chondrogen,H2,2,100,100.0,-0.742396099868655
4,FN1 FNC231W,chondrogen,H2,3,100,100.0,0.310622002496738
4,FN1 FNC231W,chondrogen,H2,4,100,100.0,0.339453221848841
4,FN1 FNC231W,chondrogen,H2,5,100,100.0,1.46301867027152
4,FN1 FNC231W,chondrogen,H2,6,100,100.0,-0.451865448623772
4,FN1 FNC231W,chondrogen,H2,7,100,100.0,0.150485988579277
4,FN1 FNC231W,chondrogen,H2,8,100,100.0,0.0507346219144783
4,FN1 FNC231W,chondrogen,H2,9,100,100.0,-0.638889423652884
4,FN1 FNC231W,chondrogen,H2,10,100,100.0,-0.13313678806444
4,FN1 FNC231W,chondrogen,H3,1,84,84.0,0.306105318283543
4,FN1 FNC231W,chondrogen,H3,2,84,84.0,0.127557164489013
4,FN1 FNC231W,chondrogen,H3,3,84,84.0,0.0108526531254593
4,FN1 FNC231W,chondrogen,H3,4,84,84.0,-0.534156294565972
4,FN1 FNC231W,chondrogen,H3,5,84,84.0,0.846572313105109
4,FN1 FNC231W,chondrogen,H3,6,84,84.0,0.158915467898684
4,FN1 FNC231W,chondrogen,H3,7,84,84.0,-0.818330282324539
4,FN1 FNC231W,chondrogen,H3,8,84,84.0,-1.48164700530964
4,FN1 FNC231W,chondrogen,H3,9,84,84.0,1.02654308594095
4,FN1 FNC231W,chondrogen,H3,10,84,84.0,-0.873045734356464
5,SERPINA3-KD,chondrogen,H2,1,13,13.0,0.234112815260274
