schwelle,richtung,panel,k,n,hg,hgn,OR,p
<=1 outlier,up,skeletal dysplasia,3,129,357,12563,0.8124831853645413,1.0
<=1 outlier,up,short stature,0,129,50,12563,0.0,1.0
<=1 outlier,down,skeletal dysplasia,1,44,357,12563,0.7945518683041547,1.0
<=1 outlier,down,short stature,0,44,50,12563,0.0,1.0
<=2,up,skeletal dysplasia,8,334,357,12563,0.8353402359062704,0.7395269638825134
<=2,up,short stature,0,334,50,12563,0.0,0.6445416203186591
<=2,down,skeletal dysplasia,6,223,357,12563,0.9444247508763638,1.0
<=2,down,short stature,1,223,50,12563,1.1298952013237729,0.5923169192624088
<=3,up,skeletal dysplasia,20,755,357,12563,0.9262197460586609,0.8217256339086444
<=3,up,short stature,3,755,50,12563,0.9982741059302852,1.0
<=3,down,skeletal dysplasia,13,629,357,12563,0.7110295228027786,0.2678401648450398
<=3,down,short stature,4,629,50,12563,1.6539826086956522,0.3163678191918782
