dataset,label,source,cohort,n_biological_units,n_measurable,n_matching,share_match,wilson_lo,wilson_hi,null_mean,null_sd,z,p,mde80,above_mde80,note
GSE185951,S12 GSE185951,S12 corrected fixed-173,GSE185951,5,173,149,0.861271676300578,,,0.4999323699421965,0.2517484678981399,1.4353187901210311,0.155,1.2048280800569884,False,independent S12 study
GSE161176,S12 GSE161176,S12 corrected fixed-173,GSE161176,3,170,112,0.6473988439306358,,,0.4868976878612717,0.1688822903168553,0.950372924053987,0.4961,0.9597681007484666,False,independent S12 study
GSE113253,S12 GSE113253,S12 corrected fixed-173,GSE113253,9,125,103,0.5953757225433526,,,0.3600213872832369,0.1513631230380026,1.554898779414226,0.0462,0.7838381317896443,False,independent S12 study
GSE210984,S12 GSE210984,S12 corrected fixed-173,GSE210984,3,173,135,0.7803468208092486,,,0.4977063583815028,0.2103871414751495,1.343430308744085,0.1235,1.0867903545119215,False,independent S12 study
GSE202080,S12 GSE202080,S12 corrected fixed-173,GSE202080,11,173,150,0.8670520231213873,,,0.4954734104046243,0.2338948102501943,1.5886569365061587,0.0815,1.1503788791051683,False,independent S12 study
GSE37521,S12 GSE37521,S12 corrected fixed-173,GSE37521,2,163,59,0.3410404624277456,,,0.3863514450867052,0.1474703558443549,-0.3072548540316961,1.0,0.799268441450899,False,sensitivity: n=2
GSE247491,SERPINA3 chondro (GSE247491),SERPINA3 follow-up,SERPINA3 shared donor cohort,3,173,120,0.6936416184971098,0.6213631009341666,0.7575073316374946,0.498571098265896,0.1539784201340937,1.266869214928524,0.241,0.9297106746413584,False,one shared donor cohort
GSE247528,SERPINA3 osteo (GSE247528),SERPINA3 follow-up,SERPINA3 shared donor cohort,3,173,124,0.7167630057803468,0.6454798623403831,0.7786288308368495,0.5016919075144508,0.1868070168826169,1.1513009621102146,0.4959,1.0247515547857782,False,one shared donor cohort
GSE12266,hMSC mineralization (GSE12266),search extension,GSE12266,4,166,88,0.5086705202312138,,,0.479029479768786,0.0741402869434702,0.3997966784917925,0.9425,0.6866222832105027,False,independent extension cohort
GSE18043,BM-MSC osteo (GSE18043),search extension,GSE18043,3,166,124,0.7167630057803468,,,0.4786335260115607,0.2024919716774513,1.175994671769514,0.3735,1.0456110467084243,False,independent extension cohort
GSE63754,adipose-MSC osteo (GSE63754),search extension,GSE63754,3,162,130,0.7514450867052023,,,0.4666578034682081,0.2374790372529948,1.199210197797796,0.2477,1.1315991077765937,False,independent extension cohort
