ebene,satzart,satz,n,statistik,null,null_sd,z,p
ATAC GSE224251 osteogen (n=3),Modul,173 konvergente Gene,160,0.070600049016938,0.0001789360090681,0.0228450990080366,3.082547945320633,0.0030998450077496
ATAC GSE224251 osteogen (n=3),Marker,osteogene Marker,15,-0.0829094275910898,-0.0005000014523537,0.0742633238954085,-1.10969213086665,1.0
ATAC GSE224251 osteogen (n=3),Groessenkontrolle,Modulteilmengen n=15,15,0.0736415954105622,-0.0829094275910898,,,0.0184999999999999
ATAC GSE332758 osteogen (n=1),Modul,173 konvergente Gene,173,0.1293008704729445,1.8276525348450474e-05,0.0219395228399008,5.892680296240233,9.99950002499875e-05
ATAC GSE332758 osteogen (n=1),Marker,osteogene Marker,18,0.0979512449571881,-0.0002321727929547,0.0680856747052337,1.442056911020014,0.151392430378481
ATAC GSE332758 osteogen (n=1),Groessenkontrolle,Modulteilmengen n=18,18,0.1272925025110012,0.0979512449571881,,,0.3139999999999999
ATAC GSE332758 adipogen (n=1),Modul,173 konvergente Gene,173,0.1074508534838115,-7.081910715971429e-05,0.0219923296605288,4.8890533313506985,9.99950002499875e-05
ATAC GSE332758 adipogen (n=1),Marker,adipogene Marker,18,0.2880825939058971,4.825409112853563e-05,0.0682600116514249,4.219664381038177,9.99950002499875e-05
ATAC GSE332758 adipogen (n=1),Groessenkontrolle,Modulteilmengen n=18,18,0.1073224125588906,0.2880825939058971,,,0.999
H3K27ac GSE129031 chondrogen (n=2),Modul,173 konvergente Gene,173,0.1070195036218044,0.0002310889964537,0.0218910892438516,4.878168164032464,9.99950002499875e-05
H3K27ac GSE129031 chondrogen (n=2),Marker,chondrogene Marker,12,0.3285128435482797,0.0009203602265921,0.0830523492571704,3.944409595293953,0.0001999900004999
H3K27ac GSE129031 chondrogen (n=2),Groessenkontrolle,Modulteilmengen n=12,12,0.1080638184601051,0.3285128435482797,,,0.9985
DNAm GSE33896 osteogen (n=3),Modul,173 konvergente Gene,126,0.0142464485333473,0.0002885040598374,0.0260659108962577,0.5354865413705456,0.5895705214739263
DNAm GSE33896 osteogen (n=3),Marker,osteogene Marker,16,-0.1146437949143173,-0.000961129897388,0.0721102182098805,-1.57651256422564,1.0
DNAm GSE33896 osteogen (n=3),Groessenkontrolle,Modulteilmengen n=16,16,0.0157804726368159,-0.1146437949143173,,,0.0354999999999999
DNAm GSE33896 myogen (n=3),Modul,173 konvergente Gene,126,-0.039019518808076,-0.0005524188334123,0.0254915674451155,-1.5090127375448792,1.0
DNAm GSE33896 myogen (n=3),Marker,myogene Marker,16,-0.0149124170812603,0.0002519178197553,0.0716865709611808,-0.2115366197279465,1.0
DNAm GSE33896 myogen (n=3),Groessenkontrolle,Modulteilmengen n=16,16,-0.0395569893587617,-0.0149124170812603,,,0.6395
DNAm GSE129266 chondrogen (n=2),Modul,173 konvergente Gene,161,0.0415174126404627,-0.0002450273146721,0.0226670811195207,1.842426898060967,0.0659967001649917
DNAm GSE129266 chondrogen (n=2),Marker,chondrogene Marker,12,0.2437062659033078,-0.0007317950858778,0.083264571189753,2.9356790949193954,0.0028998550072496
DNAm GSE129266 chondrogen (n=2),Groessenkontrolle,Modulteilmengen n=12,12,0.0407999363867684,0.2437062659033078,,,0.994
