gse,entitaet,gewebe,satz,n_patienten,n_kontrollen,n,U,konkordanz,konkordanz_null,konkordanz_null_sd,konkordanz_z,konkordanz_p,konkordanz_mde80,konkordanz_ki_lo,konkordanz_ki_hi,rang_z,rang_p,kontrast_z,kontrast_p,eichung_bestanden
GSE186141,Osteogenesis imperfecta,primaere Osteoblasten,Programm,6,2,147,0.4291417165668662,0.4285714285714285,0.5810159863945578,0.0385483188499076,-3.954635698036274,1.0,0.688951279174299,0.3513948880448692,0.5093862227362416,-4.457444881013148,1.0,-3.953152673861599,1.0,True
GSE186141,Osteogenesis imperfecta,primaere Osteoblasten,Laesionsantwort,6,2,156,0.383720930232558,0.3269230769230769,0.4839570512820512,0.0379203064160665,-4.141157843926077,1.0,0.5901339092470376,0.2582418204721954,0.4039237234162541,-4.339588565862243,1.0,-4.492064588252199,1.0,True
GSE22855,Enchondromatose (Ollier),Knorpel / Enchondrom,Programm,7,6,142,0.4587525150905432,0.4366197183098591,0.489562323943662,0.041686948767435,-1.2700043346698595,1.0,0.6062857804924802,0.3577770958258817,0.5188013289856945,-1.2690408808383364,1.0,-1.0803705038249505,1.0,True
GSE22855,Enchondromatose (Ollier),Knorpel / Enchondrom,Laesionsantwort,7,6,129,0.5404208194905868,0.5426356589147286,0.5032279069767442,0.0439115062863724,0.8974356671115663,0.4230788460576971,0.6261801245785871,0.456675986048851,0.6261294002156924,1.2414712507006929,0.215489225538723,1.712567542260058,0.0896955152242387,True
GSE292600,akromele Dysplasie (ADAMTSL2/FBN1),dermale Fibroblasten,Programm,8,3,159,0.5698099415204678,0.559748427672956,0.4661314465408805,0.0393096106694515,2.3815290850699653,0.0223988800559972,0.5761983564153448,0.4820793074536026,0.6345984947787509,3.685798307111224,9.99950002499875e-05,4.562741852566917,9.99950002499875e-05,True
GSE292600,akromele Dysplasie (ADAMTSL2/FBN1),dermale Fibroblasten,Laesionsantwort,8,3,160,0.4978323699421965,0.5,0.5116071875,0.038752049381696,-0.2995244815486453,1.0,0.6201129257687489,0.4234378738375939,0.576562126162406,-0.3756825795898709,1.0,-0.2175541602339955,1.0,True
GSE77758,EDS-HT / JHS,dermale Fibroblasten,Programm,5,6,171,0.5064327485380117,0.4970760233918128,0.4943432748538012,0.0381535181568214,0.0716250733884958,1.0,0.6011731256929012,0.4230269217010651,0.5712536156538891,0.5103727806699749,0.6059697015149242,0.9692664278011752,0.3300834958252087,True
GSE77758,EDS-HT / JHS,dermale Fibroblasten,Laesionsantwort,5,6,170,0.5176470588235295,0.4941176470588235,0.5022358823529411,0.0383719059988618,-0.2115671630791128,1.0,0.6096772191497543,0.4199252194213575,0.5685700544371436,0.7144119435478201,0.4783760811959402,0.7050548747199478,0.4804759762011899,True
GSE160207,Osteogenesis imperfecta,Vollblut,Programm,7,5,150,0.4962651727357609,0.4933333333333333,0.5069943333333333,0.0402313063036778,-0.3395614325043962,1.0,0.6196419909836312,0.4144953604302193,0.5725042547583902,0.2475947473196209,0.7993600319984001,0.8030659824302444,0.423778811059447,False
GSE160207,Osteogenesis imperfecta,Vollblut,Laesionsantwort,7,5,145,0.5281827016520894,0.5724137931034483,0.5042093103448275,0.0415367617083261,1.6420269648740808,0.1221938903054847,0.6205122431281408,0.4910422845990604,0.6500473032580978,1.1455925568660317,0.2495875206239688,1.4775169467726197,0.1417929103544822,False
GSE228522,FOP (ACVR1),CD14+-Monozyten,Programm,6,6,130,0.4942196531791907,0.5,0.5036838461538462,0.0432649307311718,-0.0851462394967395,1.0,0.6248256522011273,0.4152908125656562,0.5847091874343437,0.3231849545839187,0.7496625168741563,-0.2475569825656067,1.0,False
GSE228522,FOP (ACVR1),CD14+-Monozyten,Laesionsantwort,6,6,133,0.5433526011560693,0.5789473684210527,0.5025375939849624,0.0430986708287515,1.7729032697944955,0.0913954302284885,0.6232138723054667,0.4939767574529959,0.6594853476378536,2.014460282772581,0.0447977601119944,3.065228726532375,0.0029998500074996,False
GSE58435,Turner-Syndrom,"Fruchtwasser, zellfreie mRNA",Programm,5,5,166,0.5289156626506025,0.5602409638554217,0.5050689759036145,0.0389295081316377,1.4172279743490832,0.183990800459977,0.6140715986722002,0.4842161209368522,0.6335406594985651,1.3671764924908592,0.1734913254337283,0.201657341789202,0.8421578921053947,False
GSE58435,Turner-Syndrom,"Fruchtwasser, zellfreie mRNA",Laesionsantwort,5,5,167,0.4862275449101796,0.467065868263473,0.4994254491017964,0.0390018597819449,-0.8296932766601938,1.0,0.6086306564912424,0.3929883891694539,0.5426244826369446,-0.644310305744353,1.0,-0.3997489120123284,1.0,False
