groesse,zelle,S1,S1_null_mittel,S1_null_sd,S3a,S3a_null_mittel,S3a_null_sd,S1_z,S1_mde80,S1_ueber_mde80,S3a_z,S3a_mde80,S3a_ueber_mde80,studie,spender,achse,e2,herkunft,n_proben
Programm,GSE218101_Line4_chondr,0.1502191930014329,0.1733462485200757,0.041058996123259,0.7421383647798742,0.5607540880502924,0.0366996272945043,-0.5632640274305638,0.288311437665201,False,4.942401056937806,0.6635130444749044,True,GSE218101,GSE218101_Line4,chondrogen,True,Punkt der achtzehn,8
Programm,SERPINA3_D1_chondr,0.3352584237174448,0.2690174558417234,0.0399776184844842,0.6729559748427673,0.5506238993710504,0.0381253051279248,1.656951323937176,0.3809547875982791,False,3.208684496064918,0.65737475372924,True,GSE247491,SERPINA3_D1,chondrogen,False,"Abb. S3C, studienweise",6
Programm,SERPINA3_D2_chondr,0.4344808055683286,0.3546463154947717,0.0358473338735971,0.710691823899371,0.520888050314458,0.0385271883804858,2.22706911356545,0.4550188503408439,False,4.926489099345992,0.6287641777798183,True,GSE247491,SERPINA3_D2,chondrogen,False,"Abb. S3C, studienweise",6
Programm,SERPINA3_D3_chondr,0.3842640347409115,0.2635244906726831,0.0404775566562728,0.6415094339622641,0.4932893081760999,0.0390597632468479,2.982876291015389,0.376861649310247,True,3.7947010802254537,0.602656645267274,True,GSE247491,SERPINA3_D3,chondrogen,False,"Abb. S3C, studienweise",6
Programm,SERPINA3_D1_osteog,0.4565647819598363,0.3399309996637069,0.0354934812680712,0.7421383647798742,0.45140094339624,0.0381893353910116,3.2860620634879605,0.4393127472143063,True,7.6130526600382495,0.5583310824910727,True,GSE247528,SERPINA3_D1,osteogen,False,"Abb. S3C, studienweise",6
Programm,SERPINA3_D2_osteog,0.375230527704435,0.2794619639046931,0.0375115926926548,0.6981132075471698,0.4588292452830302,0.0386375022606874,2.5530391253820173,0.3844944234441265,False,6.193049453603117,0.567014251612955,True,GSE247528,SERPINA3_D2,osteogen,False,"Abb. S3C, studienweise",6
Programm,LAMA5_USC_chondr,0.3403554063040986,0.257152763593565,0.0357561473213476,0.9371069182389936,0.5700990566037479,0.0357566795433093,2.3269465237061158,0.3572699760933383,False,10.264036435226515,0.6702177593250142,True,LAMA5_USC,LAMA5_USC,chondrogen,False,zwei Punkte der achtzehn,12
Engineering-Antwort,SERPINA3_D1_chondr,0.1016684236468304,0.0472012445798686,0.0401860343653418,0.5058139534883721,0.4986171511627895,0.0377436579428157,1.3553758146869233,0.1597221408028257,False,0.1906758040380243,0.6042993934026737,False,GSE247491,SERPINA3_D1,chondrogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,SERPINA3_D2_chondr,0.0536981484494945,0.0682400399881206,0.0396343457195841,0.4476744186046512,0.4890526162790631,0.0379993725182658,-0.3669012639065893,0.1792162080029561,False,-1.088917919750436,0.5954508593302075,False,GSE247491,SERPINA3_D2,chondrogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,SERPINA3_D3_chondr,0.1064522443358025,0.0293322265928765,0.0377633914424957,0.6453488372093024,0.4812444767441775,0.0377188050810903,2.0421899304346285,0.1350697226318646,False,4.350730626601835,0.5868571309712306,True,GSE247491,SERPINA3_D3,chondrogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,SERPINA3_D1_osteog,0.1220293474646422,0.0775133195406122,0.0403841632368439,0.6511627906976745,0.4871950581395288,0.0381167566641472,1.102313985384659,0.1905889766037751,False,4.3017230978724434,0.5939219767991412,True,GSE247528,SERPINA3_D1,osteogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,SERPINA3_D2_osteog,0.0446797697294722,0.0570222505904031,0.0410737273260302,0.5116279069767442,0.4817037790697612,0.0380754034641236,-0.3004957588328965,0.1720286871032878,False,0.7859175526578148,0.5883149087693075,False,GSE247528,SERPINA3_D2,osteogen,False,"Abb. S3C, studienweise",6
Engineering-Antwort,LAMA5_USC_chondr,0.0971848225214198,0.0496089888496391,0.0376278867157388,0.936046511627907,0.4955087209302299,0.037872570263035,1.2643769774049245,0.1549670716537077,False,11.632107027276604,0.6015519176667281,True,LAMA5_USC,LAMA5_USC,chondrogen,False,zwei Punkte der achtzehn,12
