"go","groesse","nA_3","nB_3","nA_4","nB_4","nA_5","nB_5","nA_11","nB_11","nA_13","nB_13","nA_14","nB_14","nA_15","nB_15","nA_17","nB_17","nA_18","nB_18","min_nA","min_nB","testbar","name"
"GO:0000018",146,44,838,46,877,3,137,72,1548,8,131,33,684,19,725,26,672,30,711,3,131,FALSE,"regulation of DNA recombination"
"GO:0000041",112,29,848,30,888,6,138,33,1560,0,132,29,687,31,731,28,677,37,713,0,132,FALSE,"transition metal ion transport"
"GO:0000045",137,41,847,40,887,3,137,57,1555,2,130,32,682,36,727,41,671,49,708,2,130,FALSE,"autophagosome assembly"
"GO:0000070",214,86,837,89,875,6,136,94,1540,7,130,62,677,30,728,33,670,38,707,6,130,FALSE,"mitotic sister chromatid segregation"
"GO:0000075",233,80,829,83,868,5,135,81,1528,7,130,60,669,28,717,40,661,40,701,5,130,FALSE,"cell cycle checkpoint signaling"
"GO:0000077",157,46,833,48,873,3,135,49,1535,6,130,30,674,19,717,26,663,28,703,3,130,FALSE,"DNA damage checkpoint signaling"
"GO:0000079",90,34,846,35,885,3,137,27,1555,4,131,22,686,13,728,11,675,13,714,3,131,FALSE,"regulation of cyclin-dependent protein serine/threonine kinase activity"
"GO:0000082",271,90,836,95,876,5,135,98,1531,3,130,51,675,48,711,44,666,52,703,3,130,FALSE,"G1/S transition of mitotic cell cycle"
"GO:0000086",160,48,842,52,881,2,135,59,1546,2,131,40,683,26,721,24,671,36,711,2,131,FALSE,"G2/M transition of mitotic cell cycle"
"GO:0000184",55,11,844,11,883,1,138,15,1543,2,129,7,685,6,726,4,673,7,712,1,129,FALSE,"nuclear-transcribed mRNA catabolic process, nonsense-mediated decay"
"GO:0000209",304,105,842,110,882,16,137,147,1548,9,130,69,683,85,721,71,667,85,704,9,130,FALSE,"protein polyubiquitination"
"GO:0000245",109,0,818,0,857,0,136,2,1504,0,129,0,678,0,715,0,660,0,698,0,129,FALSE,"spliceosomal complex assembly"
"GO:0000271",67,26,846,26,886,7,138,24,1562,3,132,13,691,18,730,19,676,27,716,3,132,FALSE,"polysaccharide biosynthetic process"
"GO:0000281",96,41,845,40,885,3,138,39,1560,1,131,27,684,21,730,29,675,30,709,1,131,FALSE,"mitotic cytokinesis"
"GO:0000288",73,13,824,14,863,3,136,15,1532,4,129,6,678,6,716,6,666,7,704,3,129,FALSE,"nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay"
"GO:0000302",210,75,836,76,877,8,137,75,1549,13,130,48,682,65,724,52,668,57,704,8,130,FALSE,"response to reactive oxygen species"
"GO:0000375",390,8,746,9,779,1,120,19,1339,1,123,4,622,3,665,1,613,1,649,1,120,FALSE,"RNA splicing, via transesterification reactions"
"GO:0000377",386,8,749,9,782,1,120,19,1343,1,123,4,624,3,667,1,614,1,651,1,120,FALSE,"RNA splicing, via transesterification reactions with bulged adenosine as nucleophile"
"GO:0000380",79,3,828,4,865,0,134,8,1521,0,129,2,679,0,715,1,670,1,702,0,129,FALSE,"alternative mRNA splicing, via spliceosome"
"GO:0000381",60,2,832,3,869,0,134,6,1534,0,129,1,684,0,719,0,672,0,705,0,129,FALSE,"regulation of alternative mRNA splicing, via spliceosome"
"GO:0000387",70,1,837,1,877,0,134,3,1534,0,130,1,684,0,719,0,677,0,716,0,130,FALSE,"spliceosomal snRNP assembly"
"GO:0000398",386,8,749,9,782,1,120,19,1343,1,123,4,624,3,667,1,614,1,651,1,120,FALSE,"mRNA splicing, via spliceosome"
"GO:0000422",120,36,845,35,884,1,138,56,1558,5,132,30,686,42,727,40,674,48,712,1,132,FALSE,"autophagy of mitochondrion"
"GO:0000423",99,29,845,27,884,1,138,42,1559,4,132,24,687,35,728,29,676,37,714,1,132,FALSE,"mitophagy"
"GO:0000723",192,48,830,48,869,3,134,81,1527,5,131,29,675,21,717,27,667,25,707,3,131,FALSE,"telomere maintenance"
