"gen","n","v","ri","med","symbol"
"ENSG00000173432",15,14,1,1.79530910660437,"SAA1"
"ENSG00000150764",16,15,1,1.78466441467805,"DIXDC1"
"ENSG00000157514",16,15,1,1.76304796144661,"TSC22D3"
"ENSG00000027697",16,15,1,1.73213301153209,"IFNGR1"
"ENSG00000109906",15,15,1,1.72089341164464,"ZBTB16"
"ENSG00000091129",14,14,1,1.69072366138337,"NRCAM"
"ENSG00000000971",16,15,1,1.62703784864939,"CFH"
"ENSG00000136205",16,15,1,1.62095158373925,"TNS3"
"ENSG00000118689",16,15,1,1.61077696991531,"FOXO3"
"ENSG00000080561",16,15,1,1.57946149599649,"MID2"
"ENSG00000136436",16,15,1,1.55291835726283,"CALCOCO2"
"ENSG00000137673",17,17,1,1.54883263064961,"MMP7"
"ENSG00000127083",15,14,1,1.53768196112774,"OMD"
"ENSG00000011465",16,15,1,1.5364977440228,"DCN"
"ENSG00000175155",16,15,1,1.53562519471796,"YPEL2"
"ENSG00000172465",16,15,1,1.53057844639915,"TCEAL1"
"ENSG00000117280",14,13,1,1.52616559361587,"RAB29"
"ENSG00000112576",16,15,1,1.52093672615327,"CCND3"
"ENSG00000158234",16,16,1,1.51458853165087,"FAIM"
"ENSG00000172817",15,14,1,1.50520826423005,"CYP7B1"
"ENSG00000185950",18,18,1,1.49502604304921,"IRS2"
"ENSG00000151726",16,15,1,1.48954295688027,"ACSL1"
"ENSG00000099860",18,18,1,1.48798297997969,"GADD45B"
"ENSG00000189058",15,15,1,1.47516534272191,"APOD"
"ENSG00000197892",16,15,1,1.46656420065528,"KIF13B"
"ENSG00000150907",16,15,1,1.46320925399593,"FOXO1"
"ENSG00000120832",14,13,1,1.46041508235201,"MTERF2"
"ENSG00000126561",16,15,1,1.44922331142078,"STAT5A"
"ENSG00000152463",15,14,1,1.42411795946882,"OLAH"
"ENSG00000166833",16,16,1,1.38211399369219,"NAV2"
"ENSG00000129116",16,15,1,1.37522023162808,"PALLD"
"ENSG00000115041",16,15,1,1.37004075635839,"KCNIP3"
"ENSG00000145675",16,15,1,1.3496980052129,"PIK3R1"
"ENSG00000153531",15,14,1,1.34830676703371,"ADPRHL1"
"ENSG00000100906",16,15,1,1.3454486957949,"NFKBIA"
"ENSG00000143196",15,14,1,1.32597591750991,"DPT"
"ENSG00000099998",16,15,1,1.32338893386132,"GGT5"
"ENSG00000170485",16,15,1,1.30493078841757,"NPAS2"
"ENSG00000081148",14,13,1,1.30390742701596,"IMPG2"
"ENSG00000102554",16,15,1,1.30308257424329,"KLF5"
"ENSG00000124440",14,13,1,1.3021452135127,"HIF3A"
"ENSG00000140092",16,15,1,1.29890077041676,"FBLN5"
"ENSG00000172292",16,16,1,1.29799142082992,"CERS6"
"ENSG00000119138",18,17,1,1.29251450284244,"KLF9"
"ENSG00000188215",15,15,1,1.29193685487254,"DCUN1D3"
"ENSG00000163995",14,13,1,1.29135695495012,"ABLIM2"
"ENSG00000139209",16,15,1,1.27727849313876,"SLC38A4"
"ENSG00000151090",16,15,1,1.27658048972713,"THRB"
"ENSG00000170776",16,15,1,1.26187135499174,"AKAP13"
"ENSG00000173918",16,15,1,1.26155914335202,"C1QTNF1"
"ENSG00000162599",16,15,1,1.2572471131161,"NFIA"
"ENSG00000147526",16,15,1,1.25526390731651,"TACC1"
"ENSG00000078114",15,14,1,1.24801205874039,"NEBL"
"ENSG00000115594",16,15,1,1.24653380298032,"IL1R1"
"ENSG00000183621",16,15,1,1.2463133960397,"ZNF438"
"ENSG00000116194",15,15,1,1.22878210476243,"ANGPTL1"
"ENSG00000101439",18,17,1,1.22776558698209,"CST3"
"ENSG00000180447",18,17,1,1.22240861579034,"GAS1"
"ENSG00000086544",18,17,1,1.22079314145896,"ITPKC"
"ENSG00000160808",14,13,1,1.21663931659857,"MYL3"
"ENSG00000131386",16,15,1,1.19914712088423,"GALNT15"
"ENSG00000184292",15,14,1,1.1921843170953,"TACSTD2"
"ENSG00000149043",15,14,1,1.17994106636164,"SYT8"
"ENSG00000178104",16,15,1,1.1737826601984,"PDE4DIP"
"ENSG00000145244",16,15,1,1.16961842143692,"CORIN"
"ENSG00000111319",14,13,1,1.16691939169824,"SCNN1A"
"ENSG00000115604",14,13,1,1.15943023456449,"IL18R1"
"ENSG00000107551",16,15,1,1.15536577497628,"RASSF4"
"ENSG00000107679",16,15,1,1.15367700608009,"PLEKHA1"
"ENSG00000156234",13,13,1,1.10660003098084,"CXCL13"
"ENSG00000133142",16,15,1,1.10017658456985,"TCEAL4"
"ENSG00000123342",16,15,1,1.08877377635817,"MMP19"
"ENSG00000151692",16,15,1,1.08295700238252,"RNF144A"
"ENSG00000134533",17,16,1,1.06937429780969,"RERG"
"ENSG00000153250",16,15,1,1.05610009380002,"RBMS1"
"ENSG00000088836",15,14,1,1.05160499532849,"SLC4A11"
"ENSG00000113916",16,15,1,1.0404204401065,"BCL6"
"ENSG00000165476",16,15,1,1.04011211161178,"REEP3"
"ENSG00000163735",17,16,1,1.03760410353089,"CXCL5"
"ENSG00000124151",16,15,1,1.02598110077014,"NCOA3"
"ENSG00000142303",15,14,1,1.01142614344104,"ADAMTS10"
"ENSG00000072201",16,15,1,1.00217515319409,"LNX1"
"ENSG00000114439",16,15,1,0.993773613142066,"BBX"
"ENSG00000042286",16,15,1,0.991879272204062,"AIFM2"
"ENSG00000006459",15,14,1,0.983088953879185,"KDM7A"
"ENSG00000030419",16,15,1,0.976628641673266,"IKZF2"
"ENSG00000109819",17,17,1,0.973672380859952,"PPARGC1A"
"ENSG00000182853",15,14,1,0.973553519902083,"VMO1"
"ENSG00000112679",16,15,1,0.973046846542742,"DUSP22"
"ENSG00000144891",14,13,1,0.967358302017736,"AGTR1"
"ENSG00000138639",16,15,1,0.947115694872414,"ARHGAP24"
"ENSG00000102760",14,13,1,0.946240586421691,"RGCC"
"ENSG00000266714",15,14,1,0.944096503394833,"MYO15B"
"ENSG00000232070",16,15,1,0.926117039570105,"TMEM253"
"ENSG00000161896",15,14,1,0.898717319957566,"IP6K3"
"ENSG00000162825",16,15,1,0.89857638877352,"NBPF20"
"ENSG00000154262",15,14,1,0.893869314920966,"ABCA6"
"ENSG00000049239",16,15,1,0.887710807543464,"H6PD"
"ENSG00000009413",16,15,1,0.885775000211892,"REV3L"
"ENSG00000144668",14,13,1,0.885478123051309,"ITGA9"
"ENSG00000153561",16,15,1,0.878345175459185,"RMND5A"
"ENSG00000094631",16,16,1,0.835780206379465,"HDAC6"
"ENSG00000164932",16,15,1,0.829077928855658,"CTHRC1"
"ENSG00000141338",14,13,1,0.823133852888386,"ABCA8"
"ENSG00000125734",16,15,1,0.80479121993555,"GPR108"
"ENSG00000047644",16,15,1,0.797695834864951,"WWC3"
"ENSG00000135838",16,15,1,0.790272965239196,"NPL"
"ENSG00000183628",14,14,1,0.779406255118519,"DGCR6"
"ENSG00000131634",14,13,1,0.768999097665338,"TMEM204"
"ENSG00000154144",16,15,1,0.758576479314609,"TBRG1"
"ENSG00000119950",16,15,1,0.74463676756846,"MXI1"
"ENSG00000134532",14,14,1,0.742899043712554,"SOX5"
"ENSG00000196507",16,15,1,0.737855758464373,"TCEAL3"
