"set","ensembl","quelle"
"S_UPR","ENSG00000159461","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000162772","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000128272","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000030110","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000087088","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000110092","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000176720","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000213676","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000234539","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000228628","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000168468","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000116761","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000175197","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000134001","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000178607","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000044574","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000128590","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000158092","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000116044","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000145675","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000055332","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000196396","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000175354","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000165280","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000109501","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000100219","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000071051","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000113739","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000140943","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
"S_UPR","ENSG00000124164","GO via org.Hs.eg.db 3.20.0, Abruf 2026-08-18"
