punkt,datensatz,gse,gen,arm,klasse,null_intakt,pool
1,LAMA5-KO (chondr),GSE_LAMA5,LAMA5,chondrogen,M,True,9861
2,LAMA5-KO (osteo),GSE_LAMA5,LAMA5,osteogen,M,True,9063
3,FN1 FNC123R,GSE251698,FN1,chondrogen,M,False,11461
4,FN1 FNC231W,GSE251698,FN1,chondrogen,M,False,11815
5,SERPINA3-KD,GSE_SERPINA3ch,SERPINA3,chondrogen,N,True,1347
6,MIR181A1HG-KD,GSE_MIR181,MIR181A1HG,osteogen,N,True,12039
7,LINC01638-KD (GSE227512),GSE227512,LINC01638,osteogen,N,True,3941
8,ARSB / MPS VI (GSE218101),GSE218101,ARSB,chondrogen,M,True,7505
9,ACVR1 / FOP (GSE221128),GSE221128,ACVR1,chondrogen,M,True,9132
10,RNF4-KD (GSE205432),GSE205432,RNF4,osteogen,N,False,8306
11,RB1 +/- (GSE245585),GSE245585,RB1,osteogen,N,False,8369
12,Nonunion (GSE226565),GSE226565,NONUNION,osteogen,N,False,2251
13,SERPINA3-KD osteo (GSE247528),GSE247528,SERPINA3,osteogen,N,True,1033
14,ERCC6L2-KD (GSE190542),GSE190542,ERCC6L2,osteogen,N,True,6502
15,TP53 LFS (GSE102732),GSE102732,TP53,osteogen,M,True,6219
16,YAP/TAZ-KD (GSE137035),GSE137035,YAPTAZ,osteogen,N,False,2712
17,RB1-mut isogen (GSE145235),GSE145235,RB1,osteogen,N,False,5720
18,RB1-del isogen (GSE145235),GSE145235,RB1,osteogen,N,False,5974
