"punkt","datensatz","gen","gse","arm","klasse","null_intakt","pool","haelfte"
1,"LAMA5-KO (chondr)","LAMA5","GSE_LAMA5","chondrogen","M",TRUE,9861,"Validierung"
2,"LAMA5-KO (osteo)","LAMA5","GSE_LAMA5","osteogen","M",TRUE,9063,"Validierung"
3,"FN1 FNC123R","FN1","GSE251698","chondrogen","M",FALSE,11461,"Entdeckung"
4,"FN1 FNC231W","FN1","GSE251698","chondrogen","M",FALSE,11815,"Entdeckung"
5,"SERPINA3-KD","SERPINA3","GSE_SERPINA3ch","chondrogen","N",TRUE,1347,"Entdeckung"
6,"MIR181A1HG-KD","MIR181A1HG","GSE_MIR181","osteogen","N",TRUE,12039,"Validierung"
7,"LINC01638-KD (GSE227512)","LINC01638","GSE227512","osteogen","N",TRUE,3941,"Validierung"
8,"ARSB / MPS VI (GSE218101)","ARSB","GSE218101","chondrogen","M",TRUE,7505,"Validierung"
9,"ACVR1 / FOP (GSE221128)","ACVR1","GSE221128","chondrogen","M",TRUE,9132,"Validierung"
10,"RNF4-KD (GSE205432)","RNF4","GSE205432","osteogen","N",FALSE,8306,"Validierung"
11,"RB1 +/- (GSE245585)","RB1","GSE245585","osteogen","N",FALSE,8369,"Entdeckung"
12,"Nonunion (GSE226565)","NONUNION","GSE226565","osteogen","N",FALSE,2251,"Validierung"
13,"SERPINA3-KD osteo (GSE247528)","SERPINA3","GSE247528","osteogen","N",TRUE,1033,"Entdeckung"
14,"ERCC6L2-KD (GSE190542)","ERCC6L2","GSE190542","osteogen","N",TRUE,6502,"Entdeckung"
15,"TP53 LFS (GSE102732)","TP53","GSE102732","osteogen","M",TRUE,6219,"Entdeckung"
16,"YAP/TAZ-KD (GSE137035)","YAPTAZ","GSE137035","osteogen","N",FALSE,2712,"Validierung"
17,"RB1-mut isogen (GSE145235)","RB1","GSE145235","osteogen","N",FALSE,5720,"Entdeckung"
18,"RB1-del isogen (GSE145235)","RB1","GSE145235","osteogen","N",FALSE,5974,"Entdeckung"
