gse,pmid,status,geo_titel,abrufdatum,erstautor,jahr,zeitschrift,band,seiten,doi,titel
GSE102732,30385632,ok,RNA sequencing (RNA-SEQ) of WT and LFS patient specific iPSC derived pre-osteoblasts,2026-08-24,Kim H,2018,Proc Natl Acad Sci U S A,115,E11128-E11137,10.1073/pnas.1814044115,Oncogenic role of SFRP2 in p53-mutant osteosarcoma development via autocrine and paracrine mechanism.
GSE137035,,keine verknuepfte Publikation in GEO,"Transcriptional changes after YAP/TAZ siRNA-mediated knockdown, and BMP-2 stimulation and SMAD1 ChIP-Seq in BMP2-treated human fetal osteoblasts",2026-08-24,,,,,,,
GSE145235,,keine verknuepfte Publikation in GEO,The spliceosome is an exploitable vulnerability in RB1-mutant cancer,2026-08-24,,,,,,,
GSE190542,36156210,ok,Germline ERCC6L2 mutations lead to impaired erythropoiesis and reshaping of the bone marrow niche,2026-08-24,Armes H,2022,Br J Haematol,199,754-764,10.1111/bjh.18466,Germline ERCC excision repair 6 like 2 (ERCC6L2) mutations lead to impaired erythropoiesis and reshaping of the bone marrow microenvironment.
GSE205432,36153321,ok,RNF4-RGMb axis  is required for osteogenic differentiation and cancer cell survival,2026-08-24,Novak R,2022,Cell Death Dis,13,820,10.1038/s41419-022-05262-1,RNF4~RGMb~BMP6 axis required for osteogenic differentiation and cancer cell survival.
GSE218101,36561048,ok,Isogenic pairs of MPS VI gene corrected iPSC and Chondrogenic cells,2026-08-24,Broeders M,2022,Front Bioeng Biotechnol,10,949063,10.3389/fbioe.2022.949063,Modeling cartilage pathology in mucopolysaccharidosis VI using iPSCs reveals early dysregulation of chondrogenic and metabolic gene expression.
GSE221128,38365425,ok,Oxidative phosphorylation is a pivotal therapeutic target of fibrodysplasia ossificans progressiva,2026-08-24,Sun L,2024,Life Sci Alliance,7,,10.26508/lsa.202302219,Oxidative phosphorylation is a pivotal therapeutic target of fibrodysplasia ossificans progressiva.
GSE226565,37182560,ok,Molecular profiling of osteoprogenitor cells reveals FOS as a master regulator of bone non-union [timecourse],2026-08-24,La Manna F,2023,Gene,874,147481,10.1016/j.gene.2023.147481,Molecular profiling of osteoprogenitor cells reveals FOS as a master regulator of bone non-union.
GSE227512,37985890,ok,Expression profiling of LINC01638 interference in hMSC-hTERT20 cells,2026-08-24,Gordon JAR,2023,Sci Rep,13,20314,10.1038/s41598-023-46202-z,LINC01638 sustains human mesenchymal stem cell self-renewal and competency for osteogenic cell fate.
GSE245585,39342657,ok,Time series analysis of retinoblastoma  patient derived mesenchymal stem cells differentiated to osteogenic lineage,2026-08-24,Vincent A,2024,Differentiation,140,100815,10.1016/j.diff.2024.100815,Monoallelic loss of RB1 enhances osteogenic differentiation and delays DNA repair without inducing tumorigenicity.
GSE247528,39097037,ok,RNA-seq of osteogenesis following siRNA depletion of SERPINA3,2026-08-24,Barter MJ,2024,Matrix Biol,133,33-42,10.1016/j.matbio.2024.07.004,SERPINA3 is a marker of cartilage differentiation and is essential for the expression of extracellular matrix genes during early chondrogenesis.
GSE251698,39367925,ok,MUTATIONS IN FIBRONECTIN IMPAIR CHONDROGENESIS IN CORNER FRACTURE TYPE SPONDYLOMETAPHYSEAL DYSPLASIA,2026-08-24,Dinesh NEH,2024,Cell Mol Life Sci,81,419,10.1007/s00018-024-05444-4,Mutations in fibronectin dysregulate chondrogenesis in skeletal dysplasia.
GSE160207,33228694,ok,RNA Sequencing Analysis of a Whole Blood Transcriptome in Estonian Families with Osteogenesis Imperfecta,2026-08-24,Zhytnik L,2020,BMC Med Genomics,13,177,10.1186/s12920-020-00825-7,RNA sequencing analysis reveals increased expression of interferon signaling genes and dysregulation of bone metabolism affecting pathways in the whole blood of patients with osteogenesis imperfecta.
GSE186141,35154279,ok,Phenotypic spectrum and molecular basis in a Chinese cohort of osteogenesis imperfecta with mutations in type I collagen,2026-08-24,Chen P,2022,Front Genet,13,816078,10.3389/fgene.2022.816078,Phenotypic Spectrum and Molecular Basis in a Chinese Cohort of Osteogenesis Imperfecta With Mutations in Type I Collagen.
GSE228522,37047804,ok,Transcriptomic differences underlying the Activin-A induced large osteoclast formation in both healthy control and Fibrodysplasia Ossificans Progressiva osteoclasts,2026-08-24,Schoenmaker T,2023,Int J Mol Sci,24,,10.3390/ijms24076822,Transcriptomic Differences Underlying the Activin-A Induced Large Osteoclast Formation in Both Healthy Control and Fibrodysplasia Ossificans Progressiva Osteoclasts.
GSE22855,21235737,ok,Comparison of enchondromas with controls (growth plate and cartilage),2026-08-24,Pansuriya TC,2011,Orphanet J Rare Dis,6,2,10.1186/1750-1172-6-2,Genome-wide analysis of Ollier disease: Is it all in the genes?
GSE292600,40481143,ok,Dysregulation of cell migration by matrix metalloproteinases in geleophysic dysplasia,2026-08-24,Morales AA,2025,Sci Rep,15,19970,10.1038/s41598-025-04666-1,Dysregulation of cell migration by matrix metalloproteinases in geleophysic dysplasia.
GSE58435,24850140,ok,Amniotic fluid RNA gene expression profiling provides insights into the phenotype of Turner syndrome,2026-08-24,Massingham LJ,2014,Hum Genet,133,1075-82,10.1007/s00439-014-1448-y,Amniotic fluid RNA gene expression profiling provides insights into the phenotype of Turner syndrome.
GSE77758,27518164,ok,Microarray and miRNA expression data from five Ehlers-Danlos Syndrome Hypermobility type/Joint Hypermobility Syndrome (EDS-HT/JHS) patients' skin fibroblasts,2026-08-24,Chiarelli N,2016,PLoS One,11,e0161347,10.1371/journal.pone.0161347,Transcriptome-Wide Expression Profiling in Skin Fibroblasts of Patients with Joint Hypermobility Syndrome/Ehlers-Danlos Syndrome Hypermobility Type.
GSE151311,35906483,ok,3D chromatin organization changes modulate adipogenesis and osteogenesis [ATAC-seq],2026-08-24,Hao RH,2022,Cell Death Differ,29,2503-2518,10.1038/s41418-022-01035-7,Lineage-specific rearrangement of chromatin loops and epigenomic features during adipocytes and osteoblasts commitment.
