gen,zone,quelle,doi,abruf
APOE,RZ,KODA25,10.1038/s41413-025-00407-2,2026-08-24
PTHLH,RZ,MIZU18;HALL19;KRON03,10.1038/s41586-018-0662-5,2026-08-24
CLU,RZ,KODA25,10.1038/s41413-025-00407-2,2026-08-24
C1QTNF3,PZ,KODA25,10.1038/s41413-025-00407-2,2026-08-24
MKI67,PZ,KODA25,10.1038/s41413-025-00407-2,2026-08-24
IHH,PHZ,KOBAY02;HALL19,10.1242/dev.129.12.2977,2026-08-24
PTHR1,PHZ,LEE96,10.1210/endo.137.11.8895385,2026-08-24
COL10A1,HZ,KODA25;KOZH15;MACK08,10.1038/s41413-025-00407-2,2026-08-24
MMP13,HZ,MACK08,10.1016/j.biocel.2007.06.009,2026-08-24
VEGFA,HZ,MACK11;MACK08,10.1530/JOE-11-0048,2026-08-24
RUNX2,HZ,MACK08;KOZH15,10.1016/j.biocel.2007.06.009,2026-08-24
