cell,donor,study,axis,z,detection_limit,contrast,p_value,passed,lesion,criterion_e2,origin
"ARSB line 1, chondrogenic (GSE218101)",GSE218101_Line1,GSE218101,chondrogenic,-1.2694519160031932,1.1887240239769028,-0.5394267391347175,1.0,False,"ARSB patient mutation, isogenically corrected",True,one of the eighteen datasets
"RB1 +/- WT1, osteogenic (GSE245585)",GSE245585_WT1,GSE245585,osteogenic,-1.0305082317898038,1.1081354062680242,-0.4083492669340293,1.0,False,RB1 +/- (retinoblastoma patient line),True,one of the eighteen datasets
"SERPINA3 donor 3, osteogenic (GSE247528)",SERPINA3_D3,GSE247528,osteogenic,-0.3728744674758517,0.9231922275196603,-0.1246993337366373,1.0,False,"SERPINA3-siRNA (engineered, not a patient defect)",False,"Figure S3C, study-wise"
"LAMA5-KO USC, osteogenic (E-MTAB-16566)",LAMA5_USC,LAMA5_USC,osteogenic,-0.2064910847164194,1.3314494081941597,-0.0997098367238918,1.0,False,LAMA5 knockout in a healthy line (engineered),False,two of the eighteen datasets
"ARSB line 3, chondrogenic (GSE218101)",GSE218101_Line3,GSE218101,chondrogenic,0.3658964684276042,1.2157477898209186,0.1599604496340678,0.72056397180141,False,"ARSB patient mutation, isogenically corrected",True,one of the eighteen datasets
"ARSB line 2, chondrogenic (GSE218101)",GSE218101_Line2,GSE218101,chondrogenic,1.0321049823624535,1.313084918613449,0.4843112640207446,0.3018849057547123,False,"ARSB patient mutation, isogenically corrected",True,one of the eighteen datasets
"ACVR1 / FOP, chondrogenic (GSE221128)",GSE221128_FOP,GSE221128,chondrogenic,1.9011807682319968,0.8951345479668236,0.6064551173384731,0.0573971301434928,False,"ACVR1 R206H, isogenically corrected (resFOP)",True,one of the eighteen datasets
"SERPINA3 donor 2, osteogenic (GSE247528)",SERPINA3_D2,GSE247528,osteogenic,2.008883930092255,0.9519207538559944,0.6833839755092258,0.0401979901004949,True,"SERPINA3-siRNA (engineered, not a patient defect)",False,"Figure S3C, study-wise"
"SERPINA3 donor 1, osteogenic (GSE247528)",SERPINA3_D1,GSE247528,osteogenic,2.1161970951957256,1.0420626605659116,0.786565267170277,0.0348982550872456,True,"SERPINA3-siRNA (engineered, not a patient defect)",False,"Figure S3C, study-wise"
"ARSB line 4, chondrogenic (GSE218101)",GSE218101_Line4,GSE218101,chondrogenic,2.3348223545541256,1.51585719929441,1.2635103718609575,0.015599220038998,True,"ARSB patient mutation, isogenically corrected",True,one of the eighteen datasets
"LAMA5-KO USC, chondrogenic (E-MTAB-16566)",LAMA5_USC,LAMA5_USC,chondrogenic,2.6744385158281774,1.8478104145848395,1.764664226677658,0.0050997450127493,True,LAMA5 knockout in a healthy line (engineered),False,two of the eighteen datasets
"SERPINA3 donor 1, chondrogenic (GSE247491)",SERPINA3_D1,GSE247491,chondrogenic,3.567998958607288,1.1081566940089458,1.4122707652273825,0.0002999850007499,True,"SERPINA3-siRNA (engineered, not a patient defect)",False,"Figure S3C, study-wise"
"SERPINA3 donor 3, chondrogenic (GSE247491)",SERPINA3_D3,GSE247491,chondrogenic,4.192347704824472,1.1435019154275052,1.7112416276831726,9.99950002499875e-05,True,"SERPINA3-siRNA (engineered, not a patient defect)",False,"Figure S3C, study-wise"
"SERPINA3 donor 2, chondrogenic (GSE247491)",SERPINA3_D2,GSE247491,chondrogenic,5.604767619476212,1.114843299026692,2.2343480715112216,9.99950002499875e-05,True,"SERPINA3-siRNA (engineered, not a patient defect)",False,"Figure S3C, study-wise"
