window,axis,null_model,n,concordance,concordance_detection_limit,concordance_null,concordance_null_sd,concordance_z,concordance_p,threshold_reached,calibration_type,calibration_passed,calibration_z,calibration_contrast,calibration_detection_limit,verdict
P,osteogenic,background,172,0.686046511627907,0.6433542364939263,0.538161046511628,0.0375689964222493,3.936369858117827,9.99950002499875e-05,True,D,False,-0.5447090819634887,-0.0582330533139616,0.2982597212989368,level not calibrated for this axis
P,osteogenic,H1 baseline-stratified,172,0.686046511627907,0.6353724015315236,0.5302191860465116,0.0375547198160757,4.149340651309871,9.99950002499875e-05,True,D,False,-0.5447090819634887,-0.0582330533139616,0.2982597212989368,level not calibrated for this axis
P,adipogenic,background,172,0.6802325581395349,0.6920942772366332,0.5939334302325581,0.0350574453585982,2.4616490740906447,0.0177991100444977,False,D,True,4.762837649306647,0.5601086771999508,0.3291268582496452,below threshold
P,adipogenic,H1 baseline-stratified,172,0.6802325581395349,0.674216962645286,0.5732366279069767,0.0360644052636818,2.966801461171102,0.0018999050047497,True,D,True,4.762837649306647,0.5601086771999508,0.3291268582496452,threshold reached
P,lineage contrast,background,172,0.436046511627907,0.5049091469886001,0.4062700581395349,0.0352282460175233,0.8452437136257263,0.4427778611069446,False,L,False,2.2619205891047884,0.1380547074638418,0.1709192678849051,level not calibrated for this axis
P,lineage contrast,H1 baseline-stratified,172,0.436046511627907,0.5225834165206654,0.4232465116279069,0.035477466033128,0.360792396730017,0.7731613419329033,False,L,False,2.2619205891047884,0.1380547074638418,0.1709192678849051,level not calibrated for this axis
T10,osteogenic,background,173,0.653179190751445,0.6269304845597887,0.5215875722543353,0.037622468680519,3.497686970372784,0.0008999550022498,True,D,False,1.224642165374375,0.1044936561898185,0.2387543944879275,level not calibrated for this axis
T10,osteogenic,H1 baseline-stratified,173,0.653179190751445,0.6267027059717509,0.5203078034682082,0.037998179465551,3.4967829815030367,0.0004999750012499,True,D,False,1.224642165374375,0.1044936561898185,0.2387543944879275,level not calibrated for this axis
T10,adipogenic,background,173,0.6416184971098265,0.6673706521293203,0.5651595375722543,0.0365039694846664,2.0945382274026105,0.0410979451027448,False,D,True,5.010963905915043,0.4527368364863203,0.2529468571886993,below threshold
T10,adipogenic,H1 baseline-stratified,173,0.6416184971098265,0.6570368003332758,0.5533052023121386,0.0370469992932632,2.38381775804841,0.0221988900554972,False,D,True,5.010963905915043,0.4527368364863203,0.2529468571886993,below threshold
