datensatz,punkt,arm,n_tested,concordance,z,mde80_z,above_mde80,n_rederived_genes,jaccard_with_frozen173
LAMA5-KO (chondr),1,chondrogenic,224,0.7142857142857143,6.342409771775847,2.8,True,241,0.5682
LAMA5-KO (osteo),2,osteogenic,224,0.6964285714285714,5.861720618267606,2.8,True,241,0.5682
FN1 FNC123R,3,chondrogenic,256,0.5703125,1.8992269225144807,2.8,False,257,0.4828
FN1 FNC231W,4,chondrogenic,256,0.5703125,1.8992269225144807,2.8,False,257,0.4828
SERPINA3-KD,5,chondrogenic,34,0.8235294117647058,3.6202762469751133,2.8,True,179,0.9556
MIR181A1HG-KD,6,osteogenic,158,0.8670886075949367,9.04950204467628,2.8,True,161,0.7216
LINC01638-KD (GSE227512),7,osteogenic,141,0.8794326241134752,9.175244493194178,2.8,True,179,0.8624
ARSB / MPS VI (GSE218101),8,chondrogenic,252,0.47619047619047616,-0.6811581881238876,2.8,False,256,0.5267
ACVR1 / FOP (GSE221128),9,chondrogenic,195,0.6666666666666666,4.272008141374341,2.8,True,201,0.619
RNF4-KD (GSE205432),10,osteogenic,218,0.6422018348623854,4.278571532413476,2.8,True,218,0.5766
RB1 +/- (GSE245585),11,osteogenic,211,0.6919431279620853,3.928812635728175,2.8,True,218,0.583
Nonunion (GSE226565),12,osteogenic,179,0.8156424581005587,9.762298212418345,2.8,True,182,0.6825
SERPINA3-KD osteo (GSE247528),13,osteogenic,32,0.875,4.224271616015582,2.8,True,174,0.9605
ERCC6L2-KD (GSE190542),14,osteogenic,166,0.8614457831325302,9.356963763243595,2.8,True,168,0.731
TP53 LFS (GSE102732),15,osteogenic,199,0.6934673366834171,5.036197342197515,2.8,True,199,0.6104
YAP/TAZ-KD (GSE137035),16,osteogenic,226,0.4247787610619469,-2.280914851443104,2.8,False,256,0.5948
RB1-mut isogen (GSE145235),17,osteogenic,219,0.730593607305936,6.987441302726569,2.8,True,222,0.5737
RB1-del isogen (GSE145235),18,osteogenic,219,0.6986301369863014,5.576877477914563,2.8,True,222,0.5737
