scheme,removed_frac,n_used,rho,rho_sd
full,0.0,173,0.6222703273984731,
drop_top_abs_dwt,0.01,171,0.6194878440972472,
drop_top_expression,0.01,171,0.630215758273934,
drop_random,0.01,171,0.6221669330645355,0.005910244174217413
drop_top_abs_dwt,0.05,164,0.599319848190116,
drop_top_expression,0.05,164,0.6169738685674642,
drop_random,0.05,164,0.6218733666154285,0.013087181581972133
drop_top_abs_dwt,0.1,156,0.5780973905896856,
drop_top_expression,0.1,156,0.650228382671366,
drop_random,0.1,156,0.6211903146781306,0.018380129755735747
drop_top_abs_dwt,0.2,138,0.5726924648792548,
drop_top_expression,0.2,138,0.6707999515969578,
drop_random,0.2,138,0.6216437673092245,0.028872102771994024
