ensembl,symbol,rho_without_gene,delta_from_full
ENSG00000154928,EPHB1,0.6157590508062062,-0.0065112765922669125
ENSG00000156463,SH3RF2,0.6161151635642406,-0.0061551638342325354
ENSG00000162746,FCRLB,0.6162118564323161,-0.00605847096615697
ENSG00000158164,TMSB15A,0.6163368496520235,-0.005933477746449589
ENSG00000154447,SH3RF1,0.6163793001794713,-0.00589102721900181
ENSG00000139641,ESYT1,0.616475993047547,-0.005794334350926134
ENSG00000154102,C16orf74,0.6164877848607268,-0.005782542537746349
ENSG00000004838,ZMYND10,0.6165844777288024,-0.005685849669670673
ENSG00000242265,PEG10,0.6166387200694301,-0.005631607329042998
ENSG00000137700,SLC37A4,0.6167212627616897,-0.005549064636783396
ENSG00000119326,CTNNAL1,0.6167212627616897,-0.005549064636783396
ENSG00000169908,TM4SF1,0.6167283378495977,-0.0055419895488754145
ENSG00000060140,STYK1,0.6167495631133216,-0.005520764285151469
ENSG00000163814,CDCP1,0.6167778634649534,-0.0054924639335196535
ENSG00000205476,CCDC85C,0.6167778634649534,-0.0054924639335196535
ENSG00000164220,F2RL2,0.6168226723550373,-0.005447655043435806
ENSG00000183850,ZNF730,0.6168250307176733,-0.005445296680799849
ENSG00000141577,CEP131,0.6168297474429453,-0.0054405799555278245
ENSG00000139874,SSTR1,0.6168391808934891,-0.005431146504983997
ENSG00000110076,NRXN2,0.6168674812451211,-0.005402846153351959
ENSG00000110583,NAA40,0.616888706508845,-0.005381620889628125
ENSG00000114279,FGF12,0.616893423234117,-0.0053769041643561
ENSG00000175322,ZNF519,0.6169052150472969,-0.0053651123511762044
ENSG00000100147,CCDC134,0.6169382321242007,-0.005332095274272364
ENSG00000015532,XYLT2,0.6169618157505606,-0.005308511647912462
ENSG00000149782,PLCB3,0.6169665324758326,-0.005303794922640548
ENSG00000182901,RGS7,0.6169806826516486,-0.005289644746824473
ENSG00000141469,SLC14A1,0.6169971911901004,-0.005273136208372664
ENSG00000073737,DHRS9,0.6170019079153725,-0.005268419483100639
ENSG00000118777,ABCG2,0.6170184164538244,-0.005251910944648719
ENSG00000180329,CCDC43,0.6170302082670043,-0.005240119131468823
ENSG00000139629,GALNT6,0.6170844506076321,-0.0051858767908410375
ENSG00000166840,GLYATL1,0.6170891673329041,-0.005181160065569013
ENSG00000040275,SPDL1,0.617105675871356,-0.005164651527117092
ENSG00000106688,SLC1A1,0.6171221844098078,-0.005148142988665283
ENSG00000132563,REEP2,0.6171386929482598,-0.005131634450213252
ENSG00000160972,PPP1R16A,0.6171693516625277,-0.005100975735945368
ENSG00000143369,ECM1,0.6172825530690552,-0.004987774329417882
ENSG00000178031,ADAMTSL1,0.6172825530690552,-0.004987774329417882
ENSG00000168067,MAP4K2,0.6173580206734068,-0.004912306725066262
ENSG00000125872,LRRN4,0.6173698124865867,-0.004900514911886367
ENSG00000130052,STARD8,0.6174028295634906,-0.004867497834982526
ENSG00000186767,SPIN4,0.6174075462887626,-0.004862781109710501
ENSG00000169071,ROR2,0.6174900889810222,-0.004780238417450899
ENSG00000174939,ASPHD1,0.6175820651238257,-0.004688262274647359
ENSG00000138696,BMPR1B,0.6175914985743697,-0.00467882882410342
ENSG00000157514,TSC22D3,0.6184829596507736,-0.0037873677476994994
ENSG00000106415,GLCCI1,0.6188555809472599,-0.003414746451213202
ENSG00000111321,LTBR,0.6192140520679302,-0.003056275330542868
ENSG00000269713,NBPF9,0.6192234855184742,-0.0030468418799989294
ENSG00000118689,FOXO3,0.6196409157050442,-0.002629411693428896
ENSG00000109906,ZBTB16,0.6197871341884755,-0.0024831932099975695
ENSG00000150764,DIXDC1,0.6198060010895635,-0.0024643263089095813
ENSG00000173432,SAA1,0.6198177929027434,-0.0024525344957296857
