zone,sample,n_cells,specimen,stage,zone_rank
MesCond,Pcw5.1_WholeLimb_LowerLimb,22,Pcw5.1,Pcw5.1,1
MesCond,Pcw6.1_Distal_UpperLimb,175,Pcw6.1,Pcw6.1,1
MesCond,Pcw6.1_Distal_LowerLimb,494,Pcw6.1,Pcw6.1,1
MesCond,Pcw5.6_Distal_UpperLimb,283,Pcw5.6,Pcw5.6,1
MesCond,Pcw5.6_Middle_UpperLimb,10,Pcw5.6,Pcw5.6,1
MesCond,Pcw5.6_Proximal_UpperLimb,6,Pcw5.6,Pcw5.6,1
MesCond,Pcw5.6_Distal_LowerLimb,838,Pcw5.6,Pcw5.6,1
MesCond,Pcw5.6_Middle_LowerLimb,8,Pcw5.6,Pcw5.6,1
MesCond,Pcw5.6_Proximal_LowerLimb,7,Pcw5.6,Pcw5.6,1
ChondroProg,Pcw5.1_WholeLimb_LowerLimb,5,Pcw5.1,Pcw5.1,2
ChondroProg,Pcw7.2_s1_Thigh_LowerLimb,9,Pcw7.2_s1,Pcw7.2,2
ChondroProg,Pcw7.2_s2_Thigh_LowerLimb,6,Pcw7.2_s2,Pcw7.2,2
ChondroProg,Pcw6.5_Thigh_LowerLimb,38,Pcw6.5,Pcw6.5,2
ChondroProg,Pcw5.4_s1_Thigh_LowerLimb,79,Pcw5.4_s1,Pcw5.4,2
ChondroProg,Pcw5.4_s2_Thigh_LowerLimb,81,Pcw5.4_s2,Pcw5.4,2
ChondroProg,Pcw6.1_Proximal_UpperLimb,684,Pcw6.1,Pcw6.1,2
ChondroProg,Pcw6.1_s1_Middle_UpperLimb,371,Pcw6.1_s1,Pcw6.1,2
ChondroProg,Pcw6.1_Distal_UpperLimb,542,Pcw6.1,Pcw6.1,2
ChondroProg,Pcw6.1_Proximal_LowerLimb,168,Pcw6.1,Pcw6.1,2
ChondroProg,Pcw6.1_s2_Middle_UpperLimb,331,Pcw6.1_s2,Pcw6.1,2
ChondroProg,Pcw6.1_Distal_LowerLimb,559,Pcw6.1,Pcw6.1,2
ChondroProg,Pcw5.6_Distal_UpperLimb,359,Pcw5.6,Pcw5.6,2
ChondroProg,Pcw5.6_Middle_UpperLimb,263,Pcw5.6,Pcw5.6,2
ChondroProg,Pcw5.6_Proximal_UpperLimb,355,Pcw5.6,Pcw5.6,2
ChondroProg,Pcw5.6_Distal_LowerLimb,193,Pcw5.6,Pcw5.6,2
ChondroProg,Pcw5.6_Middle_LowerLimb,108,Pcw5.6,Pcw5.6,2
ChondroProg,Pcw5.6_Proximal_LowerLimb,142,Pcw5.6,Pcw5.6,2
RestingChon,Pcw7.2_s1_Thigh_LowerLimb,549,Pcw7.2_s1,Pcw7.2,3
RestingChon,Pcw7.2_s2_Thigh_LowerLimb,533,Pcw7.2_s2,Pcw7.2,3
RestingChon,Pcw6.5_Thigh_LowerLimb,14,Pcw6.5,Pcw6.5,3
RestingChon,Pcw9.3_s1_Thigh_LowerLimb,63,Pcw9.3_s1,Pcw9.3,3
RestingChon,Pcw9.3_s2_Thigh_LowerLimb,134,Pcw9.3_s2,Pcw9.3,3
RestingChon,Pcw9.0_s1_Thigh_LowerLimb,1031,Pcw9.0_s1,Pcw9.0,3
RestingChon,Pcw9.0_s2_Thigh_LowerLimb,1193,Pcw9.0_s2,Pcw9.0,3
RestingChon,Pcw6.1_Proximal_UpperLimb,236,Pcw6.1,Pcw6.1,3
RestingChon,Pcw6.1_s1_Middle_UpperLimb,50,Pcw6.1_s1,Pcw6.1,3
RestingChon,Pcw6.1_Proximal_LowerLimb,11,Pcw6.1,Pcw6.1,3
RestingChon,Pcw6.1_s2_Middle_UpperLimb,54,Pcw6.1_s2,Pcw6.1,3
RestingChon,Pcw5.6_Proximal_UpperLimb,6,Pcw5.6,Pcw5.6,3
ProlifChon,Pcw7.2_s1_Thigh_LowerLimb,522,Pcw7.2_s1,Pcw7.2,4
ProlifChon,Pcw7.2_s2_Thigh_LowerLimb,535,Pcw7.2_s2,Pcw7.2,4
ProlifChon,Pcw6.5_Thigh_LowerLimb,52,Pcw6.5,Pcw6.5,4
ProlifChon,Pcw5.4_s1_Thigh_LowerLimb,5,Pcw5.4_s1,Pcw5.4,4
ProlifChon,Pcw9.3_s1_Thigh_LowerLimb,6,Pcw9.3_s1,Pcw9.3,4
ProlifChon,Pcw9.3_s2_Thigh_LowerLimb,9,Pcw9.3_s2,Pcw9.3,4
ProlifChon,Pcw9.0_s1_Thigh_LowerLimb,151,Pcw9.0_s1,Pcw9.0,4
ProlifChon,Pcw9.0_s2_Thigh_LowerLimb,170,Pcw9.0_s2,Pcw9.0,4
ProlifChon,Pcw6.1_Proximal_UpperLimb,468,Pcw6.1,Pcw6.1,4
ProlifChon,Pcw6.1_s1_Middle_UpperLimb,122,Pcw6.1_s1,Pcw6.1,4
ProlifChon,Pcw6.1_Distal_UpperLimb,75,Pcw6.1,Pcw6.1,4
ProlifChon,Pcw6.1_Proximal_LowerLimb,26,Pcw6.1,Pcw6.1,4
ProlifChon,Pcw6.1_s2_Middle_UpperLimb,105,Pcw6.1_s2,Pcw6.1,4
ProlifChon,Pcw6.1_Distal_LowerLimb,7,Pcw6.1,Pcw6.1,4
ProlifChon,Pcw5.6_Middle_UpperLimb,5,Pcw5.6,Pcw5.6,4
ProlifChon,Pcw5.6_Proximal_UpperLimb,25,Pcw5.6,Pcw5.6,4
ProlifChon,Pcw5.6_Distal_LowerLimb,13,Pcw5.6,Pcw5.6,4
ProlifChon,Pcw5.6_Middle_LowerLimb,14,Pcw5.6,Pcw5.6,4
PrehyperChon,Pcw8.4_s1_Thigh_LowerLimb,39,Pcw8.4_s1,Pcw8.4,5
PrehyperChon,Pcw8.4_s2_Thigh_LowerLimb,51,Pcw8.4_s2,Pcw8.4,5
PrehyperChon,Pcw7.2_s1_Thigh_LowerLimb,48,Pcw7.2_s1,Pcw7.2,5
PrehyperChon,Pcw7.2_s2_Thigh_LowerLimb,40,Pcw7.2_s2,Pcw7.2,5
PrehyperChon,Pcw9.0_s1_Thigh_LowerLimb,13,Pcw9.0_s1,Pcw9.0,5
PrehyperChon,Pcw9.0_s2_Thigh_LowerLimb,16,Pcw9.0_s2,Pcw9.0,5
PrehyperChon,Pcw6.1_s1_Middle_UpperLimb,19,Pcw6.1_s1,Pcw6.1,5
PrehyperChon,Pcw6.1_s2_Middle_UpperLimb,9,Pcw6.1_s2,Pcw6.1,5
HyperChon,Pcw9.0_s2_Thigh_LowerLimb,8,Pcw9.0_s2,Pcw9.0,6
