zone,zone_rank,sample,specimen,n_cells,contrast,detection_limit,z,p_value
MesCond,1,Pcw5.1_WholeLimb_LowerLimb,Pcw5.1,22,0.0257456973195076,0.1430948221017064,0.4993850710006604,0.6491675416229189
MesCond,1,Pcw6.1_Distal_UpperLimb,Pcw6.1,175,0.0513669177889823,0.1461877248114818,0.9783855523711958,0.2855857207139643
MesCond,1,Pcw6.1_Distal_LowerLimb,Pcw6.1,494,0.0446051657199859,0.1446502490046618,0.8576589006749403,0.3548822558872056
MesCond,1,Pcw5.6_Distal_UpperLimb,Pcw5.6,283,0.0785335302352905,0.1564859055756335,1.399732651596227,0.1179941002949852
MesCond,1,Pcw5.6_Middle_UpperLimb,Pcw5.6,10,0.1049454361200332,0.1606870842765636,1.824512895484997,0.039298035098245
MesCond,1,Pcw5.6_Proximal_UpperLimb,Pcw5.6,6,0.0644775852560997,0.1592892723138034,1.1247215910252362,0.2243887805609719
MesCond,1,Pcw5.6_Distal_LowerLimb,Pcw5.6,838,0.0722427368164062,0.1575681927518343,1.2774746029515098,0.1573921303934803
MesCond,1,Pcw5.6_Middle_LowerLimb,Pcw5.6,8,0.0615468993782997,0.1648743288152827,1.0360912974901344,0.2704864756762162
MesCond,1,Pcw5.6_Proximal_LowerLimb,Pcw5.6,7,0.0620726719498634,0.1602317820525179,1.0769109955112357,0.2468876556172191
ChondroProg,2,Pcw5.1_WholeLimb_LowerLimb,Pcw5.1,5,0.0378319770097732,0.1595288323164493,0.656249606536095,0.520273986300685
ChondroProg,2,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,9,0.0014044940471649,0.1605463219049653,0.0204683563674133,1.0
ChondroProg,2,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,6,0.0231716856360435,0.1646777572454862,0.3875134760780436,0.7528623568821559
ChondroProg,2,Pcw6.5_Thigh_LowerLimb,Pcw6.5,38,0.0468699410557746,0.1610109119046646,0.8080719932870982,0.4048797560121994
ChondroProg,2,Pcw5.4_s1_Thigh_LowerLimb,Pcw5.4_s1,79,0.0140540599822998,0.1585225580103299,0.2398489526697517,0.8841557922103895
ChondroProg,2,Pcw5.4_s2_Thigh_LowerLimb,Pcw5.4_s2,81,0.0092938840389251,0.1578682638107727,0.1564477362207962,0.9527523623818808
ChondroProg,2,Pcw6.1_Proximal_UpperLimb,Pcw6.1,684,0.0444406643509864,0.1648617431998271,0.7483072777680191,0.4496775161241937
ChondroProg,2,Pcw6.1_s1_Middle_UpperLimb,Pcw6.1_s1,371,0.0429859086871147,0.167002324674719,0.7148280311644502,0.4837758112094395
ChondroProg,2,Pcw6.1_Distal_UpperLimb,Pcw6.1,542,0.0540874600410461,0.1592219024840829,0.9449284939912876,0.3162841857907104
ChondroProg,2,Pcw6.1_Proximal_LowerLimb,Pcw6.1,168,0.038756176829338,0.1653361225421923,0.6475506433956687,0.5326733663316834
ChondroProg,2,Pcw6.1_s2_Middle_UpperLimb,Pcw6.1_s2,331,0.0391722917556762,0.1670577936476852,0.6505754175774228,0.5324733763311834
ChondroProg,2,Pcw6.1_Distal_LowerLimb,Pcw6.1,559,0.0538827702403068,0.1569315402245654,0.955193930173766,0.3099845007749612
ChondroProg,2,Pcw5.6_Distal_UpperLimb,Pcw5.6,359,0.0942384079098701,0.1621561496474488,1.6222601610512162,0.0692965351732413
ChondroProg,2,Pcw5.6_Middle_UpperLimb,Pcw5.6,263,0.0750629007816314,0.1657436818492287,1.2621607703745912,0.1716914154292285
ChondroProg,2,Pcw5.6_Proximal_UpperLimb,Pcw5.6,355,0.0981422290205955,0.1664800774126139,1.6457803624412362,0.0676966151692415
ChondroProg,2,Pcw5.6_Distal_LowerLimb,Pcw5.6,193,0.0956615135073661,0.1636182224251712,1.6316805970533288,0.0667966601669916
ChondroProg,2,Pcw5.6_Middle_LowerLimb,Pcw5.6,108,0.0691937133669853,0.1641085898179952,1.1723391356388642,0.2064896755162241
ChondroProg,2,Pcw5.6_Proximal_LowerLimb,Pcw5.6,142,0.073303684592247,0.1667423210261507,1.2223373103299593,0.1863906804659767
RestingChon,3,Pcw7.2_s1_Thigh_LowerLimb,Pcw7.2_s1,549,0.030892938375473,0.1621998799670685,0.5300061589524293,0.6340682965851707
RestingChon,3,Pcw7.2_s2_Thigh_LowerLimb,Pcw7.2_s2,533,0.0299320816993713,0.1616206209337533,0.5154733428915047,0.6442677866106694
RestingChon,3,Pcw6.5_Thigh_LowerLimb,Pcw6.5,14,0.013451337814331,0.167639758998653,0.2184746769681317,0.895655217239138
